time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,104174,90960,1.0,15825.0,2.151,341.875,1.0,1.0,0.0,307.688,0.0,0.0,309.838,
0,DC_OS,104171,104171,0.901,17970.0,0.0,19280.5,1.0,0.933,0.068,771.213,1310.5,0.0,771.213,
0,DC_MB,104167,104167,0.762,31485.697,4.099,1977.827,1.0,1.0,0.0,794.606,0.0,0.0,798.704,
0,DC_SH,104166,104166,0.816,25950.0,0.0,39274.511,1.0,0.661,0.34,76.31,13324.511,0.0,76.31,
0,DC_LA,104165,104165,0.776,23460.0,2.119,8205.546,1.0,1.0,0.0,34.804,0.0,0.0,36.922,
600,DC_CR,0,13214,0.146,14813.741,2.013,325.05,1.0,1.0,0.0,292.545,0.0,0.0,294.558,
600,DC_OS,0,0,0.0,11490.0,0.0,18720.776,1.0,0.614,0.387,748.824,7230.776,0.0,748.824,
600,DC_MB,519061,136800,1.0,32370.0,4.227,1936.33,1.0,1.0,0.0,756.923,0.0,0.0,761.15,
600,DC_SH,0,0,0.0,14040.0,0.0,40388.582,1.0,0.348,0.653,76.217,26348.582,0.0,76.217,
600,DC_LA,0,0,0.0,21360.0,1.781,8539.714,1.0,1.0,0.0,34.689,0.0,0.0,36.47,
1200,DC_CR,0,0,0.0,12060.0,1.628,342.335,1.0,1.0,0.0,308.102,0.0,0.0,309.729,
1200,DC_OS,0,0,0.0,11490.0,0.0,15537.826,1.0,0.74,0.261,621.506,4047.826,0.0,621.506,
1200,DC_MB,0,136800,1.0,32370.0,4.224,1959.44,1.0,1.0,0.0,732.064,0.0,0.0,736.287,
1200,DC_SH,0,0,0.0,14040.0,0.0,41718.041,1.0,0.337,0.664,75.511,27678.041,0.0,75.511,
1200,DC_LA,513802,134400,1.0,23460.0,2.102,8327.126,1.0,1.0,0.0,36.319,0.0,0.0,38.421,
1800,DC_CR,0,0,0.0,12060.0,1.629,335.526,1.0,1.0,0.0,301.974,0.0,0.0,303.602,
1800,DC_OS,0,0,0.0,11490.0,0.0,11923.355,1.0,0.964,0.037,476.927,433.355,0.0,476.927,
1800,DC_MB,0,136800,1.0,32370.0,4.224,1958.621,1.0,1.0,0.0,795.019,0.0,0.0,799.243,
1800,DC_SH,501833,127680,1.0,25950.0,0.0,40452.366,1.0,0.642,0.359,78.678,14502.367,0.0,78.678,
1800,DC_LA,0,134400,1.0,23460.0,2.1,8341.287,1.0,1.0,0.0,34.152,0.0,0.0,36.252,
2400,DC_CR,0,0,0.0,12060.0,1.631,323.565,1.0,1.0,0.0,291.209,0.0,0.0,292.839,
2400,DC_OS,526613,115680,1.0,17970.0,0.0,32104.966,1.0,0.56,0.441,1284.191,14134.966,0.0,1284.191,
2400,DC_MB,0,108661,0.795,31611.581,4.121,1940.732,1.0,1.0,0.0,785.892,0.0,0.0,790.013,
2400,DC_SH,0,127680,1.0,25950.0,0.0,40906.824,1.0,0.635,0.366,73.464,14956.824,0.0,73.464,
2400,DC_LA,0,134400,1.0,23460.0,2.057,8656.714,1.0,1.0,0.0,34.019,0.0,0.0,36.075,
3000,DC_CR,516797,90960,1.0,15825.0,2.155,313.443,1.0,1.0,0.0,282.099,0.0,0.0,284.254,
3000,DC_OS,0,115680,1.0,17970.0,0.0,21023.302,1.0,0.855,0.146,840.925,3053.302,0.0,840.925,
3000,DC_MB,0,0,0.0,24840.0,3.173,1994.48,1.0,1.0,0.0,775.923,0.0,0.0,779.096,
3000,DC_SH,0,127680,1.0,25950.0,0.0,39283.46,1.0,0.661,0.34,78.119,13333.46,0.0,78.119,
3000,DC_LA,0,110602,0.823,23460.0,2.133,8107.437,1.0,1.0,0.0,35.988,0.0,0.0,38.12,
3600,DC_CR,0,90960,1.0,15825.0,2.154,318.428,1.0,1.0,0.0,286.586,0.0,0.0,288.739,
3600,DC_OS,0,115680,1.0,17970.0,0.0,14353.685,1.0,1.0,0.0,574.14,-3616.315,0.101,574.241,
3600,DC_MB,601146,136800,1.0,32370.0,3.717,5609.321,1.0,1.0,0.0,756.71,0.0,0.0,760.427,
3600,DC_SH,0,118793,0.931,25950.0,0.0,44030.665,1.0,0.59,0.411,72.403,18080.665,0.0,72.403,
3600,DC_LA,0,0,0.0,21360.0,2.492,3418.578,1.0,1.0,0.0,34.129,0.0,0.0,36.621,
4200,DC_CR,0,90960,1.0,15825.0,2.153,328.631,1.0,1.0,0.0,295.768,0.0,0.0,297.921,
4200,DC_OS,0,115680,1.0,17970.0,0.0,18044.136,1.0,0.996,0.005,721.758,74.136,0.0,721.758,
4200,DC_MB,0,136800,1.0,32370.0,3.761,5291.285,1.0,1.0,0.0,746.817,0.0,0.0,750.578,
4200,DC_SH,0,0,0.0,14040.0,0.0,44923.5,1.0,0.313,0.688,78.449,30883.5,0.0,78.449,
4200,DC_LA,591464,134400,1.0,23460.0,2.796,3334.833,1.0,1.0,0.0,35.323,0.0,0.0,38.118,
4800,DC_CR,0,90960,1.0,15825.0,2.152,332.649,1.0,1.0,0.0,299.385,0.0,0.0,301.536,
4800,DC_OS,0,63893,0.553,17970.0,0.0,21279.469,1.0,0.845,0.156,851.171,3309.469,0.0,851.171,
