time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,104386,90960,1.0,15825.0,2.151,341.429,1.0,1.0,0.0,307.287,0.0,0.0,309.437,
0,DC_OS,104383,104383,0.903,17970.0,0.0,19861.601,1.0,0.905,0.096,794.457,1891.601,0.0,794.457,
0,DC_MB,104381,104381,0.764,31497.639,4.09,2051.897,1.0,1.0,0.0,795.775,0.0,0.0,799.865,
0,DC_SH,104377,104377,0.818,25950.0,0.0,41610.735,1.0,0.624,0.377,76.513,15660.735,0.0,76.513,
0,DC_LA,104374,104374,0.777,23460.0,2.062,8618.363,1.0,1.0,0.0,33.14,0.0,0.0,35.202,
600,DC_CR,435034,90960,1.0,15825.0,2.155,314.722,1.0,1.0,0.0,283.25,0.0,0.0,285.405,
600,DC_OS,0,0,0.0,11490.0,0.0,19024.459,1.0,0.604,0.397,760.971,7534.459,0.0,760.971,
600,DC_MB,80263,80263,0.587,30838.707,4.008,1983.435,1.0,1.0,0.0,748.312,0.0,0.0,752.319,
600,DC_SH,0,0,0.0,14040.0,0.0,39621.312,1.0,0.355,0.646,73.614,25581.312,0.0,73.614,
600,DC_LA,0,0,0.0,21360.0,1.797,8425.151,1.0,1.0,0.0,33.415,0.0,0.0,35.211,
1200,DC_CR,24038,90960,1.0,15825.0,2.153,326.871,1.0,1.0,0.0,294.184,0.0,0.0,296.337,
1200,DC_OS,237633,115680,1.0,17970.0,0.0,19102.46,1.0,0.941,0.06,764.091,1132.46,0.0,764.091,
1200,DC_MB,232230,136800,1.0,32370.0,4.222,1973.638,1.0,1.0,0.0,777.622,0.0,0.0,781.844,
1200,DC_SH,0,0,0.0,14040.0,0.0,41082.975,1.0,0.342,0.659,78.392,27042.975,0.0,78.392,
1200,DC_LA,19485,19485,0.145,21420.598,1.853,8084.515,1.0,1.0,0.0,34.173,0.0,0.0,36.026,
1800,DC_CR,187689,90960,1.0,15825.0,2.155,316.191,1.0,1.0,0.0,284.572,0.0,0.0,286.726,
