time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,104970,90960,1.0,15825.0,2.153,328.057,1.0,1.0,0.0,295.252,0.0,0.0,297.404,
0,DC_OS,104968,104968,0.908,17970.0,1.527,6981.111,1.0,1.0,0.0,279.237,0.0,0.0,280.763,
0,DC_MB,104968,104968,0.768,31514.784,4.096,2024.397,1.0,1.0,0.0,797.128,0.0,0.0,801.224,
0,DC_SH,104966,104966,0.823,25950.0,0.0,41188.921,1.0,0.631,0.37,75.221,15238.921,0.0,75.221,
0,DC_LA,104962,104962,0.781,23460.0,2.129,8135.467,1.0,1.0,0.0,34.984,0.0,0.0,37.113,
600,DC_CR,431221,90960,1.0,15825.0,2.154,320.144,1.0,1.0,0.0,288.13,0.0,0.0,290.284,
600,DC_OS,78539,78539,0.679,17970.0,0.407,15042.002,1.0,1.0,0.0,601.673,0.0,0.0,602.079,
600,DC_MB,0,0,0.0,24840.0,3.178,1959.786,1.0,1.0,0.0,764.774,0.0,0.0,767.952,
600,DC_SH,0,0,0.0,14040.0,0.0,40647.309,1.0,0.346,0.655,78.793,26607.309,0.0,78.793,
600,DC_LA,0,0,0.0,21360.0,1.859,7977.491,1.0,1.0,0.0,35.631,0.0,0.0,37.489,
1200,DC_CR,18262,90960,1.0,15825.0,2.154,320.248,1.0,1.0,0.0,288.224,0.0,0.0,290.377,
1200,DC_OS,456670,115680,1.0,17970.0,0.0,21071.32,1.0,0.853,0.148,842.846,3101.32,0.0,842.846,
1200,DC_MB,41805,41805,0.306,30270.0,3.936,1934.621,1.0,1.0,0.0,778.013,0.0,0.0,781.949,
1200,DC_SH,0,0,0.0,14040.0,0.0,42217.357,1.0,0.333,0.668,78.09,28177.357,0.0,78.09,
1200,DC_LA,0,0,0.0,21360.0,1.786,8505.936,1.0,1.0,0.0,34.533,0.0,0.0,36.319,
1800,DC_CR,64007,90960,1.0,15825.0,2.152,333.372,1.0,1.0,0.0,300.035,0.0,0.0,302.187,
1800,DC_OS,43728,115680,1.0,17970.0,0.0,23226.618,1.0,0.774,0.227,929.057,5256.618,0.0,929.057,
1800,DC_MB,394822,136800,1.0,32370.0,4.213,2039.53,1.0,1.0,0.0,801.598,0.0,0.0,805.811,
1800,DC_SH,20561,20561,0.162,18600.713,0.0,42043.229,1.0,0.443,0.558,79.166,23442.517,0.0,79.166,
1800,DC_LA,0,0,0.0,21360.0,1.821,8253.261,1.0,1.0,0.0,34.566,0.0,0.0,36.386,
2400,DC_CR,213375,90960,1.0,15825.0,2.153,326.786,1.0,1.0,0.0,294.108,0.0,0.0,296.26,
2400,DC_OS,35565,115680,1.0,17970.0,0.0,17247.837,1.0,1.0,0.0,689.906,-722.163,0.021,689.926,
2400,DC_MB,16802,136800,1.0,32370.0,4.219,1997.921,1.0,1.0,0.0,759.5,0.0,0.0,763.718,
2400,DC_SH,219971,127680,1.0,25950.0,0.0,40570.071,1.0,0.64,0.361,79.064,14620.071,0.0,79.064,
2400,DC_LA,33176,33176,0.247,21809.911,1.846,8520.653,1.0,1.0,0.0,33.322,0.0,0.0,35.168,
3000,DC_CR,259245,90960,1.0,15825.0,2.152,331.429,1.0,1.0,0.0,298.287,0.0,0.0,300.438,
3000,DC_OS,42706,115680,1.0,17970.0,0.0,23062.171,1.0,0.78,0.221,922.48,5092.171,0.0,922.48,
3000,DC_MB,24441,136800,1.0,32370.0,4.224,1958.271,1.0,1.0,0.0,757.354,0.0,0.0,761.578,
3000,DC_SH,65010,127680,1.0,25950.0,0.0,41617.727,1.0,0.624,0.377,72.826,15667.727,0.0,72.826,
3000,DC_LA,119330,119330,0.888,23460.0,2.057,8652.84,1.0,1.0,0.0,35.26,0.0,0.0,37.316,
3600,DC_CR,188522,90960,1.0,15825.0,2.155,312.751,1.0,1.0,0.0,281.476,0.0,0.0,283.631,
3600,DC_OS,66960,115680,1.0,17970.0,0.0,11317.731,1.0,1.0,0.0,452.702,-6652.269,0.185,452.887,
3600,DC_MB,274464,136800,1.0,32370.0,3.742,5427.845,1.0,1.0,0.0,768.472,0.0,0.0,772.214,
3600,DC_SH,75407,105028,0.823,25950.0,0.0,45745.199,1.0,0.568,0.433,78.764,19795.199,0.0,78.764,
3600,DC_LA,0,0,0.0,21360.0,2.507,3316.374,1.0,1.0,0.0,35.126,0.0,0.0,37.632,
4200,DC_CR,188443,90960,1.0,15825.0,2.151,338.203,1.0,1.0,0.0,304.383,0.0,0.0,306.534,
4200,DC_OS,232823,115680,1.0,17970.0,0.0,12006.66,1.0,1.0,0.0,480.259,-5963.34,0.166,480.425,
4200,DC_MB,2131,136800,1.0,32370.0,3.767,5249.357,1.0,1.0,0.0,782.664,0.0,0.0,786.43,
4200,DC_SH,168693,127680,1.0,25950.0,0.0,47121.811,1.0,0.551,0.45,73.435,21171.811,0.0,73.435,
4200,DC_LA,0,0,0.0,21360.0,2.496,3395.018,1.0,1.0,0.0,33.767,0.0,0.0,36.262,
