time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,102731,90960,1.0,15825.0,2.154,316.952,1.0,1.0,0.0,285.257,0.0,0.0,287.411,
0,DC_OS,102728,102728,0.889,17970.0,1.972,3775.995,1.0,1.0,0.0,151.033,0.0,0.0,153.004,
0,DC_MB,102726,102726,0.751,31452.121,4.105,1896.144,1.0,1.0,0.0,733.009,0.0,0.0,737.114,
0,DC_SH,102725,102725,0.805,25950.0,0.0,42143.667,1.0,0.616,0.385,75.083,16193.668,0.0,75.083,
0,DC_LA,102723,102723,0.765,23460.0,2.128,8141.082,1.0,1.0,0.0,33.246,0.0,0.0,35.374,
600,DC_CR,274790,90960,1.0,15825.0,2.154,321.656,1.0,1.0,0.0,289.491,0.0,0.0,291.644,
600,DC_OS,71291,71291,0.617,17970.0,0.093,17305.3,1.0,1.0,0.0,692.205,0.0,0.0,692.297,
600,DC_MB,0,0,0.0,24840.0,3.175,1986.596,1.0,1.0,0.0,751.871,0.0,0.0,755.045,
600,DC_SH,69629,69629,0.546,25475.751,0.0,41605.059,1.0,0.613,0.388,76.063,16129.308,0.0,76.063,
600,DC_LA,97279,97279,0.724,23460.0,2.089,8421.815,1.0,1.0,0.0,33.771,0.0,0.0,35.86,
1200,DC_CR,78515,90960,1.0,15825.0,2.153,325.534,1.0,1.0,0.0,292.981,0.0,0.0,295.134,
1200,DC_OS,264610,115680,1.0,17970.0,0.0,22468.099,1.0,0.8,0.201,898.717,4498.099,0.0,898.717,
1200,DC_MB,8533,8533,0.063,26732.737,3.437,1990.63,1.0,1.0,0.0,794.138,0.0,0.0,797.575,
1200,DC_SH,68493,68493,0.537,25443.583,0.0,39409.869,1.0,0.646,0.355,72.634,13966.287,0.0,72.634,
1200,DC_LA,105764,105764,0.787,23460.0,2.096,8371.818,1.0,1.0,0.0,35.184,0.0,0.0,37.28,
1800,DC_CR,205301,90960,1.0,15825.0,2.152,334.051,1.0,1.0,0.0,300.646,0.0,0.0,302.798,
1800,DC_OS,39026,115680,1.0,17970.0,0.0,16969.596,1.0,1.0,0.0,678.777,-1000.404,0.028,678.804,
1800,DC_MB,109358,109358,0.8,31634.863,4.119,1979.156,1.0,1.0,0.0,740.327,0.0,0.0,744.446,
1800,DC_SH,67801,67801,0.532,25420.579,0.0,41418.881,1.0,0.614,0.387,72.699,15998.303,0.0,72.699,
1800,DC_LA,100287,100287,0.747,23460.0,2.092,8404.263,1.0,1.0,0.0,35.714,0.0,0.0,37.805,
2400,DC_CR,115451,90960,1.0,15825.0,2.152,330.693,1.0,1.0,0.0,297.624,0.0,0.0,299.776,
2400,DC_OS,155765,115680,1.0,17970.0,0.0,15091.622,1.0,1.0,0.0,603.658,-2878.378,0.08,603.738,
2400,DC_MB,42988,42988,0.315,30270.0,3.922,2032.873,1.0,1.0,0.0,796.76,0.0,0.0,800.682,
2400,DC_SH,83095,83095,0.651,25836.896,0.0,40341.209,1.0,0.641,0.36,72.954,14504.314,0.0,72.954,
2400,DC_LA,120741,120741,0.899,23460.0,2.057,8652.402,1.0,1.0,0.0,33.016,0.0,0.0,35.073,
3000,DC_CR,143999,90960,1.0,15825.0,2.151,340.842,1.0,1.0,0.0,306.758,0.0,0.0,308.909,
3000,DC_OS,63892,115680,1.0,17970.0,0.0,20569.43,1.0,0.874,0.127,822.77,2599.43,0.0,822.77,
3000,DC_MB,111934,111934,0.819,31700.552,4.123,2021.799,1.0,1.0,0.0,790.445,0.0,0.0,794.567,
3000,DC_SH,79885,79885,0.626,25751.44,0.0,40502.987,1.0,0.636,0.365,72.616,14751.547,0.0,72.616,
3000,DC_LA,109999,109999,0.819,23460.0,2.06,8631.584,1.0,1.0,0.0,33.678,0.0,0.0,35.737,
3600,DC_CR,201466,90960,1.0,15825.0,2.151,339.064,1.0,1.0,0.0,305.158,0.0,0.0,307.309,
3600,DC_OS,134180,115680,1.0,17970.0,0.0,21189.613,1.0,0.849,0.152,847.577,3219.613,0.0,847.577,
3600,DC_MB,82293,82293,0.602,30889.54,3.531,5473.266,1.0,1.0,0.0,767.315,0.0,0.0,770.845,
3600,DC_SH,76907,76907,0.603,25678.931,0.0,43627.679,1.0,0.589,0.412,77.838,17948.749,0.0,77.838,
3600,DC_LA,103941,103941,0.774,23460.0,2.793,3352.608,1.0,1.0,0.0,34.211,0.0,0.0,37.004,
4200,DC_CR,219566,90960,1.0,15825.0,2.154,318.227,1.0,1.0,0.0,286.405,0.0,0.0,288.559,
4200,DC_OS,95132,115680,1.0,17970.0,0.0,15437.27,1.0,1.0,0.0,617.484,-2532.73,0.071,617.554,
4200,DC_MB,95700,95700,0.7,31247.392,3.613,5239.185,1.0,1.0,0.0,768.705,0.0,0.0,772.317,
4200,DC_SH,81529,81529,0.639,25796.345,0.0,46159.77,1.0,0.559,0.442,74.373,20363.426,0.0,74.373,
4200,DC_LA,102468,102468,0.763,23460.0,2.77,3521.188,1.0,1.0,0.0,33.482,0.0,0.0,36.252,
4800,DC_CR,175980,90960,1.0,15825.0,2.152,333.453,1.0,1.0,0.0,300.108,0.0,0.0,302.26,
4800,DC_OS,176885,115680,1.0,17970.0,0.0,18944.536,1.0,0.949,0.052,757.774,974.536,0.0,757.774,
4800,DC_MB,47868,47868,0.35,30270.0,3.471,5280.158,1.0,1.0,0.0,748.522,0.0,0.0,751.993,
4800,DC_SH,66715,66715,0.523,25391.201,0.0,46178.989,1.0,0.55,0.451,79.261,20787.789,0.0,79.261,
4800,DC_LA,123144,123144,0.917,23460.0,2.803,3281.212,1.0,1.0,0.0,35.172,0.0,0.0,37.974,
5400,DC_CR,237691,90960,1.0,15825.0,2.153,324.608,1.0,1.0,0.0,292.148,0.0,0.0,294.301,
5400,DC_OS,61086,115680,1.0,17970.0,0.0,23038.591,1.0,0.78,0.221,921.536,5068.591,0.0,921.536,
5400,DC_MB,114223,114223,0.835,31765.838,3.633,5611.991,1.0,1.0,0.0,800.297,0.0,0.0,803.93,
5400,DC_SH,71550,71550,0.561,25520.501,0.0,45183.439,1.0,0.565,0.436,72.15,19662.939,0.0,72.15,
5400,DC_LA,105658,105658,0.787,23460.0,2.812,3214.954,1.0,1.0,0.0,35.298,0.0,0.0,38.109,
6000,DC_CR,206130,90960,1.0,15825.0,2.155,313.386,1.0,1.0,0.0,282.048,0.0,0.0,284.202,
6000,DC_OS,113455,115680,1.0,17970.0,0.0,25992.988,1.0,0.692,0.309,1039.712,8022.988,0.0,1039.712,
6000,DC_MB,91495,91495,0.669,31137.636,3.577,5384.203,1.0,1.0,0.0,750.06,0.0,0.0,753.637,
6000,DC_SH,78613,78613,0.616,25711.683,0.0,45925.232,1.0,0.56,0.441,76.904,20213.55,0.0,76.904,
6000,DC_LA,99553,99553,0.741,23460.0,2.787,3395.603,1.0,1.0,0.0,34.56,0.0,0.0,37.346,
6600,DC_CR,177304,90960,1.0,15825.0,2.153,329.937,1.0,1.0,0.0,296.944,0.0,0.0,299.096,
6600,DC_OS,123681,115680,1.0,17970.0,0.0,16665.906,1.0,1.0,0.0,666.629,-1304.094,0.037,666.665,
6600,DC_MB,90546,90546,0.662,31115.903,3.549,5563.368,1.0,1.0,0.0,798.584,0.0,0.0,802.133,
6600,DC_SH,73607,73607,0.577,25588.452,0.0,45805.66,1.0,0.559,0.442,78.649,20217.209,0.0,78.649,
6600,DC_LA,121961,121961,0.908,23460.0,2.78,3444.853,1.0,1.0,0.0,35.235,0.0,0.0,38.015,
7200,DC_CR,368213,90960,1.0,15825.0,2.152,332.214,1.0,1.0,0.0,298.993,0.0,0.0,301.145,
7200,DC_OS,35683,106595,0.922,17970.0,0.0,11189.733,1.0,1.0,0.0,447.582,-6780.267,0.189,447.77,
7200,DC_MB,0,0,0.0,24840.0,2.232,8774.932,1.0,1.0,0.0,737.998,0.0,0.0,740.229,
7200,DC_SH,74950,74950,0.588,25616.56,0.0,48350.871,1.0,0.53,0.471,77.487,22734.312,0.0,77.487,
7200,DC_LA,95755,95755,0.713,23460.0,3.192,480.519,1.0,1.0,0.0,32.886,0.0,0.0,36.078,
7800,DC_CR,60417,90960,1.0,15825.0,2.152,336.802,1.0,1.0,0.0,303.122,0.0,0.0,305.273,
7800,DC_OS,312464,115680,1.0,17970.0,0.0,13657.999,1.0,1.0,0.0,546.313,-4312.001,0.12,546.432,
7800,DC_MB,0,0,0.0,24840.0,2.272,8484.193,1.0,1.0,0.0,746.351,0.0,0.0,748.623,
7800,DC_SH,90395,90395,0.708,25950.0,0.0,50501.731,1.0,0.514,0.487,76.743,24551.731,0.0,76.743,
7800,DC_LA,117558,117558,0.875,23460.0,3.188,507.38,1.0,1.0,0.0,32.966,0.0,0.0,36.154,
8400,DC_CR,195250,90960,1.0,15825.0,2.152,334.432,1.0,1.0,0.0,300.989,0.0,0.0,303.141,
8400,DC_OS,63105,115680,1.0,17970.0,0.0,13318.209,1.0,1.0,0.0,532.721,-4651.791,0.13,532.85,
