time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,104445,90960,1.0,15825.0,2.151,339.921,1.0,1.0,0.0,305.929,0.0,0.0,308.08,
0,DC_OS,104441,104441,0.903,17970.0,2.219,1995.403,1.0,1.0,0.0,79.809,0.0,0.0,82.028,
0,DC_MB,104436,104436,0.764,31485.096,4.093,2018.338,1.0,1.0,0.0,806.296,0.0,0.0,810.389,
0,DC_SH,104434,104434,0.818,25950.0,0.0,42869.091,1.0,0.606,0.395,73.302,16919.091,0.0,73.302,
0,DC_LA,104433,104433,0.778,23460.0,2.123,8179.728,1.0,1.0,0.0,35.377,0.0,0.0,37.499,
600,DC_CR,82481,90960,1.0,15825.0,2.151,341.313,1.0,1.0,0.0,307.182,0.0,0.0,309.333,
600,DC_OS,71484,71484,0.618,17970.0,0.651,13287.855,1.0,1.0,0.0,531.507,0.0,0.0,532.157,
600,DC_MB,330468,136800,1.0,32370.0,4.226,1947.515,1.0,1.0,0.0,778.132,0.0,0.0,782.357,
600,DC_SH,0,0,0.0,14040.0,0.0,40899.994,1.0,0.344,0.657,78.905,26859.994,0.0,78.905,
600,DC_LA,28957,28957,0.216,21683.762,1.9,8004.922,1.0,1.0,0.0,34.73,0.0,0.0,36.63,
1200,DC_CR,226148,90960,1.0,15825.0,2.153,325.003,1.0,1.0,0.0,292.503,0.0,0.0,294.656,
1200,DC_OS,83423,83423,0.722,17970.0,0.0,20636.458,1.0,0.871,0.13,825.451,2666.458,0.0,825.451,
1200,DC_MB,0,136800,1.0,32370.0,4.223,1968.711,1.0,1.0,0.0,780.717,0.0,0.0,784.94,
1200,DC_SH,163801,127680,1.0,25950.0,0.0,41224.142,1.0,0.63,0.371,75.047,15274.142,0.0,75.047,
1200,DC_LA,42356,42356,0.316,22056.78,1.938,8107.038,1.0,1.0,0.0,33.32,0.0,0.0,35.258,
1800,DC_CR,79735,90960,1.0,15825.0,2.152,334.809,1.0,1.0,0.0,301.329,0.0,0.0,303.48,
1800,DC_OS,308358,115680,1.0,17970.0,0.4,12426.048,1.0,1.0,0.0,497.035,-2666.457,0.075,497.508,
1800,DC_MB,0,56868,0.416,30270.0,3.937,1929.172,1.0,1.0,0.0,772.368,0.0,0.0,776.305,
1800,DC_SH,7577,43698,0.343,23732.817,0.0,39149.674,1.0,0.607,0.394,77.875,15416.858,0.0,77.875,
1800,DC_LA,127817,127817,0.952,23460.0,2.118,8212.791,1.0,1.0,0.0,34.84,0.0,0.0,36.958,
