time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,102286,90960,1.0,15825.0,0.0,39141.7,1.0,0.405,0.596,12525.345,23316.7,0.0,12525.345,
0,DC_OS,102283,102283,0.885,17970.0,2.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.496,
0,DC_MB,102282,102282,0.748,31427.344,3.255,7992.014,1.0,1.0,0.0,3082.634,0.0,0.0,3085.889,
0,DC_SH,102279,102279,0.802,25950.0,3.46,1038.378,1.0,1.0,0.0,369.202,0.0,0.0,372.662,
0,DC_LA,102277,102277,0.761,23460.0,3.259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.259,
600,DC_CR,103008,90960,1.0,15825.0,0.0,41646.776,1.0,0.38,0.621,13326.969,25821.776,0.0,13326.969,
600,DC_OS,297347,115680,1.0,17970.0,2.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.496,
600,DC_MB,8766,8766,0.065,26784.42,2.578,8228.54,1.0,1.0,0.0,3173.866,0.0,0.0,3176.443,
600,DC_SH,10340,10340,0.081,16333.554,2.122,1056.95,1.0,1.0,0.0,375.805,0.0,0.0,377.927,
600,DC_LA,95308,95308,0.71,23460.0,3.259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.259,
1200,DC_CR,273585,90960,1.0,15825.0,0.0,42329.237,1.0,0.374,0.627,13545.356,26504.237,0.0,13545.356,
1200,DC_OS,796,115680,1.0,17970.0,2.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.496,
1200,DC_MB,75744,75744,0.554,30711.429,3.071,8605.763,1.0,1.0,0.0,3319.366,0.0,0.0,3322.436,
1200,DC_SH,64700,64700,0.507,25341.206,3.382,992.609,1.0,1.0,0.0,352.928,0.0,0.0,356.31,
1200,DC_LA,98322,98322,0.732,23460.0,3.259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.259,
1800,DC_CR,80662,90960,1.0,15825.0,0.0,39129.857,1.0,0.405,0.596,12521.555,23304.858,0.0,12521.555,
1800,DC_OS,255707,115680,1.0,17970.0,2.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.496,
1800,DC_MB,28357,28357,0.208,30270.0,3.033,8437.422,1.0,1.0,0.0,3254.435,0.0,0.0,3257.467,
1800,DC_SH,36791,36791,0.289,22200.749,2.948,981.397,1.0,1.0,0.0,348.942,0.0,0.0,351.889,
1800,DC_LA,113821,113821,0.847,23460.0,3.259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.259,
2400,DC_CR,190729,90960,1.0,15825.0,0.0,42572.66,1.0,0.372,0.629,13623.252,26747.661,0.0,13623.252,
2400,DC_OS,45774,115680,1.0,17970.0,2.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.496,
2400,DC_MB,104414,104414,0.764,31499.481,3.236,8205.862,1.0,1.0,0.0,3165.119,0.0,0.0,3168.354,
2400,DC_SH,72124,72124,0.565,25536.92,3.411,978.823,1.0,1.0,0.0,348.026,0.0,0.0,351.437,
2400,DC_LA,109545,109545,0.816,23460.0,3.259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.259,
3000,DC_CR,195045,90960,1.0,15825.0,0.0,39609.736,1.0,0.4,0.601,12675.116,23784.736,0.0,12675.116,
3000,DC_OS,40770,115680,1.0,17970.0,2.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.496,
3000,DC_MB,106508,106508,0.779,31553.884,3.285,7907.236,1.0,1.0,0.0,3049.934,0.0,0.0,3053.219,
3000,DC_SH,72355,72355,0.567,25549.811,3.416,961.605,1.0,1.0,0.0,341.905,0.0,0.0,345.32,
3000,DC_LA,110925,110925,0.826,23460.0,3.259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.259,
3600,DC_CR,172991,90960,1.0,15825.0,0.0,46024.949,1.0,0.344,0.657,114815.01,30199.949,0.0,114815.01,
3600,DC_OS,231778,115680,1.0,17970.0,2.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.496,
3600,DC_MB,43382,43382,0.318,30270.0,3.748,3291.18,1.0,1.0,0.0,9321.175,0.0,0.0,9324.922,
3600,DC_SH,42805,42805,0.336,23534.737,2.643,4512.157,1.0,1.0,0.0,11416.574,0.0,0.0,11419.217,
3600,DC_LA,98347,98347,0.732,23460.0,3.259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.259,
4200,DC_CR,201586,90960,1.0,15825.0,0.0,46790.302,1.0,0.339,0.662,116724.279,30965.303,0.0,116724.279,
4200,DC_OS,61886,115680,1.0,17970.0,2.496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.496,
4200,DC_MB,246492,136800,1.0,32370.0,4.055,3176.924,1.0,1.0,0.0,8997.583,0.0,0.0,9001.637,
