time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,105345,90960,1.0,15825.0,0.0,51505.512,1.0,0.308,0.693,8578.025,35680.512,0.0,8578.025,
0,DC_OS,105343,105343,0.911,17970.0,0.0,38794.698,1.0,0.464,0.537,1551.788,20824.698,0.0,1551.788,
0,DC_MB,105342,105342,0.771,31520.042,1.838,18292.284,1.0,1.0,0.0,7870.539,0.0,0.0,7872.376,
0,DC_SH,105340,105340,0.826,25950.0,0.0,28988.692,1.0,0.896,0.105,27983.652,3038.692,0.0,27983.652,
0,DC_LA,105336,105336,0.784,23460.0,1.99,9136.187,1.0,1.0,0.0,8222.569,0.0,0.0,8224.558,
600,DC_CR,192875,90960,1.0,15825.0,0.0,52318.272,1.0,0.303,0.698,8715.797,36493.272,0.0,8715.797,
600,DC_OS,257217,115680,1.0,17970.0,0.0,38383.513,1.0,0.469,0.532,1535.341,20413.513,0.0,1535.341,
600,DC_MB,62763,62763,0.459,30346.125,1.724,17935.835,1.0,1.0,0.0,7759.412,0.0,0.0,7761.136,
600,DC_SH,0,0,0.0,14040.0,0.0,26768.601,1.0,0.525,0.476,25714.418,12728.601,0.0,25714.418,
600,DC_LA,0,0,0.0,21360.0,1.686,9227.255,1.0,1.0,0.0,8304.53,0.0,0.0,8306.215,
1200,DC_CR,74578,90960,1.0,15825.0,0.0,50654.991,1.0,0.313,0.688,8260.39,34829.991,0.0,8260.39,
1200,DC_OS,53930,115680,1.0,17970.0,0.0,41327.18,1.0,0.435,0.566,1653.088,23357.18,0.0,1653.088,
1200,DC_MB,366819,136800,1.0,32370.0,2.027,17781.525,1.0,1.0,0.0,7874.076,0.0,0.0,7876.102,
1200,DC_SH,0,0,0.0,14040.0,0.0,27371.037,1.0,0.513,0.488,26322.987,13331.037,0.0,26322.987,
1200,DC_LA,26588,26588,0.198,21629.624,1.702,9379.315,1.0,1.0,0.0,8441.384,0.0,0.0,8443.085,
1800,DC_CR,207991,90960,1.0,15825.0,0.0,51575.8,1.0,0.307,0.694,8597.602,35750.8,0.0,8597.602,
1800,DC_OS,135110,115680,1.0,17970.0,0.0,39597.172,1.0,0.454,0.547,1583.887,21627.172,0.0,1583.887,
1800,DC_MB,9614,136800,1.0,32370.0,1.992,18034.543,1.0,1.0,0.0,7628.452,0.0,0.0,7630.443,
1800,DC_SH,60255,60255,0.472,25218.057,0.0,26850.35,1.0,0.94,0.061,25872.421,1632.294,0.0,25872.421,
1800,DC_LA,115856,115856,0.863,23460.0,1.959,9360.171,1.0,1.0,0.0,8424.154,0.0,0.0,8426.113,
2400,DC_CR,204873,90960,1.0,15825.0,0.0,50754.625,1.0,0.312,0.689,8351.921,34929.625,0.0,8351.921,
2400,DC_OS,76242,115680,1.0,17970.0,0.0,40597.31,1.0,0.443,0.558,1623.893,22627.31,0.0,1623.893,
2400,DC_MB,85298,136800,1.0,32370.0,1.994,18015.436,1.0,1.0,0.0,7756.423,0.0,0.0,7758.417,
2400,DC_SH,38962,38962,0.306,22682.307,0.0,27542.29,1.0,0.824,0.177,26572.296,4859.984,0.0,26572.296,
2400,DC_LA,120547,120547,0.897,23460.0,1.951,9416.856,1.0,1.0,0.0,8475.171,0.0,0.0,8477.121,
3000,DC_CR,81596,90960,1.0,15825.0,0.0,52594.155,1.0,0.301,0.7,8707.741,36769.155,0.0,8707.741,
3000,DC_OS,264276,115680,1.0,17970.0,0.0,41920.512,1.0,0.429,0.572,1676.821,23950.513,0.0,1676.821,
3000,DC_MB,138691,136800,1.0,32370.0,1.962,18248.049,1.0,1.0,0.0,7890.825,0.0,0.0,7892.787,
3000,DC_SH,0,0,0.0,14040.0,0.0,26929.301,1.0,0.522,0.479,25889.706,12889.301,0.0,25889.706,
3000,DC_LA,33261,33261,0.248,21799.042,1.744,9244.093,1.0,1.0,0.0,8319.684,0.0,0.0,8321.428,
3600,DC_CR,207297,90960,1.0,15825.0,0.0,53618.139,1.0,0.296,0.705,8597.632,37793.139,0.0,8597.632,
3600,DC_OS,58256,115680,1.0,17970.0,0.0,41875.459,1.0,0.43,0.571,1675.019,23905.46,0.0,1675.019,
3600,DC_MB,233213,136800,1.0,32370.0,2.626,13467.616,1.0,1.0,0.0,8170.261,0.0,0.0,8172.886,
3600,DC_SH,0,0,0.0,14040.0,0.0,31112.926,1.0,0.452,0.549,26740.089,17072.926,0.0,26740.089,
3600,DC_LA,98914,98914,0.736,23460.0,1.789,10586.314,1.0,1.0,0.0,9527.683,0.0,0.0,9529.471,
4200,DC_CR,287802,90960,1.0,15825.0,0.0,54223.928,1.0,0.292,0.709,8677.393,38398.928,0.0,8677.393,
4200,DC_OS,60195,115680,1.0,17970.0,0.0,41998.906,1.0,0.428,0.573,1679.957,24028.907,0.0,1679.957,
4200,DC_MB,33945,136800,1.0,32370.0,2.731,12709.658,1.0,1.0,0.0,7552.509,0.0,0.0,7555.239,
4200,DC_SH,99468,99468,0.78,25950.0,0.0,30368.692,1.0,0.855,0.146,25819.319,4418.692,0.0,25819.319,
4200,DC_LA,110073,110073,0.819,23460.0,1.784,10620.683,1.0,1.0,0.0,9558.615,0.0,0.0,9560.398,
4800,DC_CR,207247,90960,1.0,15825.0,0.0,53113.051,1.0,0.298,0.703,8207.641,37288.051,0.0,8207.641,
4800,DC_OS,134893,115680,1.0,17970.0,0.0,39679.233,1.0,0.453,0.548,1587.17,21709.233,0.0,1587.17,
4800,DC_MB,160057,136800,1.0,32370.0,2.665,13184.326,1.0,1.0,0.0,7982.268,0.0,0.0,7984.933,
4800,DC_SH,0,0,0.0,14040.0,0.0,31578.675,1.0,0.445,0.556,27102.26,17538.675,0.0,27102.26,
4800,DC_LA,92792,92792,0.691,23434.962,1.744,10880.442,1.0,1.0,0.0,9792.398,0.0,0.0,9794.142,
5400,DC_CR,235186,90960,1.0,15825.0,0.0,55396.685,1.0,0.286,0.715,8646.218,39571.685,0.0,8646.218,
5400,DC_OS,67443,115680,1.0,17970.0,0.0,41520.722,1.0,0.433,0.568,1660.829,23550.722,0.0,1660.829,
