time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103569,103569,0.806,41541.554,0.0,51207.261,1.0,0.812,0.189,8156.786,9665.708,0.0,8156.786,
0,DC_OS,103566,103566,0.603,44328.647,0.346,41839.15,1.0,1.0,0.0,1673.566,0.0,0.0,1673.912,
0,DC_MB,103562,103562,0.758,55567.875,5.283,17530.746,1.0,1.0,0.0,7456.344,0.0,0.0,7461.627,
0,DC_SH,103561,103561,0.706,46837.688,2.441,29269.572,1.0,1.0,0.0,28274.918,0.0,0.0,28277.359,
0,DC_LA,103559,103559,0.66,41896.207,4.5,9500.217,1.0,1.0,0.0,8550.196,0.0,0.0,8554.695,
600,DC_CR,177890,128640,1.0,45900.0,0.0,49814.516,1.0,0.922,0.079,8221.452,3914.517,0.0,8221.452,
600,DC_OS,145346,145346,0.846,50340.387,1.571,39035.216,1.0,1.0,0.0,1561.409,0.0,0.0,1562.979,
600,DC_MB,60897,60897,0.446,47568.188,4.097,18076.332,1.0,1.0,0.0,7923.725,0.0,0.0,7927.821,
600,DC_SH,101679,101679,0.693,46484.813,2.51,28413.395,1.0,1.0,0.0,27439.357,0.0,0.0,27441.867,
600,DC_LA,32999,32999,0.211,28533.641,2.592,9876.345,1.0,1.0,0.0,8888.711,0.0,0.0,8891.302,
1200,DC_CR,180322,128640,1.0,45900.0,0.0,50265.012,1.0,0.914,0.087,8777.511,4365.013,0.0,8777.511,
1200,DC_OS,141303,141303,0.823,49744.879,1.365,39919.851,1.0,1.0,0.0,1596.795,0.0,0.0,1598.159,
1200,DC_MB,65431,65431,0.479,48418.313,4.186,18279.163,1.0,1.0,0.0,7748.778,0.0,0.0,7752.964,
1200,DC_SH,102851,102851,0.701,46704.563,2.75,26907.229,1.0,1.0,0.0,25902.408,0.0,0.0,25905.158,
1200,DC_LA,35745,35745,0.228,29107.21,2.711,9594.773,1.0,1.0,0.0,8635.296,0.0,0.0,8638.006,
1800,DC_CR,177108,128640,1.0,45900.0,0.0,50837.978,1.0,0.903,0.098,8502.072,4937.979,0.0,8502.072,
1800,DC_OS,140656,140656,0.819,49715.861,1.304,40327.131,1.0,1.0,0.0,1613.086,0.0,0.0,1614.39,
1800,DC_MB,64402,64402,0.471,48225.375,4.269,17490.714,1.0,1.0,0.0,7329.118,0.0,0.0,7333.387,
1800,DC_SH,94805,94805,0.646,45195.938,2.545,26878.56,1.0,1.0,0.0,25847.479,0.0,0.0,25850.024,
1800,DC_LA,33801,33801,0.216,28743.331,2.71,9237.111,1.0,1.0,0.0,8313.4,0.0,0.0,8316.11,
2400,DC_CR,181284,128640,1.0,45900.0,0.0,48516.063,1.0,0.947,0.054,8347.85,2616.064,0.0,8347.85,
2400,DC_OS,143800,143800,0.837,50248.858,1.158,41913.014,1.0,1.0,0.0,1676.521,0.0,0.0,1677.679,
2400,DC_MB,62365,62365,0.456,47843.438,4.198,17624.465,1.0,1.0,0.0,7669.756,0.0,0.0,7673.954,
