time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103366,103366,0.804,41531.149,0.0,49204.608,1.0,0.845,0.156,8572.139,7673.46,0.0,8572.139,
0,DC_OS,103363,103363,0.602,44320.901,0.381,41581.236,1.0,1.0,0.0,1663.25,0.0,0.0,1663.63,
0,DC_MB,103362,103362,0.756,55530.375,5.299,17378.943,1.0,1.0,0.0,7337.659,0.0,0.0,7342.958,
0,DC_SH,103358,103358,0.704,46799.625,2.666,27607.909,1.0,1.0,0.0,26624.152,0.0,0.0,26626.818,
0,DC_LA,103356,103356,0.659,41885.428,4.433,9974.482,1.0,1.0,0.0,8977.034,0.0,0.0,8981.466,
600,DC_CR,484288,128640,1.0,45900.0,0.0,51567.37,1.0,0.891,0.11,8587.674,5667.371,0.0,8587.674,
600,DC_OS,0,0,0.0,22980.0,0.0,38844.168,1.0,0.592,0.409,1553.767,15864.168,0.0,1553.767,
600,DC_MB,26575,26575,0.195,34995.1,2.291,18502.708,1.0,1.0,0.0,7958.201,0.0,0.0,7960.491,
600,DC_SH,0,0,0.0,24840.0,0.0,27456.325,1.0,0.905,0.096,26410.947,2616.326,0.0,26410.947,
600,DC_LA,0,0,0.0,21240.0,1.576,9894.733,1.0,1.0,0.0,8905.26,0.0,0.0,8906.836,
1200,DC_CR,0,128640,1.0,45900.0,0.0,49369.832,1.0,0.93,0.071,8394.206,3469.832,0.0,8394.206,
1200,DC_OS,379329,171840,1.0,54000.0,0.0,39107.862,1.0,1.0,0.0,1564.315,-14892.137,0.414,1564.729,
1200,DC_MB,136800,136800,1.0,61800.0,6.113,17790.149,1.0,1.0,0.0,7448.737,0.0,0.0,7454.849,
1200,DC_SH,0,0,0.0,24840.0,0.0,27681.34,1.0,0.898,0.103,26698.149,2841.34,0.0,26698.149,
1200,DC_LA,0,0,0.0,21240.0,1.579,9874.532,1.0,1.0,0.0,8887.079,0.0,0.0,8888.658,
1800,DC_CR,25832,128640,1.0,45900.0,0.0,51267.91,1.0,0.896,0.105,8831.953,5367.91,0.0,8831.953,
1800,DC_OS,12086,171840,1.0,54000.0,1.551,41863.488,1.0,1.0,0.0,1674.54,-972.029,0.028,1676.118,
1800,DC_MB,450536,136800,1.0,61800.0,6.029,18395.276,1.0,1.0,0.0,7942.076,0.0,0.0,7948.104,
1800,DC_SH,13181,13181,0.09,28006.025,0.0,28287.17,1.0,0.991,0.01,27261.192,281.146,0.0,27261.192,
1800,DC_LA,0,0,0.0,21240.0,1.577,9886.342,1.0,1.0,0.0,8897.708,0.0,0.0,8899.285,
2400,DC_CR,91264,128640,1.0,45900.0,0.0,49703.479,1.0,0.924,0.077,8847.357,3803.479,0.0,8847.357,
2400,DC_OS,393778,171840,1.0,54000.0,1.684,41878.348,1.0,1.0,0.0,1675.134,0.0,0.0,1676.818,
2400,DC_MB,0,136800,1.0,61800.0,6.143,17576.661,1.0,1.0,0.0,7372.787,0.0,0.0,7378.929,
2400,DC_SH,31416,31416,0.214,32386.0,0.0,26820.679,1.0,1.0,0.0,25847.997,-5565.321,0.155,25848.152,
2400,DC_LA,0,0,0.0,21240.0,1.6,9722.68,1.0,1.0,0.0,8750.412,0.0,0.0,8752.012,
3000,DC_CR,339598,128640,1.0,45900.0,0.0,50740.612,1.0,0.905,0.096,8674.245,4840.612,0.0,8674.245,
3000,DC_OS,0,171840,1.0,54000.0,1.883,40447.743,1.0,1.0,0.0,1617.91,0.0,0.0,1619.792,
3000,DC_MB,0,136800,1.0,61800.0,6.072,18086.169,1.0,1.0,0.0,8036.063,0.0,0.0,8042.134,
3000,DC_SH,179485,146880,1.0,54600.0,3.811,26990.739,1.0,1.0,0.0,25956.172,-173.489,0.005,25959.988,
3000,DC_LA,0,0,0.0,21240.0,1.586,9822.83,1.0,1.0,0.0,8840.547,0.0,0.0,8842.133,
3600,DC_CR,56693,128640,1.0,45900.0,0.0,54919.139,1.0,0.836,0.165,8057.086,9019.139,0.0,8057.086,
3600,DC_OS,424976,171840,1.0,54000.0,1.778,41200.169,1.0,1.0,0.0,1648.007,0.0,0.0,1649.785,
3600,DC_MB,99531,136800,1.0,61800.0,6.771,13050.964,1.0,1.0,0.0,7768.114,0.0,0.0,7774.885,
3600,DC_SH,2918,35523,0.242,33372.486,0.391,30558.393,1.0,1.0,0.0,26005.476,0.0,0.0,26005.867,
3600,DC_LA,0,0,0.0,21240.0,1.438,10887.595,1.0,1.0,0.0,9798.836,0.0,0.0,9800.274,
4200,DC_CR,98262,128640,1.0,45900.0,0.0,57111.576,1.0,0.804,0.197,8786.948,11211.576,0.0,8786.948,
4200,DC_OS,73901,171840,1.0,54000.0,2.004,39576.987,1.0,1.0,0.0,1583.08,0.0,0.0,1585.083,
4200,DC_MB,376176,136800,1.0,61800.0,6.738,13290.047,1.0,1.0,0.0,7929.949,0.0,0.0,7936.687,
4200,DC_SH,48634,48634,0.332,36521.697,0.864,30306.716,1.0,1.0,0.0,25983.133,0.0,0.0,25983.997,
4200,DC_LA,0,0,0.0,21240.0,1.39,11232.614,1.0,1.0,0.0,10109.353,0.0,0.0,10110.743,
