time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103247,103247,0.803,41524.711,0.0,50767.623,1.0,0.818,0.183,8252.965,9242.913,0.0,8252.965,
0,DC_OS,103245,103245,0.601,44316.178,0.662,39551.259,1.0,1.0,0.0,1582.051,0.0,0.0,1582.713,
0,DC_MB,103242,103242,0.755,55507.875,5.307,17299.091,1.0,1.0,0.0,7536.048,0.0,0.0,7541.355,
0,DC_SH,103240,103240,0.703,46777.5,2.538,28509.407,1.0,1.0,0.0,27462.349,0.0,0.0,27464.887,
0,DC_LA,103236,103236,0.658,41878.688,4.516,9365.253,1.0,1.0,0.0,8428.728,0.0,0.0,8433.244,
600,DC_CR,59239,59239,0.461,33427.313,0.0,49791.66,1.0,0.672,0.329,8138.738,16364.348,0.0,8138.738,
600,DC_OS,309046,171840,1.0,54000.0,2.178,38321.962,1.0,1.0,0.0,1532.879,0.0,0.0,1535.056,
600,DC_MB,64873,64873,0.475,48313.688,4.194,18118.646,1.0,1.0,0.0,7951.013,0.0,0.0,7955.207,
600,DC_SH,17797,17797,0.122,29114.77,0.089,28478.773,1.0,1.0,0.0,27512.141,0.0,0.0,27512.23,
600,DC_LA,58001,58001,0.37,33285.188,3.245,9921.528,1.0,1.0,0.0,8929.376,0.0,0.0,8932.621,
1200,DC_CR,61088,61088,0.475,33774.0,0.0,52435.966,1.0,0.645,0.356,8456.618,18661.966,0.0,8456.618,
1200,DC_OS,324375,171840,1.0,54000.0,2.124,38711.926,1.0,1.0,0.0,1548.478,0.0,0.0,1550.601,
1200,DC_MB,62530,62530,0.458,47874.375,4.14,18071.735,1.0,1.0,0.0,7590.0,0.0,0.0,7594.139,
1200,DC_SH,18067,18067,0.124,29179.623,0.055,28789.535,1.0,1.0,0.0,27750.911,0.0,0.0,27750.966,
1200,DC_LA,55677,55677,0.355,32849.438,3.287,9183.099,1.0,1.0,0.0,8264.79,0.0,0.0,8268.077,
1800,DC_CR,58834,58834,0.458,33351.375,0.0,48631.843,1.0,0.686,0.315,8589.922,15280.468,0.0,8589.922,
1800,DC_OS,321353,171840,1.0,54000.0,1.821,40895.883,1.0,1.0,0.0,1635.836,0.0,0.0,1637.656,
1800,DC_MB,65555,65555,0.48,48441.563,4.225,18025.762,1.0,1.0,0.0,7800.349,0.0,0.0,7804.574,
1800,DC_SH,17923,17923,0.123,29145.035,0.12,28286.491,1.0,1.0,0.0,27306.522,0.0,0.0,27306.642,
1800,DC_LA,60202,60202,0.384,33697.875,3.374,9408.979,1.0,1.0,0.0,8468.082,0.0,0.0,8471.455,
2400,DC_CR,59868,59868,0.466,33545.25,0.0,50025.587,1.0,0.671,0.33,8372.183,16480.337,0.0,8372.183,
