time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,48636,48636,0.379,31422.177,0.0,49518.217,1.0,0.635,0.366,8199.189,18096.041,0.0,8199.189,
0,DC_OS,6592,6592,0.039,24563.373,0.0,41038.522,1.0,0.599,0.402,1641.541,16475.15,0.0,1641.541,
0,DC_MB,296113,136800,1.0,61800.0,6.14,17597.658,1.0,1.0,0.0,7421.861,0.0,0.0,7428.001,
0,DC_SH,75554,75554,0.515,41586.375,1.779,28782.728,1.0,1.0,0.0,27762.627,0.0,0.0,27764.406,
0,DC_LA,89640,89640,0.572,39217.5,4.16,9271.137,1.0,1.0,0.0,8344.024,0.0,0.0,8348.183,
600,DC_CR,47614,47614,0.371,31176.697,0.0,50122.389,1.0,0.623,0.378,8816.113,18945.693,0.0,8816.113,
600,DC_OS,6839,6839,0.04,24622.701,0.0,38353.687,1.0,0.642,0.359,1534.148,13730.987,0.0,1534.148,
600,DC_MB,302124,136800,1.0,61800.0,6.093,17931.402,1.0,1.0,0.0,7822.444,0.0,0.0,7828.537,
600,DC_SH,73917,73917,0.504,41279.438,1.844,28008.006,1.0,1.0,0.0,27034.579,0.0,0.0,27036.423,
600,DC_LA,91108,91108,0.581,39492.75,4.189,9334.249,1.0,1.0,0.0,8400.825,0.0,0.0,8405.013,
1200,DC_CR,47609,47609,0.371,31175.496,0.0,49084.08,1.0,0.636,0.365,8212.75,17908.585,0.0,8212.75,
1200,DC_OS,6651,6651,0.039,24577.545,0.0,40073.176,1.0,0.614,0.387,1602.928,15495.632,0.0,1602.928,
1200,DC_MB,288864,136800,1.0,61800.0,6.155,17490.759,1.0,1.0,0.0,7645.982,0.0,0.0,7652.136,
1200,DC_SH,74301,74301,0.506,41351.438,1.966,27203.077,1.0,1.0,0.0,26148.593,0.0,0.0,26150.559,
1200,DC_LA,88740,88740,0.566,39048.75,4.076,9702.297,1.0,1.0,0.0,8732.068,0.0,0.0,8736.144,
