time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103103,103103,0.802,41516.549,0.0,52229.113,1.0,0.795,0.206,8446.215,10712.565,0.0,8446.215,
0,DC_OS,103097,103097,0.6,44310.004,0.547,40374.949,1.0,1.0,0.0,1614.998,0.0,0.0,1615.545,
0,DC_MB,103097,103097,0.754,55480.688,5.281,17457.602,1.0,1.0,0.0,7624.391,0.0,0.0,7629.672,
0,DC_SH,103094,103094,0.702,46750.125,2.579,28187.996,1.0,1.0,0.0,27152.276,0.0,0.0,27154.855,
0,DC_LA,103094,103094,0.657,41870.317,4.461,9757.413,1.0,1.0,0.0,8781.672,0.0,0.0,8786.132,
600,DC_CR,104974,104974,0.817,41981.568,0.0,52348.347,1.0,0.802,0.199,8580.566,10366.78,0.0,8580.566,
600,DC_OS,104973,104973,0.611,44722.784,0.513,41032.746,1.0,1.0,0.0,1641.31,0.0,0.0,1641.823,
600,DC_MB,104968,104968,0.768,55831.5,5.3,17673.831,1.0,1.0,0.0,7850.049,0.0,0.0,7855.349,
600,DC_SH,104965,104965,0.715,47100.938,2.605,28347.501,1.0,1.0,0.0,27363.85,0.0,0.0,27366.455,
600,DC_LA,104963,104963,0.669,42306.01,4.602,9176.815,1.0,1.0,0.0,8259.134,0.0,0.0,8263.735,
1200,DC_CR,102126,102126,0.794,41445.892,0.0,51952.419,1.0,0.798,0.203,8202.995,10506.527,0.0,8202.995,
1200,DC_OS,102125,102125,0.595,44260.057,0.44,41098.297,1.0,1.0,0.0,1643.932,0.0,0.0,1644.372,
1200,DC_MB,102123,102123,0.747,55298.063,5.154,18195.346,1.0,1.0,0.0,7953.607,0.0,0.0,7958.76,
1200,DC_SH,102119,102119,0.696,46567.313,2.479,28721.869,1.0,1.0,0.0,27681.385,0.0,0.0,27683.864,
1200,DC_LA,102116,102116,0.651,41795.887,4.492,9456.33,1.0,1.0,0.0,8510.697,0.0,0.0,8515.189,
1800,DC_CR,100403,100403,0.781,40859.496,0.0,51893.66,1.0,0.788,0.213,8665.567,11034.165,0.0,8665.567,
1800,DC_OS,100402,100402,0.585,44033.158,0.702,38978.857,1.0,1.0,0.0,1559.155,0.0,0.0,1559.857,
1800,DC_MB,100398,100398,0.734,54974.625,5.091,18326.57,1.0,1.0,0.0,8049.278,0.0,0.0,8054.368,
1800,DC_SH,100395,100395,0.684,46244.063,2.58,27669.707,1.0,1.0,0.0,26612.735,0.0,0.0,26615.315,
1800,DC_LA,100394,100394,0.64,41215.357,4.449,9189.496,1.0,1.0,0.0,8270.547,0.0,0.0,8274.995,
2400,DC_CR,103526,103526,0.805,41539.407,0.0,50483.33,1.0,0.823,0.178,8452.234,8943.924,0.0,8452.234,
2400,DC_OS,103523,103523,0.603,44327.044,0.331,41948.247,1.0,1.0,0.0,1677.93,0.0,0.0,1678.261,
2400,DC_MB,103519,103519,0.757,55559.813,5.233,17885.354,1.0,1.0,0.0,7674.252,0.0,0.0,7679.484,
