time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,0,0,0.0,19740.0,0.0,52349.01,1.0,0.378,0.623,8506.548,32609.011,0.0,8506.548,
0,DC_OS,0,0,0.0,22980.0,0.0,40931.849,1.0,0.562,0.439,1637.274,17951.85,0.0,1637.274,
0,DC_MB,0,0,0.0,28440.0,1.409,18302.35,1.0,1.0,0.0,7911.789,0.0,0.0,7913.197,
0,DC_SH,0,0,0.0,24840.0,0.0,27832.08,1.0,0.893,0.108,26811.967,2992.081,0.0,26811.967,
0,DC_LA,0,0,0.0,21240.0,1.688,9088.356,1.0,1.0,0.0,8179.521,0.0,0.0,8181.209,
600,DC_CR,0,0,0.0,19740.0,0.0,49016.955,1.0,0.403,0.598,8676.656,29276.955,0.0,8676.656,
600,DC_OS,0,0,0.0,22980.0,0.0,38752.855,1.0,0.593,0.408,1550.115,15772.856,0.0,1550.115,
600,DC_MB,0,0,0.0,28440.0,1.476,17815.633,1.0,1.0,0.0,7418.752,0.0,0.0,7420.227,
600,DC_SH,0,0,0.0,24840.0,0.0,29296.011,1.0,0.848,0.153,28240.951,4456.011,0.0,28240.951,
600,DC_LA,0,0,0.0,21240.0,1.594,9765.296,1.0,1.0,0.0,8788.767,0.0,0.0,8790.361,
1200,DC_CR,0,0,0.0,19740.0,0.0,51137.176,1.0,0.387,0.614,8536.347,31397.176,0.0,8536.347,
1200,DC_OS,0,0,0.0,22980.0,0.0,41045.77,1.0,0.56,0.441,1641.831,18065.77,0.0,1641.831,
1200,DC_MB,0,0,0.0,28440.0,1.463,17908.725,1.0,1.0,0.0,7775.847,0.0,0.0,7777.31,
1200,DC_SH,0,0,0.0,24840.0,0.0,27037.946,1.0,0.919,0.082,26006.334,2197.946,0.0,26006.334,
1200,DC_LA,0,0,0.0,21240.0,1.68,9148.873,1.0,1.0,0.0,8233.986,0.0,0.0,8235.666,
1800,DC_CR,0,0,0.0,19740.0,0.0,49811.169,1.0,0.397,0.604,8933.659,30071.169,0.0,8933.659,
1800,DC_OS,0,0,0.0,22980.0,0.0,39658.622,1.0,0.58,0.421,1586.345,16678.623,0.0,1586.345,
1800,DC_MB,0,0,0.0,28440.0,1.482,17773.327,1.0,1.0,0.0,7467.964,0.0,0.0,7469.446,
1800,DC_SH,0,0,0.0,24840.0,0.0,28303.347,1.0,0.878,0.123,27341.72,3463.348,0.0,27341.72,
1800,DC_LA,0,0,0.0,21240.0,1.625,9546.815,1.0,1.0,0.0,8592.134,0.0,0.0,8593.758,
2400,DC_CR,0,0,0.0,19740.0,0.0,52334.518,1.0,0.378,0.623,8334.703,32594.518,0.0,8334.703,
2400,DC_OS,0,0,0.0,22980.0,0.0,38173.446,1.0,0.602,0.399,1526.938,15193.447,0.0,1526.938,
2400,DC_MB,0,0,0.0,28440.0,1.482,17774.196,1.0,1.0,0.0,7965.238,0.0,0.0,7966.719,
2400,DC_SH,0,0,0.0,24840.0,0.0,26904.408,1.0,0.924,0.077,25947.182,2064.408,0.0,25947.182,
2400,DC_LA,0,0,0.0,21240.0,1.602,9709.406,1.0,1.0,0.0,8738.466,0.0,0.0,8740.067,
3000,DC_CR,0,0,0.0,19740.0,0.0,49895.856,1.0,0.396,0.605,8427.955,30155.856,0.0,8427.955,
