,RR,NE,MT,MP,MG,MC
0,229927.68300000002,198589.425,230383.782,230067.478,230171.971,230004.952
1,231942.80000000002,198371.586,231284.074,149955.1,218827.029,198140.95899999997
2,229367.212,197953.229,229761.886,207780.0,219874.965,197677.436
3,227326.69900000002,198206.5,230792.74599999998,210946.025,217780.505,198635.848
4,230149.58299999998,198003.968,230038.42700000003,215326.0,217912.346,199216.652
5,230104.61299999998,197812.855,228976.646,237540.0,218684.892,198313.989
6,246064.228,206446.79499999998,241824.658,216312.486,227578.357,203822.715
7,244397.038,206383.28499999997,242918.005,219461.697,223140.52699999997,204339.319
8,242977.651,206298.987,241850.965,246362.063,224225.21,202783.00199999998
9,242384.548,205703.798,243028.59699999998,254502.0,226106.43999999997,202616.83
10,244332.733,206392.926,242732.937,207780.0,223237.098,204685.954
11,244591.057,205870.60700000002,245297.562,223297.875,221871.443,204186.795
12,240810.839,210073.345,238856.975,237540.0,221225.652,204255.54299999998
13,240659.28600000002,209495.684,239549.862,245315.625,219685.20099999997,202206.661
14,240725.62699999998,209590.002,239488.46399999998,214458.893,218494.927,201695.99
15,241264.488,209590.945,239567.608,214518.701,217053.196,201216.669
16,242527.648,208287.01799999998,238643.262,237540.0,217977.12399999998,199973.264
17,241427.864,209564.512,239363.99899999998,255718.688,217646.494,202721.27300000002
18,251965.37399999998,212132.64599999998,250065.861,213742.148,222792.72400000002,208389.697
19,250503.468,212913.596,250439.978,229238.625,226858.452,205815.97100000002
20,252711.08299999998,212429.64,249583.78399999999,245920.562,227897.907,207197.132
21,251256.445,212604.625,250379.358,231760.535,227514.352,205678.301
22,250478.677,212153.718,249546.311,221342.063,226838.401,206877.31599999996
23,253187.84,212384.064,250610.906,218623.172,227655.953,206178.39500000002
24,254040.205,214152.906,254631.10700000002,194920.313,227394.516,204751.30000000002
25,254514.267,214652.912,253978.435,213102.74599999998,233935.249,208609.88
26,251153.58399999997,214275.143,251758.512,239787.439,231998.171,207732.554
27,253492.80800000002,214004.29,253102.881,267600.0,233947.138,206365.179
28,254003.209,215612.32200000001,253561.901,241469.192,233351.177,206484.444
29,255012.642,214363.195,255348.87399999998,231636.373,232072.288,207654.428
30,248403.50699999998,213322.866,245253.54299999998,222611.813,230211.937,205068.449
31,249668.19799999997,212139.11,247213.966,239666.179,228410.892,204135.467
32,248811.931,212174.47199999998,246551.486,241989.895,229099.198,202959.426
33,248116.802,212266.201,247754.735,182925.945,229388.898,206458.114
34,247999.29200000002,212466.102,246061.207,188150.033,229743.398,205496.397
35,248316.79900000003,212604.48200000002,246706.939,216379.741,228622.13999999998,203125.976
36,258706.994,214395.639,257250.495,253953.375,231809.228,209947.25100000002
37,258362.46300000002,213864.53600000002,259881.962,259463.259,230437.942,212527.991
38,259016.47600000002,214443.211,259700.07499999998,235325.373,231246.404,211398.441
39,258583.90300000002,214261.169,261085.71,229702.875,229589.17,210343.672
40,259236.92700000003,214678.08,259984.828,246873.188,231074.84399999998,210682.339
41,259134.751,215743.835,260775.864,211687.03,230434.384,209908.27000000002
42,256978.553,212464.65899999999,258122.15000000002,179225.84399999998,229771.29200000002,209044.332
43,258698.669,211716.974,259709.89,221461.125,241683.205,207849.882
44,257190.73,213294.193,256210.604,248219.813,241326.984,208305.493
45,257387.71600000001,211605.30899999998,257170.698,262414.024,241503.36700000003,207655.06900000002
46,258832.64700000003,212215.271,258764.836,223676.25,240263.081,208868.107
47,256700.96500000003,212059.297,255479.64299999998,226249.875,242352.793,207384.9
48,248146.19,211187.569,245410.80899999998,201597.002,238508.562,204954.745
49,247689.383,210171.71399999998,245068.562,207780.0,244802.266,205789.389
50,249025.75100000002,210353.784,245235.772,212250.77,232072.119,207217.154
51,246341.807,211452.028,246166.975,239698.584,233770.422,207073.633
52,246226.256,211077.402,245241.989,251406.75,232763.208,205718.524
53,246832.382,209530.969,244182.30299999999,221899.125,233649.936,208607.247
54,243992.603,213565.462,241786.077,237540.0,229536.796,204264.133
55,243605.034,213405.277,243087.552,223067.063,225966.994,204231.29799999998
56,246229.859,212724.154,242974.664,237540.0,227066.62900000002,203824.938
57,245967.729,212312.984,242908.09999999998,231028.678,226477.948,205446.482
58,245173.523,211941.68,242502.562,223469.25,226279.548,203205.369
59,245118.834,213307.065,244258.298,213643.66700000002,224377.56,204667.28199999998
60,253966.50999999998,212544.392,253171.88199999998,240076.479,224844.238,209559.76799999998
61,250745.49299999996,214968.66,250658.25899999996,256495.688,220710.899,208125.387
62,250569.8,214923.729,252367.474,191258.936,219797.449,209331.916
63,252491.262,213574.713,251654.58399999997,176153.015,219955.563,207746.87300000002
64,253010.286,214333.24,250011.699,217328.035,219063.585,208759.41
65,252916.983,214890.716,249567.235,243848.818,219213.462,208249.417
66,257569.584,219244.991,257584.25600000002,267600.0,222813.11099999998,211404.06100000002
67,257365.10500000004,219504.71300000002,256859.112,234928.97799999997,218118.19700000001,213078.067
68,258257.75799999997,220372.01499999998,259802.32299999997,230240.813,218613.62099999998,212367.542
69,254908.31199999998,219812.777,257086.53800000003,233203.278,219270.88,211671.404
70,257361.941,220175.169,259457.474,244723.027,221699.459,212554.14599999998
71,256915.208,220542.593,258776.718,219852.00699999998,219214.63,210970.337
72,261535.668,219172.8,263652.63800000004,186097.613,222865.38,214375.864
73,260272.117,221147.929,264183.697,237540.0,223853.078,214653.56499999997
74,260717.915,219621.37099999998,263374.30000000005,253119.938,221640.111,214795.302
75,261548.438,220544.179,261101.295,239729.013,222581.603,214151.184
76,261107.854,220265.329,263460.08999999997,247638.0,222640.914,214098.13700000002
77,260232.91100000002,218883.092,265170.638,214518.08299999998,222820.032,213659.059
78,264304.505,217361.79200000002,267600.0,193457.438,227432.513,215939.196
79,263583.41099999996,216752.394,267600.0,228125.813,233105.338,216788.967
80,264765.485,217378.46999999997,267600.0,253284.938,233842.217,217811.60199999998
81,263677.151,217104.79,267600.0,257997.704,233306.474,215079.25900000002
82,264970.289,217430.957,267600.0,210624.162,232325.13,215721.449
83,263541.339,216886.449,267600.0,194190.188,233330.25,218103.09999999998
84,260288.557,214884.902,267600.0,215982.697,229602.8,212751.43600000002
85,260439.513,214449.65899999999,267401.349,243666.801,242769.868,212087.903
86,260382.495,213984.937,263671.973,267600.0,242505.883,211909.26799999998
87,260863.109,214834.448,261037.45399999997,236799.22100000002,241765.532,213368.58399999997
88,260854.067,214686.979,261020.046,208821.491,242586.952,214029.382
89,259357.093,215971.16999999998,260711.19300000003,174440.41700000002,241882.876,210304.18800000002
90,254006.532,210184.342,248015.021,220785.938,236781.85700000002,204947.54
91,252585.809,209919.679,250636.103,247506.563,249243.90899999999,208500.411
92,252664.21500000003,210843.13400000002,248453.58899999998,261761.153,250470.136,208002.358
93,251429.20799999998,209890.662,250446.788,230456.604,249565.205,208241.67700000003
94,252986.409,210302.141,249049.226,237540.0,249385.288,208653.98200000002
95,251391.463,211195.424,249221.43300000002,237383.307,251561.84600000002,207538.723
96,253408.378,209396.356,253901.617,252842.625,253670.25,207581.04799999998
97,254505.938,209453.879,253679.497,202397.438,253276.313,209003.326
98,255031.08000000002,209824.917,251456.021,195988.125,253482.375,212373.104
99,255250.13,209690.98700000002,254110.97699999998,231610.202,243565.796,211243.955
100,255532.89999999997,209114.299,254785.72600000002,257437.252,236072.915,209848.796
101,254953.82599999997,210271.01,256325.20799999998,236778.752,237820.5,210738.023
102,257164.773,212194.253,256121.75899999996,231573.611,238266.938,210351.256
103,257573.78,212098.52099999998,255477.798,231676.441,237258.751,212412.114
104,256020.446,211884.535,257875.74700000003,240823.617,237941.626,211523.637
105,257747.81699999998,211403.977,258780.53800000003,246234.188,237676.125,214248.008
106,257248.252,211912.961,260074.077,207511.282,237870.0,212383.78000000003
107,258064.438,211438.419,258518.304,185175.085,237283.313,211700.52599999998
108,248510.698,220050.50800000003,241841.13400000002,211886.873,234333.301,204808.226
109,249180.223,218978.222,241471.24300000002,240921.856,223685.747,206031.522
110,245279.48500000002,220122.263,243270.218,251812.313,223568.811,206749.19999999998
111,244394.137,219616.8,242786.91400000002,213017.438,223947.998,204411.638
112,244298.456,217885.636,241512.11899999998,211511.927,223027.679,206279.32900000003
113,243486.97499999998,218888.54200000002,242478.07399999996,239788.348,224130.30899999998,207437.705
114,234721.25,218236.94400000002,229874.33199999997,246335.813,218598.938,199845.67599999998
115,234470.172,217596.153,228578.78499999997,216734.51,224835.26599999997,199385.53999999998
116,233659.68099999998,219417.05599999998,229846.51,207780.0,223889.152,198014.4
117,234469.063,217774.152,227654.803,237540.0,225316.639,198247.93499999997
118,232962.819,218790.833,229406.603,226497.75,224489.211,200385.684
119,233793.15699999998,218307.24200000003,228978.05,207897.21600000001,223601.269,199145.603
120,239219.00999999998,215473.91700000002,234966.19,237540.0,227574.093,204299.448
121,240124.66799999998,215421.75900000002,238280.31800000003,246222.563,226086.212,203025.642
122,239611.58499999996,215745.969,237680.904,222198.375,227560.348,202464.077
123,239605.22699999998,214356.35,237676.702,209626.388,226465.63400000002,204073.402
124,240825.894,215918.847,236147.088,237540.0,226302.536,201977.63199999998
125,239604.234,214584.984,235281.98700000002,246860.438,226730.6,201802.019
126,244863.859,218981.184,244200.11600000004,219655.875,230077.374,205898.66199999998
127,245418.20500000002,219730.236,243082.34900000002,222712.875,234284.123,206499.614
128,245002.87099999998,218281.998,242911.829,221418.0,234588.722,206513.188
129,245117.961,219664.897,243273.486,237540.0,234495.327,206393.78399999999
130,244978.38400000002,219670.573,243655.67799999999,212113.17599999998,235950.919,207523.383
