,RR,NE,MT,MP,MG,MC
0,515485,357222,521906,516805,517817,516210
1,524843,356278,526924,155215,469561,371750
2,510609,354101,516746,437280,473970,369202
3,501992,355413,523616,450461,462304,374354
4,517599,354271,518879,468696,463582,377197
5,517161,353270,513039,584160,469349,372267
6,606151,397558,585877,472803,520128,401467
7,596855,396765,593494,485914,501884,401845
8,587338,396335,586138,624971,510506,395570
9,585043,394495,594697,668384,516761,394376
10,596313,396917,591761,437280,502345,405325
11,598724,395089,606612,506282,500350,401847
12,576049,416812,570132,584160,492596,401915
13,574962,414167,574552,618826,496106,392266
14,575407,413634,573914,465086,491053,389912
15,580638,414747,574744,465335,483108,387135
16,585387,411008,568645,584160,488092,380689
17,582687,414604,572748,674873,488536,394555
18,643185,429053,633341,462102,513089,423596
19,631849,430681,636249,537966,538578,409745
20,646910,429904,631282,621803,546455,417056
21,636562,428739,635681,551432,544737,409373
22,631628,427870,630963,495851,542841,415956
23,648709,428397,638023,482423,545674,412806
24,653135,437523,661268,368695,544851,404272
25,656751,443325,657074,459440,569039,424897
26,636521,440053,646177,594353,561352,421507
27,651014,438258,650873,741120,569606,412390
28,652945,444067,653324,601935,567223,414887
29,660247,440347,665761,549481,562518,419778
30,620542,434633,606209,502623,554551,406098
31,628973,427930,618869,592834,547368,401877
32,623334,428398,614072,603865,550408,395296
33,619105,428470,621151,332283,551180,412883
34,617873,430599,610606,346371,553684,408032
35,621313,430566,614681,473083,549377,396274
36,681679,439349,675644,665458,561785,431765
37,679863,437011,691051,693744,559029,446073
38,682470,439948,689510,570875,561844,439320
39,680702,438718,700160,540442,556121,433958
40,683490,442155,692053,627697,560737,434975
41,682919,446599,697217,453546,558931,431280
42,670320,429265,681770,320488,555728,426658
43,681596,425388,689587,496486,616095,420861
44,671252,434794,669954,634879,616699,423453
45,672967,426440,674971,710449,614269,421158
46,682097,428454,685063,508300,611302,425844
47,669641,427813,666341,522026,619577,418027
48,620058,421174,607728,392129,602411,405305
49,616564,419360,604706,437280,636244,411399
50,625419,418354,606051,455893,568331,417517
51,610469,423950,611474,593106,574144,416719
52,609203,421816,606107,651876,571840,411124
53,612612,413023,600392,498822,571320,424584
54,596259,434928,585503,584160,555060,402786
55,594984,434017,595379,505051,544681,401694
56,609239,431005,594096,584160,548383,399358
57,606729,428779,593392,547905,546813,408164
58,602814,428286,590178,507196,546054,396220
59,602265,434059,600861,461692,534464,404031
60,652777,430585,651126,594784,530439,429693
61,635161,440469,638558,679017,511441,423511
62,633583,439360,648571,354921,509187,428551
63,647048,435031,645355,307695,508335,420400
64,647832,438181,633049,477031,505232,425775
65,647519,439739,631908,612733,504524,422391
66,675701,467013,679047,741120,521299,439104
67,673494,467025,672928,567971,502153,449082
68,679713,472779,690340,543311,504775,444102
69,659604,467850,674325,559559,506006,441946
70,673464,471372,687949,616032,517073,446445
71,669791,472092,685115,480669,506596,437581
72,698244,467301,714249,349097,523199,456032
73,691621,476133,718738,584160,522556,455669
74,693853,469858,711126,661013,515617,457227
75,698419,473645,700332,594543,521237,454053
76,694825,472500,712023,631776,521083,454178
77,691089,464323,722615,461478,520228,452173
78,716792,455823,741120,360893,541718,464149
79,711781,452351,741120,532031,565569,467775
80,718993,455897,741120,661893,565018,472749
81,712801,453280,741120,685528,562743,458980
82,720580,457798,741120,449121,560662,461782
83,711449,452281,741120,364801,561192,474453
84,691213,442888,741120,471430,547849,447578
85,693870,439471,738154,611460,604891,443143
86,692690,436119,714488,741120,603670,443331
87,695009,442063,699633,574765,600853,449331
88,694498,440563,699450,441616,604593,453729
89,684442,446906,696741,300565,601082,434256
90,653546,416680,623326,492885,573847,406649
91,644521,414071,638307,631075,639698,424844
92,645495,420747,625872,707267,646894,421452
93,638690,415773,636316,543925,642078,423967
94,646307,418732,627941,584160,640127,425605
95,638063,422842,628730,581608,651928,419813
96,649891,414330,656277,659534,663948,419014
97,655802,414110,654240,408573,661847,426939
98,658476,417903,643258,374390,662946,444250
99,659802,416142,658558,549233,606742,439390
100,663482,412854,662327,683015,565865,431699
101,658219,419881,670727,579193,576536,436044
102,671097,428790,669462,548949,578917,434159
103,675691,427198,666333,549951,573540,445584
104,665453,427249,680657,598262,577182,441686
105,679567,425378,685135,624289,575766,455422
106,671656,425717,692996,433893,576800,444947
107,677611,425227,684332,338589,573671,444536
108,619932,472395,586040,454378,559238,406123
109,623735,466296,582873,599667,502625,411642
110,603658,471719,595916,654039,501814,414584
111,597296,469236,592228,451453,503091,402397
112,596984,460771,583169,452817,499089,412567
113,593635,466449,590050,594371,503987,418099
114,544551,463983,517575,624831,476435,380083
115,542367,458864,511038,474560,507819,377763
116,535946,470003,517366,437280,503586,370414
117,542361,460458,506261,584160,509843,371940
118,531986,465636,514544,523348,505937,382983
119,536913,462827,513037,437768,502054,376779
120,566988,447022,546160,584160,521440,403039
121,572581,446555,564773,624227,514113,397015
122,570646,448105,560626,500418,521437,393572
123,570578,439664,560607,444967,516086,401987
124,579240,449452,555496,584160,514272,391325
125,570568,441968,549750,627629,516652,390326
126,600000,466199,600493,486858,533433,410689
127,603726,470086,595321,503162,556832,414538
128,601172,461711,593434,496256,557032,413808
129,602258,468751,595924,584160,557693,412906
130,600955,469482,598269,426334,565716,418953
131,596308,474955,595314,494074,565576,407312
132,614953,478593,607545,564490,573182,422923
133,614539,484262,620470,473395,567536,428070
134,612717,487574,610829,441403,567165,430006
135,613777,474619,612535,584160,560636,423174
136,623810,482252,610714,672608,562887,430605
137,620654,483640,620375,506495,563189,426893
138,568391,415609,556143,584160,540933,406767
139,558499,416713,562838,514981,566714,401888
140,565835,413702,546975,441519,563276,401978
141,562109,414056,561892,584160,560515,396673
142,565360,418283,569596,624954,573231,400402
143,552163,423347,558454,584160,564693,397438
144,524826,356400,522819,536791,544714,374308
145,521588,361047,513953,523077,575007,379235
146,514776,360421,509986,520599,568699,372162
147,518116,356890,509447,518012,577153,376873
148,525087,358897,517889,481631,569544,379214
149,521809,359479,522989,511359,577513,381438
150,600227,402257,587496,598477,591801,411323
151,608677,395991,602974,589608,587420,403322
152,594326,395107,591575,523696,592257,414976
153,595932,398477,587625,584160,591472,402220
154,595919,401038,606173,521120,595428,406974
155,595176,398893,609322,437368,591526,405428
156,580966,417814,571688,343135,545537,393467
157,589822,412157,585513,441421,473774,400709
158,574091,416569,585017,584160,457497,390186
159,581347,414316,582665,694134,461164,403940
160,576849,413882,568952,477642,465120,405029
161,579898,418227,567457,454820,465431,409021
162,646510,427595,646395,613257,490988,420006
163,628156,435332,641516,661279,498189,426289
164,645796,439892,647814,484532,502344,421801
165,644500,428379,630743,570216,490117,426187
166,641222,431547,640131,584160,499115,418351
167,640238,433794,626085,576499,499733,414700
168,664989,458204,665604,375101,511755,419835
169,662137,455411,667998,437280,533419,424235
170,663693,450294,660106,460208,535260,432782
171,661296,445792,654728,594355,535802,425829
172,658980,450157,679072,741120,536961,420379
173,660199,450701,655812,498665,530584,424836
174,633872,435702,627469,484012,520013,420438
175,632478,436943,616524,602836,512322,416124
176,619581,436743,622285,683825,509059,410739
177,622043,434500,617765,291122,516416,421741
178,621469,433660,622684,301534,514486,413708
179,630707,431905,626778,461973,511084,412452
180,680280,439231,692862,686088,539233,445785
181,690693,443873,699746,699397,566913,440832
182,679996,444796,705166,608200,559527,435936
183,694947,444912,710412,557105,563917,428133
184,685472,443214,702366,580680,562357,440058
185,675435,444195,705246,465209,559599,444100
186,677884,428777,684749,421949,558102,426806
187,668990,430610,667064,493724,622035,417783
188,669343,425073,668001,638037,623757,414879
189,669622,421864,670832,649992,622079,424491
