time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,89985,89985,0.7,39281.722,0.0,49164.841,0.799,0.799,0.0,8389.016,0.0,0.0,8389.016,
0,DC_OS,120207,120207,0.7,46730.841,1.046,39205.819,1.0,1.0,0.0,1568.233,0.0,0.0,1569.278,
0,DC_MB,95693,95693,0.7,54092.438,5.059,17669.833,1.0,1.0,0.0,7570.112,0.0,0.0,7575.17,
0,DC_SH,102746,102746,0.7,46684.875,2.427,29214.822,1.0,1.0,0.0,28177.382,0.0,0.0,28179.809,
0,DC_LA,109795,109795,0.7,43192.974,4.657,9669.364,1.0,1.0,0.0,8702.428,0.0,0.0,8707.084,
600,DC_CR,87994,87994,0.685,38686.819,0.0,50148.685,0.772,0.772,0.0,8900.179,0.0,0.0,8900.179,
600,DC_OS,117545,117545,0.685,46512.116,0.9,40036.817,1.0,1.0,0.0,1601.473,0.0,0.0,1602.373,
600,DC_MB,93577,93577,0.685,53695.688,4.999,17704.028,1.0,1.0,0.0,7453.176,0.0,0.0,7458.175,
600,DC_SH,100471,100471,0.685,46258.313,2.585,27649.643,1.0,1.0,0.0,26626.319,0.0,0.0,26628.904,
600,DC_LA,107367,107367,0.685,42604.269,4.657,9080.991,1.0,1.0,0.0,8172.892,0.0,0.0,8177.548,
1200,DC_CR,89247,89247,0.694,39190.162,0.0,51210.575,0.766,0.766,0.0,8937.614,0.0,0.0,8937.614,
1200,DC_OS,119222,119222,0.694,46684.064,0.65,42004.132,1.0,1.0,0.0,1680.166,0.0,0.0,1680.816,
1200,DC_MB,94910,94910,0.694,53945.625,4.956,18264.136,1.0,1.0,0.0,8056.243,0.0,0.0,8061.199,
1200,DC_SH,101903,101903,0.694,46526.813,2.68,27237.344,1.0,1.0,0.0,26266.609,0.0,0.0,26269.289,
1200,DC_LA,108897,108897,0.694,42984.355,4.63,9651.215,1.0,1.0,0.0,8686.094,0.0,0.0,8690.724,
1800,DC_CR,89671,89671,0.698,39249.049,0.0,50416.209,0.779,0.779,0.0,8600.502,0.0,0.0,8600.502,
1800,DC_OS,119786,119786,0.698,46712.848,0.912,40150.692,1.0,1.0,0.0,1606.028,0.0,0.0,1606.94,
1800,DC_MB,95359,95359,0.698,54029.813,4.992,18091.34,1.0,1.0,0.0,7840.284,0.0,0.0,7845.276,
1800,DC_SH,102385,102385,0.698,46617.188,2.639,27617.219,1.0,1.0,0.0,26654.685,0.0,0.0,26657.324,
1800,DC_LA,109413,109413,0.698,43134.194,4.629,9809.318,1.0,1.0,0.0,8828.387,0.0,0.0,8833.015,
2400,DC_CR,89615,89615,0.697,39242.43,0.0,51318.368,0.765,0.765,0.0,8537.391,0.0,0.0,8537.391,
2400,DC_OS,119710,119710,0.697,46709.318,1.143,38482.336,1.0,1.0,0.0,1539.294,0.0,0.0,1540.437,
2400,DC_MB,95298,95298,0.697,54018.375,5.137,17032.408,1.0,1.0,0.0,7363.064,0.0,0.0,7368.201,
2400,DC_SH,102324,102324,0.697,46605.75,2.501,28601.963,1.0,1.0,0.0,27637.037,0.0,0.0,27639.538,
2400,DC_LA,109345,109345,0.697,43120.947,4.709,9219.338,1.0,1.0,0.0,8297.405,0.0,0.0,8302.113,
3000,DC_CR,89882,89882,0.699,39271.738,0.0,49989.727,0.786,0.786,0.0,8302.511,0.0,0.0,8302.511,
3000,DC_OS,120068,120068,0.699,46725.169,0.846,40637.016,1.0,1.0,0.0,1625.481,0.0,0.0,1626.327,
3000,DC_MB,95582,95582,0.699,54071.625,5.079,17505.284,1.0,1.0,0.0,7753.174,0.0,0.0,7758.253,
3000,DC_SH,102625,102625,0.699,46662.188,2.581,28085.187,1.0,1.0,0.0,27065.79,0.0,0.0,27068.371,
3000,DC_LA,109669,109669,0.699,43175.916,4.67,9557.814,1.0,1.0,0.0,8602.033,0.0,0.0,8606.702,
3600,DC_CR,105843,105843,0.823,42134.06,0.0,53818.787,0.783,0.783,0.0,8220.115,0.0,0.0,8220.115,
3600,DC_OS,141389,141389,0.823,49748.293,1.304,40361.213,1.0,1.0,0.0,1614.449,0.0,0.0,1615.753,
3600,DC_MB,112559,112559,0.823,57254.813,6.209,12555.975,1.0,1.0,0.0,7486.526,0.0,0.0,7492.734,
3600,DC_SH,120851,120851,0.823,50184.93,2.625,31287.939,1.0,1.0,0.0,26915.001,0.0,0.0,26917.626,
3600,DC_LA,129145,129145,0.823,46622.234,4.963,10893.19,1.0,1.0,0.0,9803.872,0.0,0.0,9808.834,
4200,DC_CR,101321,101321,0.788,41346.407,0.0,53139.527,0.779,0.779,0.0,8502.798,0.0,0.0,8502.798,
4200,DC_OS,135345,135345,0.788,49042.257,1.171,40616.79,1.0,1.0,0.0,1624.672,0.0,0.0,1625.842,
4200,DC_MB,107747,107747,0.788,56352.563,5.983,13280.642,1.0,1.0,0.0,8004.191,0.0,0.0,8010.173,
