time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,47915,47915,0.373,31248.996,0.0,52350.388,0.597,0.597,0.0,8580.333,0.0,0.0,8580.333,
0,DC_OS,6711,6711,0.04,24591.956,0.0,39464.581,0.624,0.624,0.0,1578.584,0.0,0.0,1578.584,
0,DC_MB,291172,136800,1.0,61800.0,5.994,18646.773,1.0,1.0,0.0,8062.981,0.0,0.0,8068.974,
0,DC_SH,76114,76114,0.519,41691.375,2.021,27141.41,1.0,1.0,0.0,26088.537,0.0,0.0,26090.558,
0,DC_LA,88993,88993,0.567,39096.188,4.166,9102.479,1.0,1.0,0.0,8192.232,0.0,0.0,8196.397,
600,DC_CR,48669,48669,0.379,31430.103,0.0,48487.09,0.649,0.649,0.0,8106.203,0.0,0.0,8106.203,
600,DC_OS,6530,6530,0.039,24548.481,0.0,40987.218,0.599,0.599,0.0,1639.489,0.0,0.0,1639.489,
600,DC_MB,290861,136800,1.0,61800.0,6.076,18055.312,1.0,1.0,0.0,7870.563,0.0,0.0,7876.639,
600,DC_SH,74429,74429,0.507,41375.438,1.842,28117.441,1.0,1.0,0.0,27084.569,0.0,0.0,27086.411,
600,DC_LA,89231,89231,0.569,39140.813,4.091,9692.605,1.0,1.0,0.0,8723.345,0.0,0.0,8727.435,
1200,DC_CR,47837,47837,0.372,31230.26,0.0,51114.725,0.611,0.611,0.0,8177.76,0.0,0.0,8177.76,
1200,DC_OS,6695,6695,0.039,24588.113,0.0,40931.156,0.601,0.601,0.0,1637.247,0.0,0.0,1637.247,
1200,DC_MB,297578,136800,1.0,61800.0,6.047,18268.227,1.0,1.0,0.0,8000.768,0.0,0.0,8006.815,
1200,DC_SH,72973,72973,0.497,41102.438,1.934,27180.083,1.0,1.0,0.0,26198.743,0.0,0.0,26200.677,
1200,DC_LA,90154,90154,0.575,39313.875,4.111,9716.625,1.0,1.0,0.0,8744.963,0.0,0.0,8749.074,
1800,DC_CR,48913,48913,0.381,31488.711,0.0,51265.26,0.615,0.615,0.0,8292.529,0.0,0.0,8292.529,
1800,DC_OS,6611,6611,0.039,24567.937,0.0,39779.594,0.618,0.618,0.0,1591.184,0.0,0.0,1591.184,
