time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,104310,104310,0.811,41574.556,0.0,50927.834,1.0,0.817,0.184,8300.238,9353.279,0.0,8300.238,
0,DC_OS,104307,104307,0.608,44376.677,0.482,40912.598,1.0,1.0,0.0,1636.504,0.0,0.0,1636.986,
0,DC_MB,104303,104303,0.763,55706.813,5.367,17066.512,1.0,1.0,0.0,7366.734,0.0,0.0,7372.101,
0,DC_SH,104301,104301,0.711,46976.438,2.535,28729.14,1.0,1.0,0.0,27754.309,0.0,0.0,27756.844,
0,DC_LA,104299,104299,0.665,41930.199,4.475,9711.157,1.0,1.0,0.0,8740.042,0.0,0.0,8744.517,
600,DC_CR,180202,128640,1.0,45900.0,0.0,49629.602,1.0,0.925,0.076,8180.933,3729.602,0.0,8180.933,
600,DC_OS,144763,144763,0.843,50312.851,1.67,38293.003,1.0,1.0,0.0,1531.721,0.0,0.0,1533.39,
600,DC_MB,60382,60382,0.442,47471.625,4.067,18191.345,1.0,1.0,0.0,7795.291,0.0,0.0,7799.358,
600,DC_SH,101652,101652,0.693,46479.75,2.425,29026.156,1.0,1.0,0.0,28039.385,0.0,0.0,28041.81,
600,DC_LA,34358,34358,0.219,28968.837,2.713,9436.421,1.0,1.0,0.0,8492.779,0.0,0.0,8495.492,
1200,DC_CR,179028,128640,1.0,45900.0,0.0,50588.878,1.0,0.908,0.093,8928.35,4688.878,0.0,8928.35,
1200,DC_OS,138133,138133,0.804,49267.565,1.398,39207.707,1.0,1.0,0.0,1568.309,0.0,0.0,1569.706,
1200,DC_MB,65617,65617,0.48,48453.188,4.231,17990.543,1.0,1.0,0.0,7904.04,0.0,0.0,7908.271,
1200,DC_SH,104703,104703,0.713,47051.813,2.587,28428.377,1.0,1.0,0.0,27396.393,0.0,0.0,27398.98,
1200,DC_LA,34032,34032,0.217,28885.783,2.654,9781.178,1.0,1.0,0.0,8803.061,0.0,0.0,8805.714,
1800,DC_CR,178373,128640,1.0,45900.0,0.0,50850.43,1.0,0.903,0.098,8735.456,4950.43,0.0,8735.456,
1800,DC_OS,138243,138243,0.805,49376.29,1.458,38880.209,1.0,1.0,0.0,1555.209,0.0,0.0,1556.667,
1800,DC_MB,63429,63429,0.464,48042.938,4.199,17811.592,1.0,1.0,0.0,7744.773,0.0,0.0,7748.971,
1800,DC_SH,100234,100234,0.683,46213.875,2.668,27010.439,1.0,1.0,0.0,26037.018,0.0,0.0,26039.686,
1800,DC_LA,34485,34485,0.22,28990.331,2.761,9114.714,1.0,1.0,0.0,8203.243,0.0,0.0,8206.004,
2400,DC_CR,183632,128640,1.0,45900.0,0.0,52905.104,1.0,0.868,0.133,8892.639,7005.104,0.0,8892.639,
2400,DC_OS,140404,140404,0.818,49702.556,1.263,40613.542,1.0,1.0,0.0,1624.542,0.0,0.0,1625.805,
2400,DC_MB,64319,64319,0.471,48209.813,4.126,18505.471,1.0,1.0,0.0,8038.188,0.0,0.0,8042.313,
2400,DC_SH,97537,97537,0.665,45708.188,2.306,29106.092,1.0,1.0,0.0,28060.441,0.0,0.0,28062.747,
2400,DC_LA,32910,32910,0.21,28527.75,2.632,9579.37,1.0,1.0,0.0,8621.433,0.0,0.0,8624.065,
3000,DC_CR,179794,128640,1.0,45900.0,0.0,51634.563,1.0,0.889,0.112,8781.893,5734.563,0.0,8781.893,
3000,DC_OS,138021,138021,0.804,49175.161,1.217,40415.306,1.0,1.0,0.0,1616.613,0.0,0.0,1617.829,
3000,DC_MB,62886,62886,0.46,47941.125,4.126,18237.628,1.0,1.0,0.0,7783.086,0.0,0.0,7787.212,
3000,DC_SH,98913,98913,0.674,45966.188,2.383,28811.776,1.0,1.0,0.0,27846.922,0.0,0.0,27849.305,
3000,DC_LA,32548,32548,0.208,28500.353,2.656,9379.289,1.0,1.0,0.0,8441.361,0.0,0.0,8444.016,
3600,DC_CR,211417,128640,1.0,45900.0,0.0,57175.46,1.0,0.803,0.198,8772.196,11275.46,0.0,8772.196,
3600,DC_OS,165477,165477,0.963,53304.555,1.699,41075.561,1.0,1.0,0.0,1643.023,0.0,0.0,1644.721,
3600,DC_MB,74669,74669,0.546,50150.438,5.136,13171.939,1.0,1.0,0.0,7962.123,0.0,0.0,7967.259,
3600,DC_SH,117965,117965,0.804,49530.609,2.629,30607.645,1.0,1.0,0.0,25980.246,0.0,0.0,25982.875,
3600,DC_LA,38398,38398,0.245,29674.803,2.684,10353.449,1.0,1.0,0.0,9318.105,0.0,0.0,9320.788,
4200,DC_CR,223998,128640,1.0,45900.0,0.0,53418.065,1.0,0.86,0.141,8731.332,7518.066,0.0,8731.332,
4200,DC_OS,160920,160920,0.937,52678.77,1.54,41596.879,1.0,1.0,0.0,1663.876,0.0,0.0,1665.415,
4200,DC_MB,51598,51598,0.378,44177.375,4.285,13329.102,1.0,1.0,0.0,8070.404,0.0,0.0,8074.688,
4200,DC_SH,119910,119910,0.817,50097.4,2.718,30534.161,1.0,1.0,0.0,26012.295,0.0,0.0,26015.013,
4200,DC_LA,40557,40557,0.259,30014.438,2.674,10764.77,1.0,1.0,0.0,9688.294,0.0,0.0,9690.967,
4800,DC_CR,214500,128640,1.0,45900.0,0.0,53012.192,1.0,0.866,0.135,8224.571,7112.192,0.0,8224.571,
4800,DC_OS,167030,167030,0.973,53377.445,1.721,40989.101,1.0,1.0,0.0,1639.565,0.0,0.0,1641.285,
4800,DC_MB,53518,53518,0.392,44864.219,4.367,13423.822,1.0,1.0,0.0,7943.678,0.0,0.0,7948.045,
4800,DC_SH,122608,122608,0.835,50276.867,2.632,31332.175,1.0,1.0,0.0,27037.221,0.0,0.0,27039.853,
4800,DC_LA,43222,43222,0.276,30514.125,2.748,10731.738,1.0,1.0,0.0,9658.565,0.0,0.0,9661.312,
5400,DC_CR,211755,128640,1.0,45900.0,0.0,54226.066,1.0,0.847,0.154,8177.404,8326.066,0.0,8177.404,
5400,DC_OS,163728,163728,0.953,53065.536,1.703,40804.631,1.0,1.0,0.0,1632.186,0.0,0.0,1633.889,
5400,DC_MB,53616,53616,0.392,44891.488,4.379,13365.617,1.0,1.0,0.0,7992.542,0.0,0.0,7996.921,
5400,DC_SH,125152,125152,0.853,50923.004,2.675,31668.647,1.0,1.0,0.0,27144.538,0.0,0.0,27147.213,
5400,DC_LA,42863,42863,0.274,30446.813,2.796,10316.662,1.0,1.0,0.0,9284.996,0.0,0.0,9287.792,
6000,DC_CR,212422,128640,1.0,45900.0,0.0,56934.23,1.0,0.807,0.194,8666.304,11034.231,0.0,8666.304,
6000,DC_OS,159843,159843,0.931,52553.88,1.645,40711.777,1.0,1.0,0.0,1628.472,0.0,0.0,1630.116,
6000,DC_MB,52354,52354,0.383,44445.735,4.312,13405.712,1.0,1.0,0.0,8016.473,0.0,0.0,8020.784,
6000,DC_SH,124053,124053,0.845,50830.661,2.58,32261.356,1.0,1.0,0.0,27561.806,0.0,0.0,27564.386,
6000,DC_LA,40408,40408,0.258,29986.5,2.72,10404.712,1.0,1.0,0.0,9364.241,0.0,0.0,9366.961,
6600,DC_CR,218681,128640,1.0,45900.0,0.0,57085.421,1.0,0.805,0.196,8398.957,11185.422,0.0,8398.957,
6600,DC_OS,156370,156370,0.91,52048.812,1.683,39933.75,1.0,1.0,0.0,1597.351,0.0,0.0,1599.033,
6600,DC_MB,51485,51485,0.377,44157.624,4.242,13619.052,1.0,1.0,0.0,8236.061,0.0,0.0,8240.302,
6600,DC_SH,123911,123911,0.844,50813.487,2.866,30184.371,1.0,1.0,0.0,25767.326,0.0,0.0,25770.192,
6600,DC_LA,39959,39959,0.255,29902.313,2.637,10918.268,1.0,1.0,0.0,9826.442,0.0,0.0,9829.078,
7200,DC_CR,218015,128640,1.0,45900.0,0.0,57893.712,1.0,0.793,0.208,8326.166,11993.712,0.0,8326.166,
7200,DC_OS,152508,152508,0.888,51475.434,1.64,39670.284,1.0,1.0,0.0,1586.812,0.0,0.0,1588.451,
7200,DC_MB,52008,52008,0.381,44293.5,4.815,9628.539,1.0,1.0,0.0,7319.629,0.0,0.0,7324.444,
7200,DC_SH,115274,115274,0.785,49274.662,2.083,34283.636,1.0,1.0,0.0,26992.737,0.0,0.0,26994.82,
7200,DC_LA,41691,41691,0.266,30227.063,2.42,12806.227,1.0,1.0,0.0,11525.605,0.0,0.0,11528.024,
7800,DC_CR,215696,128640,1.0,45900.0,0.0,59650.73,1.0,0.77,0.231,8899.445,13750.73,0.0,8899.445,
7800,DC_OS,147799,147799,0.861,50831.0,1.508,39978.053,1.0,1.0,0.0,1599.123,0.0,0.0,1600.63,
7800,DC_MB,35868,35868,0.263,38355.1,3.991,9624.672,1.0,1.0,0.0,7314.969,0.0,0.0,7318.96,
7800,DC_SH,127729,127729,0.87,51503.414,2.228,35467.538,1.0,1.0,0.0,28014.453,0.0,0.0,28016.681,
7800,DC_LA,47709,47709,0.304,31355.438,2.719,11779.237,1.0,1.0,0.0,10601.314,0.0,0.0,10604.033,
8400,DC_CR,223057,128640,1.0,45900.0,0.0,56807.031,1.0,0.808,0.193,8092.995,10907.032,0.0,8092.995,
8400,DC_OS,149494,149494,0.87,50940.109,1.587,39518.707,1.0,1.0,0.0,1580.749,0.0,0.0,1582.335,
8400,DC_MB,35985,35985,0.264,38393.454,3.963,9864.344,1.0,1.0,0.0,7518.648,0.0,0.0,7522.61,
8400,DC_SH,132625,132625,0.903,52320.127,2.277,35926.117,1.0,1.0,0.0,28121.584,0.0,0.0,28123.861,
8400,DC_LA,44044,44044,0.281,30668.25,2.518,12539.838,1.0,1.0,0.0,11285.855,0.0,0.0,11288.373,
9000,DC_CR,209784,128640,1.0,45900.0,0.0,61784.203,1.0,0.743,0.258,8302.731,15884.204,0.0,8302.731,
9000,DC_OS,145938,145938,0.85,50363.449,1.429,40079.914,1.0,1.0,0.0,1603.197,0.0,0.0,1604.625,
9000,DC_MB,36422,36422,0.267,38586.905,3.979,9943.781,1.0,1.0,0.0,7565.481,0.0,0.0,7569.459,
9000,DC_SH,132672,132672,0.904,52324.002,2.624,33432.57,1.0,1.0,0.0,26001.302,0.0,0.0,26003.926,
9000,DC_LA,46303,46303,0.295,31091.813,2.601,12364.826,1.0,1.0,0.0,11128.344,0.0,0.0,11130.945,
9600,DC_CR,226161,128640,1.0,45900.0,0.0,62305.19,1.0,0.737,0.264,8817.398,16405.191,0.0,8817.398,
9600,DC_OS,146711,146711,0.854,50595.075,1.626,38890.876,1.0,1.0,0.0,1555.636,0.0,0.0,1557.261,
9600,DC_MB,36393,36393,0.267,38571.614,3.987,9871.322,1.0,1.0,0.0,7518.867,0.0,0.0,7522.853,
9600,DC_SH,122377,122377,0.834,50267.451,2.098,35167.011,1.0,1.0,0.0,27846.543,0.0,0.0,27848.641,
9600,DC_LA,45256,45256,0.289,30895.5,2.493,12947.105,1.0,1.0,0.0,11652.395,0.0,0.0,11654.888,
10200,DC_CR,224817,128640,1.0,45900.0,0.0,59349.321,1.0,0.774,0.227,8645.304,13449.321,0.0,8645.304,
10200,DC_OS,140331,140331,0.817,49698.434,1.21,40990.746,1.0,1.0,0.0,1639.63,0.0,0.0,1640.84,
10200,DC_MB,35615,35615,0.261,38291.574,3.907,10164.474,1.0,1.0,0.0,7749.308,0.0,0.0,7753.214,
10200,DC_SH,126890,126890,0.864,51224.975,2.291,34732.596,1.0,1.0,0.0,27017.789,0.0,0.0,27020.08,
10200,DC_LA,46712,46712,0.298,31168.5,2.658,12031.896,1.0,1.0,0.0,10828.707,0.0,0.0,10831.365,
10800,DC_CR,239912,128640,1.0,45900.0,0.0,49281.7,1.0,0.932,0.069,8252.818,3381.7,0.0,8252.818,
10800,DC_OS,165698,165698,0.965,53317.747,1.642,41500.247,1.0,1.0,0.0,1660.01,0.0,0.0,1661.652,
10800,DC_MB,41083,41083,0.301,40285.447,4.339,9047.17,1.0,1.0,0.0,7237.737,0.0,0.0,7242.075,
10800,DC_SH,140399,140399,0.956,53733.826,1.406,43616.716,1.0,1.0,0.0,27520.049,0.0,0.0,27521.455,
10800,DC_LA,48631,48631,0.31,31528.313,2.432,14024.039,1.0,1.0,0.0,12621.636,0.0,0.0,12624.067,
11400,DC_CR,196647,128640,1.0,45900.0,0.0,49271.656,1.0,0.932,0.069,8595.018,3371.657,0.0,8595.018,
11400,DC_OS,165595,165595,0.964,53311.764,1.466,42761.918,1.0,1.0,0.0,1710.477,0.0,0.0,1711.942,
11400,DC_MB,36094,36094,0.264,38434.294,4.0,9641.088,1.0,1.0,0.0,7712.871,0.0,0.0,7716.87,
11400,DC_SH,174040,146880,1.0,54600.0,1.565,43338.314,1.0,1.0,0.0,27780.191,0.0,0.0,27781.756,
11400,DC_LA,55954,55954,0.357,32901.375,2.549,14553.23,1.0,1.0,0.0,13097.907,0.0,0.0,13100.456,
12000,DC_CR,198609,128640,1.0,45900.0,0.0,47719.353,1.0,0.962,0.039,8126.361,1819.354,0.0,8126.361,
12000,DC_OS,172370,171840,1.0,54000.0,1.949,39969.423,1.0,1.0,0.0,1598.777,0.0,0.0,1600.726,
