time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,102250,102250,0.795,41456.837,0.0,48972.417,1.0,0.847,0.154,8895.602,7515.581,0.0,8895.602,
0,DC_OS,102248,102248,0.596,44267.534,0.813,38415.37,1.0,1.0,0.0,1536.615,0.0,0.0,1537.428,
0,DC_MB,102246,102246,0.748,55321.125,5.295,17200.827,1.0,1.0,0.0,7510.497,0.0,0.0,7515.792,
0,DC_SH,102245,102245,0.697,46590.938,2.537,28329.354,1.0,1.0,0.0,27309.427,0.0,0.0,27311.964,
0,DC_LA,102240,102240,0.652,41807.529,4.434,9885.774,1.0,1.0,0.0,8897.197,0.0,0.0,8901.631,
600,DC_CR,489450,128640,1.0,45900.0,0.0,49405.91,1.0,0.93,0.071,8878.953,3505.911,0.0,8878.953,
600,DC_OS,0,0,0.0,22980.0,0.0,39193.997,1.0,0.587,0.414,1567.76,16213.998,0.0,1567.76,
600,DC_MB,30380,30380,0.223,36349.84,2.506,18311.299,1.0,1.0,0.0,7918.007,0.0,0.0,7920.512,
600,DC_SH,0,0,0.0,24840.0,0.0,28595.64,1.0,0.869,0.132,27574.931,3755.64,0.0,27574.931,
600,DC_LA,0,0,0.0,21240.0,1.569,9943.665,1.0,1.0,0.0,8949.299,0.0,0.0,8950.868,
1200,DC_CR,0,128640,1.0,45900.0,0.0,51438.436,1.0,0.893,0.108,8642.167,5538.437,0.0,8642.167,
1200,DC_OS,377909,171840,1.0,54000.0,0.0,40566.64,1.0,1.0,0.0,1622.666,-13433.36,0.374,1623.039,
1200,DC_MB,136800,136800,1.0,61800.0,6.194,17206.925,1.0,1.0,0.0,7350.205,0.0,0.0,7356.399,
1200,DC_SH,0,0,0.0,24840.0,0.0,28483.338,1.0,0.873,0.128,27434.633,3643.338,0.0,27434.633,
1200,DC_LA,0,0,0.0,21240.0,1.626,9539.44,1.0,1.0,0.0,8585.497,0.0,0.0,8587.122,
1800,DC_CR,42621,128640,1.0,45900.0,0.0,49675.915,1.0,0.924,0.077,8220.541,3775.916,0.0,8220.541,
1800,DC_OS,24229,171840,1.0,54000.0,1.559,39996.013,1.0,1.0,0.0,1599.841,-2780.637,0.078,1601.477,
