time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,102677,102677,0.799,41489.561,0.0,50704.067,1.0,0.819,0.182,8579.129,9214.507,0.0,8579.129,
0,DC_OS,102673,102673,0.598,44290.508,0.794,38579.592,1.0,1.0,0.0,1543.184,0.0,0.0,1543.977,
0,DC_MB,102672,102672,0.751,55401.0,5.204,17933.998,1.0,1.0,0.0,7600.118,0.0,0.0,7605.322,
0,DC_SH,102669,102669,0.699,46670.438,2.431,29173.737,1.0,1.0,0.0,28216.528,0.0,0.0,28218.959,
0,DC_LA,102665,102665,0.655,41841.909,4.505,9410.826,1.0,1.0,0.0,8469.744,0.0,0.0,8474.248,
600,DC_CR,103475,103475,0.805,41536.822,0.0,50208.629,1.0,0.828,0.173,8386.753,8671.807,0.0,8386.753,
600,DC_OS,103473,103473,0.603,44325.155,0.596,40040.796,1.0,1.0,0.0,1601.632,0.0,0.0,1602.227,
600,DC_MB,103473,103473,0.757,55551.188,5.255,17719.903,1.0,1.0,0.0,7920.309,0.0,0.0,7925.564,
600,DC_SH,103470,103470,0.705,46820.625,2.624,27933.912,1.0,1.0,0.0,26925.193,0.0,0.0,26927.817,
600,DC_LA,103465,103465,0.66,41891.308,4.441,9921.672,1.0,1.0,0.0,8929.505,0.0,0.0,8933.946,
1200,DC_CR,104567,104567,0.813,41749.21,0.0,49190.357,1.0,0.849,0.152,8106.185,7441.148,0.0,8106.185,
1200,DC_OS,104567,104567,0.609,44613.412,0.396,41767.043,1.0,1.0,0.0,1670.682,0.0,0.0,1671.078,
1200,DC_MB,104563,104563,0.765,55755.563,5.214,18219.687,1.0,1.0,0.0,7820.192,0.0,0.0,7825.405,
1200,DC_SH,104561,104561,0.712,47025.188,2.583,28433.748,1.0,1.0,0.0,27394.903,0.0,0.0,27397.486,
1200,DC_LA,104558,104558,0.667,41774.619,4.422,9938.058,1.0,1.0,0.0,8944.253,0.0,0.0,8948.674,
1800,DC_CR,105940,105940,0.824,42144.57,0.0,50003.049,1.0,0.843,0.158,8109.524,7858.48,0.0,8109.524,
1800,DC_OS,105935,105935,0.617,44834.198,0.45,41599.6,1.0,1.0,0.0,1663.984,0.0,0.0,1664.434,
1800,DC_MB,105932,105932,0.775,56012.25,5.406,17090.859,1.0,1.0,0.0,7331.924,0.0,0.0,7337.329,
1800,DC_SH,105931,105931,0.722,47282.063,2.817,27002.43,1.0,1.0,0.0,26027.729,0.0,0.0,26030.546,
1800,DC_LA,105929,105929,0.675,42492.935,4.637,9109.48,1.0,1.0,0.0,8198.532,0.0,0.0,8203.169,
2400,DC_CR,101199,101199,0.787,41323.767,0.0,48923.038,1.0,0.845,0.156,8891.334,7599.272,0.0,8891.334,
2400,DC_OS,101198,101198,0.589,44183.454,0.654,39477.499,1.0,1.0,0.0,1579.1,0.0,0.0,1579.754,
2400,DC_MB,101194,101194,0.74,55123.875,5.174,17875.288,1.0,1.0,0.0,7658.701,0.0,0.0,7663.875,
2400,DC_SH,101191,101191,0.689,46393.313,2.37,29331.482,1.0,1.0,0.0,28352.886,0.0,0.0,28355.256,
2400,DC_LA,101189,101189,0.645,41661.025,4.436,9725.956,1.0,1.0,0.0,8753.361,0.0,0.0,8757.796,
3000,DC_CR,101908,101908,0.793,41424.57,0.0,50416.536,1.0,0.822,0.179,8527.959,8991.967,0.0,8527.959,
3000,DC_OS,101906,101906,0.594,44245.585,0.779,38637.332,1.0,1.0,0.0,1545.494,0.0,0.0,1546.273,
3000,DC_MB,101902,101902,0.745,55256.625,5.185,17927.708,1.0,1.0,0.0,7626.148,0.0,0.0,7631.333,
3000,DC_SH,101902,101902,0.694,46526.625,2.397,29275.422,1.0,1.0,0.0,28287.856,0.0,0.0,28290.253,
3000,DC_LA,101900,101900,0.65,41773.273,4.529,9170.726,1.0,1.0,0.0,8253.654,0.0,0.0,8258.182,
3600,DC_CR,117942,117942,0.917,44294.396,0.0,55546.969,1.0,0.798,0.203,8344.055,11252.574,0.0,8344.055,
3600,DC_OS,117939,117939,0.687,46576.777,0.854,40428.274,1.0,1.0,0.0,1617.131,0.0,0.0,1617.985,
3600,DC_MB,117938,117938,0.863,58263.375,6.222,13467.265,1.0,1.0,0.0,8208.909,0.0,0.0,8215.131,
3600,DC_SH,117932,117932,0.803,49529.057,2.601,30805.954,1.0,1.0,0.0,26520.474,0.0,0.0,26523.075,
3600,DC_LA,117931,117931,0.752,44641.947,4.657,11118.47,1.0,1.0,0.0,10006.623,0.0,0.0,10011.28,
4200,DC_CR,118879,118879,0.925,44374.596,0.0,56631.535,1.0,0.784,0.217,8302.188,12256.94,0.0,8302.188,
4200,DC_OS,118876,118876,0.692,46662.656,1.16,38317.709,1.0,1.0,0.0,1532.709,0.0,0.0,1533.868,
4200,DC_MB,118875,118875,0.869,58439.063,6.273,13274.876,1.0,1.0,0.0,7908.214,0.0,0.0,7914.487,
4200,DC_SH,118873,118873,0.81,49823.139,2.7,30387.215,1.0,1.0,0.0,25909.635,0.0,0.0,25912.335,
4200,DC_LA,118872,118872,0.758,44727.543,4.648,11262.564,1.0,1.0,0.0,10136.308,0.0,0.0,10140.956,
4800,DC_CR,119413,119413,0.929,44406.796,0.0,56211.463,1.0,0.79,0.211,8493.955,11804.668,0.0,8493.955,
4800,DC_OS,119413,119413,0.695,46694.536,0.639,42097.8,1.0,1.0,0.0,1683.913,0.0,0.0,1684.551,
4800,DC_MB,119411,119411,0.873,58539.563,6.289,13261.778,1.0,1.0,0.0,8065.377,0.0,0.0,8071.666,
4800,DC_SH,119405,119405,0.813,50016.827,2.424,32571.151,1.0,1.0,0.0,28125.105,0.0,0.0,28127.529,
4800,DC_LA,119403,119403,0.761,44760.91,4.759,10499.026,1.0,1.0,0.0,9449.124,0.0,0.0,9453.882,
5400,DC_CR,118644,118644,0.923,44358.012,0.0,54073.622,1.0,0.821,0.18,8850.928,9715.611,0.0,8850.928,
5400,DC_OS,118639,118639,0.691,46645.67,0.715,41499.162,1.0,1.0,0.0,1659.967,0.0,0.0,1660.682,
5400,DC_MB,118638,118638,0.868,58394.625,6.262,13314.22,1.0,1.0,0.0,7916.848,0.0,0.0,7923.11,
5400,DC_SH,118636,118636,0.808,49559.223,2.382,32410.612,1.0,1.0,0.0,27846.533,0.0,0.0,27848.915,
5400,DC_LA,118631,118631,0.756,44709.679,4.763,10418.237,1.0,1.0,0.0,9376.414,0.0,0.0,9381.177,
6000,DC_CR,118309,118309,0.92,44330.841,0.0,56407.536,1.0,0.786,0.215,8359.675,12076.696,0.0,8359.675,
6000,DC_OS,118304,118304,0.689,46617.138,0.713,41488.396,1.0,1.0,0.0,1659.536,0.0,0.0,1660.249,
6000,DC_MB,118301,118301,0.865,58331.438,6.293,13023.364,1.0,1.0,0.0,7666.016,0.0,0.0,7672.308,
6000,DC_SH,118298,118298,0.806,49545.463,2.532,31316.59,1.0,1.0,0.0,26942.388,0.0,0.0,26944.92,
6000,DC_LA,118297,118297,0.754,44680.969,4.722,10688.095,1.0,1.0,0.0,9619.286,0.0,0.0,9624.007,
6600,DC_CR,118289,118289,0.92,44329.059,0.0,55424.44,1.0,0.8,0.201,8859.933,11095.382,0.0,8859.933,
6600,DC_OS,118285,118285,0.689,46615.318,1.135,38444.096,1.0,1.0,0.0,1537.764,0.0,0.0,1538.899,
6600,DC_MB,118281,118281,0.865,58327.688,6.267,13211.889,1.0,1.0,0.0,7988.009,0.0,0.0,7994.275,
6600,DC_SH,118279,118279,0.806,49544.653,2.404,32238.605,1.0,1.0,0.0,27552.087,0.0,0.0,27554.491,
6600,DC_LA,118276,118276,0.754,44678.975,4.722,10687.666,1.0,1.0,0.0,9618.9,0.0,0.0,9623.621,
