time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,102694,102694,0.799,41490.732,0.0,49628.362,1.0,0.837,0.164,8362.15,8137.631,0.0,8362.15,
0,DC_OS,102692,102692,0.598,44291.447,0.742,38955.278,1.0,1.0,0.0,1558.212,0.0,0.0,1558.953,
0,DC_MB,102690,102690,0.751,55404.375,5.153,18302.79,1.0,1.0,0.0,7920.773,0.0,0.0,7925.926,
0,DC_SH,102688,102688,0.7,46674.0,2.613,27866.642,1.0,1.0,0.0,26852.404,0.0,0.0,26855.017,
0,DC_LA,102684,102684,0.655,41843.283,4.497,9465.525,1.0,1.0,0.0,8518.973,0.0,0.0,8523.47,
600,DC_CR,70723,70723,0.55,35749.163,0.0,48984.067,1.0,0.73,0.271,8438.217,13234.905,0.0,8438.217,
600,DC_OS,317326,171840,1.0,54000.0,1.746,41429.119,1.0,1.0,0.0,1657.165,0.0,0.0,1658.911,
600,DC_MB,62421,62421,0.457,47853.938,4.194,17657.96,1.0,1.0,0.0,7691.983,0.0,0.0,7696.177,
600,DC_SH,18408,18408,0.126,29261.53,0.17,28044.295,1.0,1.0,0.0,27008.905,0.0,0.0,27009.075,
600,DC_LA,58036,58036,0.37,33291.75,3.264,9797.81,1.0,1.0,0.0,8818.029,0.0,0.0,8821.293,
1200,DC_CR,80494,80494,0.626,37537.581,0.0,50699.159,1.0,0.741,0.26,8343.577,13161.579,0.0,8343.577,
1200,DC_OS,299146,171840,1.0,54000.0,2.045,39281.741,1.0,1.0,0.0,1571.27,0.0,0.0,1573.314,
1200,DC_MB,64442,64442,0.472,48232.875,4.128,18514.356,1.0,1.0,0.0,8061.425,0.0,0.0,8065.553,
1200,DC_SH,18348,18348,0.125,29247.118,0.011,29171.127,1.0,1.0,0.0,28134.37,0.0,0.0,28134.381,
1200,DC_LA,56215,56215,0.359,32950.313,3.309,9127.582,1.0,1.0,0.0,8214.824,0.0,0.0,8218.133,
1800,DC_CR,77935,77935,0.606,37125.983,0.0,50096.396,1.0,0.742,0.259,8233.83,12970.414,0.0,8233.83,
1800,DC_OS,306429,171840,1.0,54000.0,1.664,42024.836,1.0,1.0,0.0,1680.994,0.0,0.0,1682.657,
1800,DC_MB,59722,59722,0.437,47211.282,4.056,18009.37,1.0,1.0,0.0,8022.541,0.0,0.0,8026.597,
1800,DC_SH,17107,17107,0.117,28949.035,0.241,27216.157,1.0,1.0,0.0,26252.387,0.0,0.0,26252.628,
1800,DC_LA,58606,58606,0.374,33398.625,3.31,9567.25,1.0,1.0,0.0,8610.525,0.0,0.0,8613.835,
2400,DC_CR,81214,81214,0.632,37755.305,0.0,48833.042,1.0,0.774,0.227,8648.838,11077.738,0.0,8648.838,
2400,DC_OS,294821,171840,1.0,54000.0,1.825,40864.23,1.0,1.0,0.0,1634.57,0.0,0.0,1636.394,
2400,DC_MB,61770,61770,0.452,47731.875,4.229,17283.638,1.0,1.0,0.0,7479.64,0.0,0.0,7483.869,
2400,DC_SH,18872,18872,0.129,29372.981,0.24,27650.507,1.0,1.0,0.0,26662.924,0.0,0.0,26663.164,
2400,DC_LA,57551,57551,0.367,33200.813,3.329,9237.604,1.0,1.0,0.0,8313.844,0.0,0.0,8317.172,
3000,DC_CR,72806,72806,0.566,36245.754,0.0,51784.381,1.0,0.7,0.301,8798.644,15538.628,0.0,8798.644,
3000,DC_OS,297858,171840,1.0,54000.0,1.763,41312.577,1.0,1.0,0.0,1652.504,0.0,0.0,1654.266,
3000,DC_MB,65087,65087,0.476,48353.813,4.211,18037.774,1.0,1.0,0.0,7546.233,0.0,0.0,7550.443,
3000,DC_SH,18254,18254,0.125,29224.54,0.231,27568.259,1.0,1.0,0.0,26534.53,0.0,0.0,26534.761,
3000,DC_LA,58557,58557,0.374,33389.438,3.281,9769.908,1.0,1.0,0.0,8792.918,0.0,0.0,8796.198,
3600,DC_CR,92308,92308,0.718,39418.285,0.0,56281.793,1.0,0.701,0.3,8534.218,16863.509,0.0,8534.218,
3600,DC_OS,344029,171840,1.0,54000.0,1.686,41867.017,1.0,1.0,0.0,1674.681,0.0,0.0,1676.366,
3600,DC_MB,75331,75331,0.551,50274.563,5.12,13416.244,1.0,1.0,0.0,7974.149,0.0,0.0,7979.269,
3600,DC_SH,21419,21419,0.146,29984.76,0.0,32318.92,1.0,0.928,0.073,27881.425,2334.161,0.0,27881.425,
3600,DC_LA,64650,64650,0.412,34531.875,3.353,10394.946,1.0,1.0,0.0,9355.452,0.0,0.0,9358.804,
4200,DC_CR,95363,95363,0.742,40094.349,0.0,52988.275,1.0,0.757,0.244,8072.035,12893.926,0.0,8072.035,
4200,DC_OS,340381,171840,1.0,54000.0,1.759,41335.835,1.0,1.0,0.0,1653.434,0.0,0.0,1655.193,
4200,DC_MB,71478,71478,0.523,49552.125,5.028,13356.17,1.0,1.0,0.0,8078.565,0.0,0.0,8083.593,
4200,DC_SH,22030,22030,0.15,30131.52,0.0,30913.589,1.0,0.975,0.026,26232.507,782.069,0.0,26232.507,
4200,DC_LA,60925,60925,0.389,33833.438,3.243,10488.972,1.0,1.0,0.0,9440.075,0.0,0.0,9443.318,
4800,DC_CR,94692,94692,0.737,40054.931,0.0,56586.313,1.0,0.708,0.293,8755.002,16531.382,0.0,8755.002,
4800,DC_OS,349810,171840,1.0,54000.0,1.943,40013.991,1.0,1.0,0.0,1600.56,0.0,0.0,1602.503,
4800,DC_MB,71589,71589,0.524,49572.938,5.019,13436.374,1.0,1.0,0.0,8136.019,0.0,0.0,8141.038,
4800,DC_SH,22615,22615,0.154,30272.035,0.0,32788.784,1.0,0.924,0.077,28156.762,2516.75,0.0,28156.762,
4800,DC_LA,61265,61265,0.391,33897.188,3.243,10553.792,1.0,1.0,0.0,9498.413,0.0,0.0,9501.655,
5400,DC_CR,90045,90045,0.7,39287.257,0.0,53132.214,1.0,0.74,0.261,8449.477,13844.958,0.0,8449.477,
5400,DC_OS,348662,171840,1.0,54000.0,2.143,38573.079,1.0,1.0,0.0,1542.924,0.0,0.0,1545.066,
5400,DC_MB,68586,68586,0.502,49009.875,5.033,12772.459,1.0,1.0,0.0,7544.322,0.0,0.0,7549.355,
5400,DC_SH,21460,21460,0.147,29994.608,0.0,30420.401,1.0,0.987,0.014,25831.646,425.794,0.0,25831.646,
5400,DC_LA,58748,58748,0.375,33425.25,3.18,10532.327,1.0,1.0,0.0,9479.095,0.0,0.0,9482.274,
6000,DC_CR,87211,87211,0.678,38649.711,0.0,53179.335,1.0,0.727,0.274,8334.714,14529.625,0.0,8334.714,
6000,DC_OS,353165,171840,1.0,54000.0,2.088,38972.822,1.0,1.0,0.0,1558.913,0.0,0.0,1561.0,
6000,DC_MB,72221,72221,0.528,49691.438,5.141,12679.208,1.0,1.0,0.0,7502.061,0.0,0.0,7507.202,
6000,DC_SH,21387,21387,0.146,29977.074,0.0,30766.125,1.0,0.975,0.026,26205.452,789.052,0.0,26205.452,
6000,DC_LA,57480,57480,0.367,33187.5,3.142,10571.643,1.0,1.0,0.0,9514.479,0.0,0.0,9517.62,
6600,DC_CR,90344,90344,0.703,39312.249,0.0,54733.873,1.0,0.719,0.282,8067.313,15421.625,0.0,8067.313,
6600,DC_OS,351073,171840,1.0,54000.0,1.795,41079.788,1.0,1.0,0.0,1643.192,0.0,0.0,1644.986,
6600,DC_MB,72947,72947,0.534,49827.563,5.107,13058.689,1.0,1.0,0.0,7736.595,0.0,0.0,7741.702,
6600,DC_SH,21428,21428,0.146,29986.922,0.0,30305.305,1.0,0.99,0.011,25872.787,318.384,0.0,25872.787,
6600,DC_LA,57518,57518,0.367,33194.625,3.157,10469.674,1.0,1.0,0.0,9422.707,0.0,0.0,9425.863,
7200,DC_CR,93544,93544,0.728,39949.473,0.0,61414.306,1.0,0.651,0.35,8909.21,21464.834,0.0,8909.21,
7200,DC_OS,329873,171840,1.0,54000.0,1.782,41173.821,1.0,1.0,0.0,1646.953,0.0,0.0,1648.735,
7200,DC_MB,70057,70057,0.513,49285.688,5.43,10191.112,1.0,1.0,0.0,7763.477,0.0,0.0,7768.907,
7200,DC_SH,21167,21167,0.145,29924.231,0.0,33694.559,1.0,0.889,0.112,25649.815,3770.329,0.0,25649.815,
7200,DC_LA,57521,57521,0.367,33195.188,2.898,12330.37,1.0,1.0,0.0,11097.333,0.0,0.0,11100.231,
7800,DC_CR,94275,94275,0.733,40024.246,0.0,58380.241,1.0,0.686,0.315,8285.466,18355.996,0.0,8285.466,
7800,DC_OS,331755,171840,1.0,54000.0,2.085,38993.324,1.0,1.0,0.0,1559.733,0.0,0.0,1561.818,
7800,DC_MB,70372,70372,0.515,49344.75,5.41,10398.214,1.0,1.0,0.0,7963.543,0.0,0.0,7968.952,
7800,DC_SH,23979,23979,0.164,30599.662,0.0,33397.824,1.0,0.917,0.084,25726.148,2798.163,0.0,25726.148,
7800,DC_LA,49230,49230,0.314,31640.625,2.734,11957.314,1.0,1.0,0.0,10761.583,0.0,0.0,10764.317,
8400,DC_CR,94266,94266,0.733,40023.512,0.0,58892.674,1.0,0.68,0.321,8488.958,18869.163,0.0,8488.958,
8400,DC_OS,343319,171840,1.0,54000.0,1.715,41655.627,1.0,1.0,0.0,1666.226,0.0,0.0,1667.94,
8400,DC_MB,67238,67238,0.492,48757.125,5.423,9715.217,1.0,1.0,0.0,7413.796,0.0,0.0,7419.218,
8400,DC_SH,22714,22714,0.155,30295.814,0.0,36049.739,1.0,0.841,0.16,28070.309,5753.926,0.0,28070.309,
8400,DC_LA,49754,49754,0.317,31738.875,2.666,12549.747,1.0,1.0,0.0,11294.773,0.0,0.0,11297.438,
9000,DC_CR,96834,96834,0.753,40517.17,0.0,61735.239,1.0,0.657,0.344,8148.475,21218.07,0.0,8148.475,
9000,DC_OS,335290,171840,1.0,54000.0,2.045,39276.157,1.0,1.0,0.0,1571.047,0.0,0.0,1573.092,
9000,DC_MB,75352,75352,0.551,50278.5,5.58,10108.694,1.0,1.0,0.0,7707.956,0.0,0.0,7713.536,
9000,DC_SH,23677,23677,0.162,30527.123,0.0,33391.441,1.0,0.915,0.086,26073.863,2864.319,0.0,26073.863,
9000,DC_LA,49457,49457,0.316,31683.188,2.71,12173.826,1.0,1.0,0.0,10956.444,0.0,0.0,10959.154,
9600,DC_CR,100209,100209,0.779,40851.76,0.0,57235.009,1.0,0.714,0.287,8266.79,16383.25,0.0,8266.79,
9600,DC_OS,341135,171840,1.0,54000.0,1.541,42905.846,1.0,1.0,0.0,1716.234,0.0,0.0,1717.775,
9600,DC_MB,69526,69526,0.509,49186.125,5.452,9934.84,1.0,1.0,0.0,7576.216,0.0,0.0,7581.667,
9600,DC_SH,22479,22479,0.154,30239.368,0.0,34741.407,1.0,0.871,0.13,27054.039,4502.04,0.0,27054.039,
9600,DC_LA,48909,48909,0.312,31580.438,2.696,12171.964,1.0,1.0,0.0,10954.768,0.0,0.0,10957.464,
10200,DC_CR,96272,96272,0.749,40135.596,0.0,60613.974,1.0,0.663,0.338,8190.745,20478.379,0.0,8190.745,
10200,DC_OS,331007,171840,1.0,54000.0,2.094,38924.159,1.0,1.0,0.0,1556.967,0.0,0.0,1559.061,
10200,DC_MB,74976,74976,0.549,50208.0,5.62,9744.264,1.0,1.0,0.0,7422.955,0.0,0.0,7428.575,
10200,DC_SH,24119,24119,0.165,30633.29,0.0,35202.249,1.0,0.871,0.13,27515.256,4568.96,0.0,27515.256,
10200,DC_LA,51853,51853,0.331,32132.438,2.689,12775.379,1.0,1.0,0.0,11497.842,0.0,0.0,11500.53,
10800,DC_CR,106754,106754,0.83,42212.642,0.0,47796.218,1.0,0.884,0.117,8092.59,5583.577,0.0,8092.59,
10800,DC_OS,371882,171840,1.0,54000.0,1.833,40802.445,1.0,1.0,0.0,1632.098,0.0,0.0,1633.931,
10800,DC_MB,77997,77997,0.571,50774.438,5.667,9977.312,1.0,1.0,0.0,7981.85,0.0,0.0,7987.516,
10800,DC_SH,24176,24176,0.165,30646.981,0.0,42267.679,1.0,0.726,0.275,26013.032,11620.699,0.0,26013.032,
10800,DC_LA,50352,50352,0.321,31851.0,2.368,14807.859,1.0,1.0,0.0,13327.074,0.0,0.0,13329.441,
11400,DC_CR,86789,86789,0.675,38625.334,0.0,50308.373,1.0,0.768,0.233,8793.468,11683.04,0.0,8793.468,
11400,DC_OS,380076,171840,1.0,54000.0,1.623,42320.287,1.0,1.0,0.0,1692.812,0.0,0.0,1694.434,
11400,DC_MB,77711,77711,0.569,50720.813,5.75,9324.537,1.0,1.0,0.0,7459.63,0.0,0.0,7465.38,
11400,DC_SH,32883,32883,0.224,32738.368,0.0,42328.773,1.0,0.774,0.227,26676.33,9590.406,0.0,26676.33,
11400,DC_LA,46539,46539,0.297,31136.063,2.32,14432.991,1.0,1.0,0.0,12989.692,0.0,0.0,12992.012,
12000,DC_CR,94097,94097,0.732,40009.059,0.0,48360.253,1.0,0.828,0.173,8311.006,8351.195,0.0,8311.006,
12000,DC_OS,375300,171840,1.0,54000.0,1.532,42974.187,1.0,1.0,0.0,1718.968,0.0,0.0,1720.499,
12000,DC_MB,85162,85162,0.623,52117.875,5.97,9134.699,1.0,1.0,0.0,7307.76,0.0,0.0,7313.73,
12000,DC_SH,30786,30786,0.21,32234.677,0.0,43331.469,1.0,0.744,0.257,27200.201,11096.793,0.0,27200.201,
12000,DC_LA,48902,48902,0.312,31579.125,2.492,13638.772,1.0,1.0,0.0,12274.895,0.0,0.0,12277.387,
