time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,106016,106016,0.825,42152.338,0.219,40581.675,1.0,1.0,0.0,1228.338,0.0,0.0,1228.557,
0,DC_OS,106012,106012,0.617,44840.069,4.383,13287.92,1.0,1.0,0.0,531.517,0.0,0.0,535.9,
0,DC_MB,106009,106009,0.775,56026.688,6.589,8588.244,1.0,1.0,0.0,347.39,0.0,0.0,353.979,
0,DC_SH,106009,106009,0.722,47296.688,6.03,3881.967,1.0,1.0,0.0,2857.528,0.0,0.0,2863.558,
0,DC_LA,106007,106007,0.676,42501.501,3.758,15451.065,1.0,1.0,0.0,13905.959,0.0,0.0,13909.716,
600,DC_CR,71484,71484,0.556,35789.811,0.0,40557.26,1.0,0.883,0.118,1212.731,4767.45,0.0,1212.731,
600,DC_OS,165206,165206,0.962,53286.324,5.531,13468.54,1.0,1.0,0.0,538.742,0.0,0.0,544.272,
600,DC_MB,252775,136800,1.0,61800.0,7.383,8643.289,1.0,1.0,0.0,328.255,0.0,0.0,335.638,
600,DC_SH,30724,30724,0.21,32219.785,3.945,3819.839,1.0,1.0,0.0,2827.022,0.0,0.0,2830.967,
600,DC_LA,6309,6309,0.041,22829.78,1.089,14991.235,1.0,1.0,0.0,13492.112,0.0,0.0,13493.201,
1200,DC_CR,77875,77875,0.606,37120.402,0.0,42784.159,1.0,0.868,0.133,1230.704,5663.758,0.0,1230.704,
1200,DC_OS,154702,154702,0.901,51580.275,5.339,13145.166,1.0,1.0,0.0,525.807,0.0,0.0,531.145,
1200,DC_MB,253906,136800,1.0,61800.0,7.369,8744.472,1.0,1.0,0.0,330.353,0.0,0.0,337.721,
1200,DC_SH,29476,29476,0.201,31920.02,3.906,3799.397,1.0,1.0,0.0,2792.16,0.0,0.0,2796.066,
1200,DC_LA,6170,6170,0.04,22813.629,1.004,15591.832,1.0,1.0,0.0,14032.649,0.0,0.0,14033.652,
1800,DC_CR,78185,78185,0.608,37147.305,0.0,41355.672,1.0,0.899,0.102,1227.897,4208.368,0.0,1227.897,
1800,DC_OS,158778,158778,0.924,52178.316,5.305,13985.754,1.0,1.0,0.0,559.431,0.0,0.0,564.735,
1800,DC_MB,252726,136800,1.0,61800.0,7.346,8913.545,1.0,1.0,0.0,343.927,0.0,0.0,351.272,
1800,DC_SH,29894,29894,0.204,32020.422,3.908,3883.124,1.0,1.0,0.0,2828.478,0.0,0.0,2832.386,
1800,DC_LA,5943,5943,0.038,22781.584,1.136,14604.345,1.0,1.0,0.0,13143.911,0.0,0.0,13145.047,
2400,DC_CR,77725,77725,0.605,37105.51,0.0,43497.592,1.0,0.854,0.147,1207.13,6392.083,0.0,1207.13,
2400,DC_OS,153244,153244,0.892,51520.575,5.322,13205.53,1.0,1.0,0.0,528.222,0.0,0.0,533.543,
2400,DC_MB,249271,136800,1.0,61800.0,7.335,8989.101,1.0,1.0,0.0,346.352,0.0,0.0,353.687,
2400,DC_SH,30305,30305,0.207,32119.143,3.917,3919.43,1.0,1.0,0.0,2929.7,0.0,0.0,2933.617,
2400,DC_LA,6517,6517,0.042,22850.558,1.165,14465.724,1.0,1.0,0.0,13019.152,0.0,0.0,13020.317,
3000,DC_CR,80840,80840,0.629,37677.922,0.0,42497.41,1.0,0.887,0.114,1253.897,4819.489,0.0,1253.897,
3000,DC_OS,157598,157598,0.918,52130.151,5.266,14219.035,1.0,1.0,0.0,568.762,0.0,0.0,574.027,
3000,DC_MB,240360,136800,1.0,61800.0,7.386,8625.294,1.0,1.0,0.0,351.167,0.0,0.0,358.552,
3000,DC_SH,28410,28410,0.194,31663.971,3.841,4011.434,1.0,1.0,0.0,2970.548,0.0,0.0,2974.389,
3000,DC_LA,6390,6390,0.041,22838.295,1.132,14691.436,1.0,1.0,0.0,13222.293,0.0,0.0,13223.424,
3600,DC_CR,88672,88672,0.69,39038.768,0.0,47974.111,1.0,0.814,0.187,1994.533,8935.344,0.0,1994.533,
3600,DC_OS,173322,171840,1.0,54000.0,5.978,10964.706,1.0,1.0,0.0,438.589,0.0,0.0,444.566,
3600,DC_MB,280721,136800,1.0,61800.0,7.977,4370.714,1.0,1.0,0.0,747.507,0.0,0.0,755.483,
3600,DC_SH,33182,33182,0.226,32810.187,3.577,7058.572,1.0,1.0,0.0,2421.142,0.0,0.0,2424.719,
3600,DC_LA,7450,7450,0.048,22915.539,0.533,19084.792,1.0,1.0,0.0,17176.313,0.0,0.0,17176.845,
4200,DC_CR,77228,77228,0.601,37042.637,0.0,48213.714,1.0,0.769,0.232,2139.552,11171.078,0.0,2139.552,
4200,DC_OS,285807,171840,1.0,54000.0,6.061,10361.238,1.0,1.0,0.0,414.45,0.0,0.0,420.511,
4200,DC_MB,167690,136800,1.0,61800.0,7.984,4315.213,1.0,1.0,0.0,724.104,0.0,0.0,732.088,
4200,DC_SH,51771,51771,0.353,37127.063,4.154,7220.058,1.0,1.0,0.0,2510.286,0.0,0.0,2514.44,
4200,DC_LA,7290,7290,0.047,22906.571,0.468,19539.692,1.0,1.0,0.0,17585.723,0.0,0.0,17586.191,
4800,DC_CR,74502,74502,0.58,36452.913,0.0,47657.137,1.0,0.765,0.236,2019.302,11204.225,0.0,2019.302,
4800,DC_OS,295514,171840,1.0,54000.0,6.018,10670.962,1.0,1.0,0.0,426.839,0.0,0.0,432.857,
4800,DC_MB,169140,136800,1.0,61800.0,8.006,4162.597,1.0,1.0,0.0,743.157,0.0,0.0,751.162,
4800,DC_SH,48786,48786,0.333,36558.206,4.093,7089.129,1.0,1.0,0.0,2428.484,0.0,0.0,2432.577,
4800,DC_LA,6958,6958,0.045,22885.56,0.642,18268.922,1.0,1.0,0.0,16442.03,0.0,0.0,16442.671,
5400,DC_CR,80724,80724,0.628,37643.302,0.0,47482.95,1.0,0.793,0.208,2038.507,9839.649,0.0,2038.507,
5400,DC_OS,292126,171840,1.0,54000.0,6.058,10382.667,1.0,1.0,0.0,415.307,0.0,0.0,421.365,
5400,DC_MB,167782,136800,1.0,61800.0,8.001,4198.523,1.0,1.0,0.0,724.861,0.0,0.0,732.861,
