time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,89307,89307,0.695,39199.967,0.0,43205.573,0.908,0.908,0.0,1270.321,0.0,0.0,1270.321,
0,DC_OS,119300,119300,0.695,46688.442,4.519,14152.057,1.0,1.0,0.0,566.083,0.0,0.0,570.602,
0,DC_MB,94972,94972,0.695,53957.25,6.308,8544.002,1.0,1.0,0.0,343.05,0.0,0.0,349.357,
0,DC_SH,101971,101971,0.695,46539.563,5.923,3900.775,1.0,1.0,0.0,2923.056,0.0,0.0,2928.979,
0,DC_LA,108969,108969,0.695,43015.994,3.804,15630.006,1.0,1.0,0.0,14067.006,0.0,0.0,14070.81,
600,DC_CR,88200,88200,0.686,38695.277,0.0,41536.86,0.932,0.932,0.0,1247.887,0.0,0.0,1247.887,
600,DC_OS,117820,117820,0.686,46560.38,4.574,13633.072,1.0,1.0,0.0,545.323,0.0,0.0,549.897,
600,DC_MB,93795,93795,0.686,53736.563,6.3,8377.997,1.0,1.0,0.0,343.8,0.0,0.0,350.1,
600,DC_SH,100706,100706,0.686,46302.375,5.916,3714.19,1.0,1.0,0.0,2712.605,0.0,0.0,2718.521,
600,DC_LA,107619,107619,0.686,42617.637,3.908,14484.413,1.0,1.0,0.0,13035.972,0.0,0.0,13039.88,
1200,DC_CR,90438,90438,0.704,39319.346,0.0,43626.144,0.902,0.902,0.0,1212.894,0.0,0.0,1212.894,
1200,DC_OS,120813,120813,0.704,46753.046,4.63,13419.801,1.0,1.0,0.0,536.793,0.0,0.0,541.422,
1200,DC_MB,96177,96177,0.704,54183.188,6.324,8651.418,1.0,1.0,0.0,325.363,0.0,0.0,331.687,
1200,DC_SH,103265,103265,0.704,46782.188,5.973,3778.42,1.0,1.0,0.0,2789.717,0.0,0.0,2795.69,
1200,DC_LA,110352,110352,0.704,43251.813,3.895,15213.375,1.0,1.0,0.0,13692.038,0.0,0.0,13695.932,
1800,DC_CR,90329,90329,0.703,39311.086,0.0,41071.279,0.958,0.958,0.0,1278.851,0.0,0.0,1278.851,
1800,DC_OS,120665,120665,0.703,46747.96,4.512,14262.693,1.0,1.0,0.0,570.508,0.0,0.0,575.02,
1800,DC_MB,96059,96059,0.703,54161.063,6.344,8486.25,1.0,1.0,0.0,340.349,0.0,0.0,346.693,
1800,DC_SH,103136,103136,0.703,46758.0,5.965,3813.764,1.0,1.0,0.0,2833.118,0.0,0.0,2839.083,
1800,DC_LA,110215,110215,0.703,43239.262,3.848,15537.242,1.0,1.0,0.0,13983.518,0.0,0.0,13987.366,
2400,DC_CR,90004,90004,0.7,39283.496,0.0,43346.192,0.907,0.907,0.0,1223.578,0.0,0.0,1223.578,
2400,DC_OS,120232,120232,0.7,46731.835,4.553,13956.093,1.0,1.0,0.0,558.244,0.0,0.0,562.796,
2400,DC_MB,95715,95715,0.7,54096.563,6.281,8875.859,1.0,1.0,0.0,328.238,0.0,0.0,334.519,
2400,DC_SH,102769,102769,0.7,46689.188,5.957,3798.869,1.0,1.0,0.0,2751.818,0.0,0.0,2757.775,
2400,DC_LA,109820,109820,0.7,43196.148,3.965,14653.018,1.0,1.0,0.0,13187.717,0.0,0.0,13191.681,
3000,DC_CR,91081,91081,0.709,39360.797,0.0,42887.279,0.918,0.918,0.0,1221.618,0.0,0.0,1221.618,
3000,DC_OS,121670,121670,0.709,47092.215,4.607,13925.654,1.0,1.0,0.0,557.027,0.0,0.0,561.633,
3000,DC_MB,96860,96860,0.709,54311.25,6.35,8596.423,1.0,1.0,0.0,347.729,0.0,0.0,354.078,
3000,DC_SH,103996,103996,0.709,46919.25,5.992,3780.084,1.0,1.0,0.0,2759.926,0.0,0.0,2765.918,
3000,DC_LA,111133,111133,0.709,43308.796,3.861,15512.43,1.0,1.0,0.0,13961.187,0.0,0.0,13965.048,
3600,DC_CR,102989,102989,0.801,41509.771,0.0,46215.191,0.899,0.899,0.0,2030.981,0.0,0.0,2030.981,
3600,DC_OS,137576,137576,0.801,49160.485,5.33,10786.994,1.0,1.0,0.0,431.48,0.0,0.0,436.81,
3600,DC_MB,109525,109525,0.801,56685.938,7.296,4156.07,1.0,1.0,0.0,700.668,0.0,0.0,707.964,
3600,DC_SH,117593,117593,0.801,49512.153,5.9,7039.231,1.0,1.0,0.0,2500.745,0.0,0.0,2506.645,
3600,DC_LA,125663,125663,0.801,46035.468,3.843,18366.828,1.0,1.0,0.0,16530.146,0.0,0.0,16533.989,
4200,DC_CR,103909,103909,0.808,41557.565,0.0,45985.203,0.904,0.904,0.0,2073.905,0.0,0.0,2073.905,
4200,DC_OS,138804,138804,0.808,49553.719,5.346,11062.904,1.0,1.0,0.0,442.517,0.0,0.0,447.863,
4200,DC_MB,110500,110500,0.808,56868.75,7.328,4109.987,1.0,1.0,0.0,739.477,0.0,0.0,746.804,
4200,DC_SH,118641,118641,0.808,49559.418,5.91,7010.132,1.0,1.0,0.0,2477.377,0.0,0.0,2483.287,
4200,DC_LA,126783,126783,0.808,46156.441,3.821,18650.401,1.0,1.0,0.0,16785.361,0.0,0.0,16789.182,
4800,DC_CR,103902,103902,0.808,41557.251,0.0,50195.063,0.828,0.828,0.0,1993.299,0.0,0.0,1993.299,
4800,DC_OS,138797,138797,0.808,49552.501,5.45,10316.457,1.0,1.0,0.0,412.659,0.0,0.0,418.108,
4800,DC_MB,110493,110493,0.808,56867.438,7.316,4198.014,1.0,1.0,0.0,729.813,0.0,0.0,737.128,
4800,DC_SH,118637,118637,0.808,49559.262,5.929,6875.127,1.0,1.0,0.0,2412.123,0.0,0.0,2418.052,
4800,DC_LA,126778,126778,0.808,46156.064,3.689,19602.459,1.0,1.0,0.0,17642.214,0.0,0.0,17645.902,
5400,DC_CR,101989,101989,0.793,41432.835,0.0,49393.2,0.839,0.839,0.0,2084.607,0.0,0.0,2084.607,
5400,DC_OS,136241,136241,0.793,49102.903,5.279,11100.669,1.0,1.0,0.0,444.027,0.0,0.0,449.305,
5400,DC_MB,108460,108460,0.793,56486.25,7.242,4345.697,1.0,1.0,0.0,733.737,0.0,0.0,740.979,
5400,DC_SH,116453,116453,0.793,49436.41,5.932,6726.434,1.0,1.0,0.0,2441.253,0.0,0.0,2447.185,
5400,DC_LA,124445,124445,0.793,45529.62,3.824,17999.002,1.0,1.0,0.0,16199.102,0.0,0.0,16202.926,
6000,DC_CR,104311,104311,0.811,41574.596,0.0,50303.099,0.827,0.827,0.0,2128.285,0.0,0.0,2128.285,
6000,DC_OS,139345,139345,0.811,49624.396,5.375,10927.821,1.0,1.0,0.0,437.113,0.0,0.0,442.488,
6000,DC_MB,110929,110929,0.811,56949.188,7.303,4368.458,1.0,1.0,0.0,701.994,0.0,0.0,709.297,
6000,DC_SH,119102,119102,0.811,49935.774,5.982,6872.05,1.0,1.0,0.0,2521.136,0.0,0.0,2527.118,
6000,DC_LA,127276,127276,0.811,46189.711,3.864,18371.835,1.0,1.0,0.0,16534.652,0.0,0.0,16538.516,
6600,DC_CR,102551,102551,0.798,41480.596,0.0,49684.404,0.835,0.835,0.0,2170.511,0.0,0.0,2170.511,
6600,DC_OS,136992,136992,0.798,49138.331,5.387,10352.356,1.0,1.0,0.0,414.095,0.0,0.0,419.482,
6600,DC_MB,109055,109055,0.798,56597.813,7.278,4199.816,1.0,1.0,0.0,699.948,0.0,0.0,707.226,
6600,DC_SH,117092,117092,0.798,49483.257,5.889,7085.613,1.0,1.0,0.0,2429.936,0.0,0.0,2435.825,
6600,DC_LA,125129,125129,0.798,45908.233,3.837,18286.172,1.0,1.0,0.0,16457.555,0.0,0.0,16461.392,
7200,DC_CR,99406,99406,0.773,40814.919,0.0,53457.184,0.764,0.764,0.0,2866.302,0.0,0.0,2866.302,
7200,DC_OS,132793,132793,0.773,48536.361,5.218,10972.31,1.0,1.0,0.0,438.893,0.0,0.0,444.11,
7200,DC_MB,105714,105714,0.773,55971.375,7.519,1836.05,1.0,1.0,0.0,1083.315,0.0,0.0,1090.834,
7200,DC_SH,113503,113503,0.773,48789.068,5.228,11153.554,1.0,1.0,0.0,3711.447,0.0,0.0,3716.675,
7200,DC_LA,121292,121292,0.773,45247.274,3.759,18183.791,1.0,1.0,0.0,16365.412,0.0,0.0,16369.171,
7800,DC_CR,99635,99635,0.775,40826.339,0.0,53107.196,0.769,0.769,0.0,2731.135,0.0,0.0,2731.135,
7800,DC_OS,133095,133095,0.775,48548.194,5.225,10928.365,1.0,1.0,0.0,437.135,0.0,0.0,442.36,
7800,DC_MB,105953,105953,0.775,56016.188,7.515,1908.282,1.0,1.0,0.0,1151.256,0.0,0.0,1158.771,
7800,DC_SH,113761,113761,0.775,48802.345,5.213,11270.018,1.0,1.0,0.0,3946.317,0.0,0.0,3951.53,
7800,DC_LA,121570,121570,0.775,45305.193,3.685,18778.461,1.0,1.0,0.0,16900.615,0.0,0.0,16904.3,
8400,DC_CR,99364,99364,0.773,40812.731,0.0,53228.93,0.767,0.767,0.0,2833.585,0.0,0.0,2833.585,
8400,DC_OS,132733,132733,0.773,48533.877,5.288,10460.494,1.0,1.0,0.0,418.42,0.0,0.0,423.708,
8400,DC_MB,105668,105668,0.773,55962.75,7.518,1835.628,1.0,1.0,0.0,1112.01,0.0,0.0,1119.528,
8400,DC_SH,113453,113453,0.773,48786.36,5.189,11427.198,1.0,1.0,0.0,3887.837,0.0,0.0,3893.026,
8400,DC_LA,121240,121240,0.773,45233.579,3.787,17972.669,1.0,1.0,0.0,16175.403,0.0,0.0,16179.189,
9000,DC_CR,100312,100312,0.78,40855.915,0.0,53199.19,0.768,0.768,0.0,2715.598,0.0,0.0,2715.598,
9000,DC_OS,134001,134001,0.78,48760.609,5.35,10243.736,1.0,1.0,0.0,409.75,0.0,0.0,415.1,
9000,DC_MB,106675,106675,0.78,56151.563,7.543,1843.199,1.0,1.0,0.0,1099.808,0.0,0.0,1107.351,
9000,DC_SH,114536,114536,0.78,48836.55,5.16,11690.478,1.0,1.0,0.0,3745.599,0.0,0.0,3750.759,
9000,DC_LA,122397,122397,0.78,45407.257,3.625,19314.114,1.0,1.0,0.0,17382.703,0.0,0.0,17386.327,
9600,DC_CR,97593,97593,0.759,40671.687,0.0,51131.654,0.796,0.796,0.0,2839.23,0.0,0.0,2839.23,
9600,DC_OS,130369,130369,0.759,48349.952,5.319,10058.327,1.0,1.0,0.0,402.334,0.0,0.0,407.652,
9600,DC_MB,103783,103783,0.759,55609.313,7.465,1864.986,1.0,1.0,0.0,1109.925,0.0,0.0,1117.39,
9600,DC_SH,111431,111431,0.759,48594.567,5.139,11595.773,1.0,1.0,0.0,4045.065,0.0,0.0,4050.204,
9600,DC_LA,119078,119078,0.759,44741.345,3.532,19313.025,1.0,1.0,0.0,17381.723,0.0,0.0,17385.255,
10200,DC_CR,99402,99402,0.773,40814.712,0.0,51188.282,0.798,0.798,0.0,2782.468,0.0,0.0,2782.468,
10200,DC_OS,132786,132786,0.773,48536.073,5.33,10164.635,1.0,1.0,0.0,406.586,0.0,0.0,411.915,
10200,DC_MB,105708,105708,0.773,55970.25,7.517,1851.524,1.0,1.0,0.0,1104.254,0.0,0.0,1111.771,
10200,DC_SH,113498,113498,0.773,48788.8,5.182,11484.665,1.0,1.0,0.0,4084.163,0.0,0.0,4089.345,
10200,DC_LA,121288,121288,0.773,45246.262,3.72,18464.374,1.0,1.0,0.0,16617.937,0.0,0.0,16621.657,
10800,DC_CR,108664,108664,0.845,42537.348,0.097,41843.629,1.0,1.0,0.0,2786.831,0.0,0.0,2786.927,
10800,DC_OS,145158,145158,0.845,50332.124,5.196,12926.467,1.0,1.0,0.0,517.059,0.0,0.0,522.254,
