time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103956,103956,0.809,41559.654,0.0,41832.579,0.994,0.994,0.0,1319.151,0.0,0.0,1319.151,
0,DC_OS,103952,103952,0.605,44342.22,4.235,13855.168,1.0,1.0,0.0,554.207,0.0,0.0,558.442,
0,DC_MB,103949,103949,0.76,55640.438,6.579,8278.385,1.0,1.0,0.0,341.93,0.0,0.0,348.508,
0,DC_SH,103949,103949,0.708,46910.438,5.978,3872.869,1.0,1.0,0.0,2821.177,0.0,0.0,2827.155,
0,DC_LA,103946,103946,0.663,41914.901,3.662,15550.763,1.0,1.0,0.0,13995.687,0.0,0.0,13999.349,
600,DC_CR,259762,128640,1.0,45900.0,0.287,43839.949,1.0,1.0,0.0,1236.94,0.0,0.0,1237.226,
600,DC_OS,86030,86030,0.501,41690.625,3.846,13999.847,1.0,1.0,0.0,559.994,0.0,0.0,563.84,
600,DC_MB,51400,51400,0.376,44146.256,4.936,8612.855,1.0,1.0,0.0,346.47,0.0,0.0,351.405,
600,DC_SH,24042,24042,0.164,30614.795,3.701,3971.446,1.0,1.0,0.0,2958.638,0.0,0.0,2962.339,
600,DC_LA,96559,96559,0.616,40605.159,3.483,15533.129,1.0,1.0,0.0,13979.817,0.0,0.0,13983.299,
1200,DC_CR,261412,128640,1.0,45900.0,0.394,43066.71,1.0,1.0,0.0,1317.402,0.0,0.0,1317.795,
1200,DC_OS,83476,83476,0.486,41211.75,3.873,13331.292,1.0,1.0,0.0,533.252,0.0,0.0,537.124,
1200,DC_MB,51351,51351,0.376,44141.065,4.965,8400.098,1.0,1.0,0.0,346.167,0.0,0.0,351.131,
1200,DC_SH,23674,23674,0.162,30526.402,3.691,3956.875,1.0,1.0,0.0,2941.617,0.0,0.0,2945.308,
1200,DC_LA,92616,92616,0.591,39775.5,3.318,15886.501,1.0,1.0,0.0,14297.851,0.0,0.0,14301.169,
1800,DC_CR,265627,128640,1.0,45900.0,0.214,44365.902,1.0,1.0,0.0,1273.322,0.0,0.0,1273.535,
1800,DC_OS,82221,82221,0.479,40976.438,3.815,13511.745,1.0,1.0,0.0,540.47,0.0,0.0,544.285,
