time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,101096,101096,0.786,41301.716,0.0,42994.953,0.961,0.961,0.0,1299.912,0.0,0.0,1299.912,
0,DC_OS,101093,101093,0.589,44171.098,4.232,13706.343,1.0,1.0,0.0,548.254,0.0,0.0,552.485,
0,DC_MB,101091,101091,0.739,55104.563,6.504,8278.938,1.0,1.0,0.0,343.694,0.0,0.0,350.198,
0,DC_SH,101087,101087,0.689,46373.813,5.893,3945.722,1.0,1.0,0.0,2926.711,0.0,0.0,2932.604,
0,DC_LA,101084,101084,0.645,41634.676,3.621,15569.048,1.0,1.0,0.0,14012.144,0.0,0.0,14015.764,
600,DC_CR,488600,128640,1.0,45900.0,0.24,44178.595,1.0,1.0,0.0,1316.843,0.0,0.0,1317.082,
600,DC_OS,0,0,0.0,22980.0,1.329,13412.152,1.0,1.0,0.0,536.487,0.0,0.0,537.815,
600,DC_MB,30455,30455,0.223,36368.797,3.813,8917.77,1.0,1.0,0.0,327.001,0.0,0.0,330.814,
600,DC_SH,0,0,0.0,24840.0,2.899,3968.57,1.0,1.0,0.0,2970.078,0.0,0.0,2972.977,
600,DC_LA,0,0,0.0,21240.0,0.757,15790.833,1.0,1.0,0.0,14211.75,0.0,0.0,14212.507,
1200,DC_CR,0,128640,1.0,45900.0,0.491,42366.319,1.0,1.0,0.0,1302.956,0.0,0.0,1303.446,
1200,DC_OS,386924,171840,1.0,54000.0,5.577,13852.094,1.0,1.0,0.0,554.084,0.0,0.0,559.66,
1200,DC_MB,136800,136800,1.0,61800.0,7.417,8403.392,1.0,1.0,0.0,351.628,0.0,0.0,359.044,
1200,DC_SH,0,0,0.0,24840.0,2.927,3770.305,1.0,1.0,0.0,2774.415,0.0,0.0,2777.342,
1200,DC_LA,0,0,0.0,21240.0,0.929,14555.653,1.0,1.0,0.0,13100.088,0.0,0.0,13101.017,
1800,DC_CR,32350,128640,1.0,45900.0,0.456,42618.241,1.0,1.0,0.0,1234.517,0.0,0.0,1234.973,
1800,DC_OS,18675,171840,1.0,54000.0,5.6,13684.033,1.0,1.0,0.0,547.362,0.0,0.0,552.961,
1800,DC_MB,440300,136800,1.0,61800.0,7.351,8878.413,1.0,1.0,0.0,328.988,0.0,0.0,336.338,
1800,DC_SH,20257,20257,0.138,29705.652,3.576,3963.63,1.0,1.0,0.0,2953.921,0.0,0.0,2957.497,
1800,DC_LA,0,0,0.0,21240.0,0.941,14466.303,1.0,1.0,0.0,13019.673,0.0,0.0,13020.614,
2400,DC_CR,61971,128640,1.0,45900.0,0.47,42516.046,1.0,1.0,0.0,1214.116,0.0,0.0,1214.586,
2400,DC_OS,407081,171840,1.0,54000.0,5.591,13746.993,1.0,1.0,0.0,549.88,0.0,0.0,555.471,
2400,DC_MB,0,136800,1.0,61800.0,7.362,8798.673,1.0,1.0,0.0,328.548,0.0,0.0,335.909,
2400,DC_SH,42337,42337,0.289,35009.182,4.313,3959.647,1.0,1.0,0.0,2916.526,0.0,0.0,2920.839,
2400,DC_LA,0,0,0.0,21240.0,0.88,14904.541,1.0,1.0,0.0,13414.087,0.0,0.0,13414.967,
3000,DC_CR,398838,128640,1.0,45900.0,0.702,40851.97,1.0,1.0,0.0,1225.861,0.0,0.0,1226.562,
3000,DC_OS,0,171840,1.0,54000.0,5.589,13760.017,1.0,1.0,0.0,550.401,0.0,0.0,555.99,
3000,DC_MB,0,136800,1.0,61800.0,7.369,8747.831,1.0,1.0,0.0,354.955,0.0,0.0,362.323,
3000,DC_SH,114617,114617,0.781,48839.729,6.264,3741.743,1.0,1.0,0.0,2715.211,0.0,0.0,2721.475,
3000,DC_LA,0,0,0.0,21240.0,0.768,15716.209,1.0,1.0,0.0,14144.589,0.0,0.0,14145.356,
3600,DC_CR,74287,128640,1.0,45900.0,0.0,48905.721,0.939,0.939,0.0,2029.03,0.0,0.0,2029.03,
