time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,47484,47484,0.37,31145.471,0.0,41039.503,0.759,0.759,0.0,1288.164,0.0,0.0,1288.164,
0,DC_OS,6821,6821,0.04,24618.378,1.434,14299.934,1.0,1.0,0.0,571.998,0.0,0.0,573.431,
0,DC_MB,298856,136800,1.0,61800.0,7.439,8243.523,1.0,1.0,0.0,352.031,0.0,0.0,359.469,
0,DC_SH,78013,78013,0.532,42047.438,5.308,3834.071,1.0,1.0,0.0,2875.77,0.0,0.0,2881.078,
0,DC_LA,88861,88861,0.567,39071.438,3.28,15458.984,1.0,1.0,0.0,13913.086,0.0,0.0,13916.366,
600,DC_CR,48729,48729,0.379,31444.515,0.0,41731.26,0.754,0.754,0.0,1230.244,0.0,0.0,1230.244,
600,DC_OS,6792,6792,0.04,24611.412,1.596,13125.317,1.0,1.0,0.0,525.013,0.0,0.0,526.608,
600,DC_MB,294284,136800,1.0,61800.0,7.42,8380.373,1.0,1.0,0.0,345.497,0.0,0.0,352.916,
600,DC_SH,75674,75674,0.516,41608.875,5.256,3771.311,1.0,1.0,0.0,2785.406,0.0,0.0,2790.662,
600,DC_LA,91807,91807,0.585,39623.813,3.317,15746.705,1.0,1.0,0.0,14172.035,0.0,0.0,14175.351,
1200,DC_CR,49465,49465,0.385,31594.688,0.0,41407.829,0.764,0.764,0.0,1271.684,0.0,0.0,1271.684,
1200,DC_OS,6631,6631,0.039,24572.741,1.427,14304.501,1.0,1.0,0.0,572.181,0.0,0.0,573.607,
1200,DC_MB,298456,136800,1.0,61800.0,7.338,8971.287,1.0,1.0,0.0,331.627,0.0,0.0,338.964,
1200,DC_SH,75491,75491,0.514,41574.563,5.241,3842.282,1.0,1.0,0.0,2846.289,0.0,0.0,2851.53,
1200,DC_LA,90466,90466,0.577,39372.375,3.391,14958.804,1.0,1.0,0.0,13462.924,0.0,0.0,13466.315,
1800,DC_CR,48334,48334,0.376,31349.638,0.0,42486.885,0.738,0.738,0.0,1249.472,0.0,0.0,1249.472,
1800,DC_OS,6871,6871,0.04,24630.388,1.522,13672.432,1.0,1.0,0.0,546.898,0.0,0.0,548.42,
1800,DC_MB,300748,136800,1.0,61800.0,7.421,8369.442,1.0,1.0,0.0,343.571,0.0,0.0,350.992,
1800,DC_SH,74372,74372,0.507,41364.75,5.197,3948.885,1.0,1.0,0.0,2954.862,0.0,0.0,2960.059,
1800,DC_LA,89834,89834,0.573,39253.875,3.447,14440.531,1.0,1.0,0.0,12996.478,0.0,0.0,12999.925,
2400,DC_CR,48091,48091,0.374,31291.27,0.0,43271.347,0.724,0.724,0.0,1291.464,0.0,0.0,1291.464,
2400,DC_OS,6576,6576,0.039,24559.53,1.462,14035.948,1.0,1.0,0.0,561.438,0.0,0.0,562.9,
2400,DC_MB,290203,136800,1.0,61800.0,7.378,8679.869,1.0,1.0,0.0,330.922,0.0,0.0,338.3,
2400,DC_SH,72697,72697,0.495,41050.688,5.161,3896.851,1.0,1.0,0.0,2877.866,0.0,0.0,2883.027,
2400,DC_LA,89273,89273,0.569,39148.688,3.286,15491.071,1.0,1.0,0.0,13941.964,0.0,0.0,13945.25,
3000,DC_CR,49296,49296,0.384,31563.0,0.0,43016.407,0.734,0.734,0.0,1204.807,0.0,0.0,1204.807,
3000,DC_OS,6714,6714,0.04,24592.677,1.512,13709.624,1.0,1.0,0.0,548.385,0.0,0.0,549.897,
3000,DC_MB,298057,136800,1.0,61800.0,7.42,8376.463,1.0,1.0,0.0,344.905,0.0,0.0,352.325,
3000,DC_SH,76798,76798,0.523,41819.625,5.289,3745.396,1.0,1.0,0.0,2718.84,0.0,0.0,2724.129,
3000,DC_LA,90105,90105,0.575,39304.688,3.422,14671.016,1.0,1.0,0.0,13203.915,0.0,0.0,13207.336,
3600,DC_CR,57141,57141,0.445,33033.938,0.0,48323.633,0.684,0.684,0.0,2149.594,0.0,0.0,2149.594,
3600,DC_OS,9829,9829,0.058,25340.888,1.956,11263.339,1.0,1.0,0.0,450.534,0.0,0.0,452.489,
3600,DC_MB,337876,136800,1.0,61800.0,8.008,4145.587,1.0,1.0,0.0,734.152,0.0,0.0,742.159,
3600,DC_SH,80660,80660,0.55,42543.75,4.907,7216.328,1.0,1.0,0.0,2641.759,0.0,0.0,2646.666,
3600,DC_LA,110442,110442,0.704,43259.541,3.387,18878.706,1.0,1.0,0.0,16990.836,0.0,0.0,16994.222,
4200,DC_CR,57513,57513,0.448,33103.688,0.0,48955.742,0.677,0.677,0.0,2082.173,0.0,0.0,2082.173,
4200,DC_OS,9390,9390,0.055,25235.442,2.038,10568.004,1.0,1.0,0.0,422.721,0.0,0.0,424.758,
4200,DC_MB,343245,136800,1.0,61800.0,7.99,4273.257,1.0,1.0,0.0,712.964,0.0,0.0,720.954,
4200,DC_SH,80489,80489,0.548,42511.688,4.928,7034.947,1.0,1.0,0.0,2606.523,0.0,0.0,2611.451,
4200,DC_LA,109949,109949,0.701,43211.575,3.331,19231.67,1.0,1.0,0.0,17308.503,0.0,0.0,17311.834,
4800,DC_CR,56879,56879,0.443,32984.813,0.0,50473.862,0.654,0.654,0.0,2183.486,0.0,0.0,2183.486,
4800,DC_OS,9492,9492,0.056,25259.942,2.0,10865.715,1.0,1.0,0.0,434.629,0.0,0.0,436.628,
4800,DC_MB,337117,136800,1.0,61800.0,8.007,4153.003,1.0,1.0,0.0,709.859,0.0,0.0,717.865,
4800,DC_SH,80081,80081,0.546,42435.188,4.898,7174.423,1.0,1.0,0.0,2467.855,0.0,0.0,2472.753,
4800,DC_LA,110692,110692,0.706,43279.199,3.327,19325.622,1.0,1.0,0.0,17393.06,0.0,0.0,17396.387,
5400,DC_CR,56581,56581,0.44,32928.938,0.0,46430.968,0.71,0.71,0.0,2149.342,0.0,0.0,2149.342,
5400,DC_OS,10062,10062,0.059,25396.853,2.031,10780.834,1.0,1.0,0.0,431.234,0.0,0.0,433.264,
5400,DC_MB,340825,136800,1.0,61800.0,8.009,4135.593,1.0,1.0,0.0,719.748,0.0,0.0,727.757,
5400,DC_SH,81603,81603,0.556,42720.563,4.977,6888.702,1.0,1.0,0.0,2470.869,0.0,0.0,2475.846,
5400,DC_LA,110609,110609,0.705,43272.943,3.467,18315.883,1.0,1.0,0.0,16484.295,0.0,0.0,16487.761,
6000,DC_CR,55304,55304,0.43,32689.5,0.0,48384.023,0.676,0.676,0.0,2083.512,0.0,0.0,2083.512,
6000,DC_OS,9905,9905,0.058,25359.143,2.038,10690.502,1.0,1.0,0.0,427.621,0.0,0.0,429.658,
6000,DC_MB,333019,136800,1.0,61800.0,8.019,4066.99,1.0,1.0,0.0,713.77,0.0,0.0,721.789,
6000,DC_SH,82161,82161,0.56,42825.188,4.98,6975.908,1.0,1.0,0.0,2442.95,0.0,0.0,2447.93,
6000,DC_LA,108206,108206,0.69,42644.952,3.273,19080.673,1.0,1.0,0.0,17172.606,0.0,0.0,17175.879,
