time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103207,103207,0.803,41522.487,5.565,1456.376,1.0,1.0,0.0,1310.739,0.0,0.0,1316.304,
0,DC_OS,103202,103202,0.601,44314.414,4.192,14135.203,1.0,1.0,0.0,565.409,0.0,0.0,569.6,
0,DC_MB,103202,103202,0.755,55500.375,7.651,414.181,1.0,1.0,0.0,331.345,0.0,0.0,338.996,
0,DC_SH,103198,103198,0.703,46769.625,6.11,2784.654,1.0,1.0,0.0,2784.654,0.0,0.0,2790.764,
0,DC_LA,103195,103195,0.658,41876.317,3.639,15679.554,1.0,1.0,0.0,14111.599,0.0,0.0,14115.238,
600,DC_CR,102313,102313,0.796,41462.117,5.559,1443.078,1.0,1.0,0.0,1298.771,0.0,0.0,1304.329,
600,DC_OS,102312,102312,0.596,44271.262,4.221,13883.868,1.0,1.0,0.0,555.355,0.0,0.0,559.576,
600,DC_MB,102309,102309,0.748,55332.938,7.627,423.913,1.0,1.0,0.0,339.131,0.0,0.0,346.757,
600,DC_SH,102303,102303,0.697,46601.813,6.063,2950.907,1.0,1.0,0.0,2950.907,0.0,0.0,2956.97,
600,DC_LA,102303,102303,0.652,41813.128,3.654,15509.517,1.0,1.0,0.0,13958.566,0.0,0.0,13962.219,
1200,DC_CR,102476,102476,0.797,41475.005,5.567,1397.254,1.0,1.0,0.0,1257.529,0.0,0.0,1263.095,
1200,DC_OS,102475,102475,0.597,44280.304,4.323,13161.751,1.0,1.0,0.0,526.471,0.0,0.0,530.793,
1200,DC_MB,102471,102471,0.75,55363.313,7.629,438.968,1.0,1.0,0.0,351.175,0.0,0.0,358.803,
1200,DC_SH,102468,102468,0.698,46632.75,6.074,2905.519,1.0,1.0,0.0,2905.519,0.0,0.0,2911.593,
1200,DC_LA,102464,102464,0.653,41826.586,3.796,14496.36,1.0,1.0,0.0,13046.724,0.0,0.0,13050.52,
1800,DC_CR,104034,104034,0.809,41563.062,5.571,1454.986,1.0,1.0,0.0,1309.488,0.0,0.0,1315.058,
1800,DC_OS,104033,104033,0.606,44344.899,4.22,13962.475,1.0,1.0,0.0,558.499,0.0,0.0,562.719,
1800,DC_MB,104029,104029,0.761,55655.438,7.673,412.642,1.0,1.0,0.0,330.114,0.0,0.0,337.787,
1800,DC_SH,104025,104025,0.709,46924.688,6.114,2910.552,1.0,1.0,0.0,2910.552,0.0,0.0,2916.666,
1800,DC_LA,104024,104024,0.663,41918.413,3.776,14735.196,1.0,1.0,0.0,13261.677,0.0,0.0,13265.452,
2400,DC_CR,103230,103230,0.803,41523.77,5.58,1349.923,1.0,1.0,0.0,1214.931,0.0,0.0,1220.511,
2400,DC_OS,103228,103228,0.601,44315.484,4.334,13110.701,1.0,1.0,0.0,524.429,0.0,0.0,528.763,
2400,DC_MB,103226,103226,0.755,55504.875,7.65,426.104,1.0,1.0,0.0,340.884,0.0,0.0,348.534,
2400,DC_SH,103220,103220,0.703,46773.75,6.106,2813.499,1.0,1.0,0.0,2813.499,0.0,0.0,2819.605,
2400,DC_LA,103220,103220,0.658,41877.767,3.66,15529.739,1.0,1.0,0.0,13976.766,0.0,0.0,13980.425,
3000,DC_CR,105030,105030,0.817,41997.385,5.629,1474.554,1.0,1.0,0.0,1327.099,0.0,0.0,1332.727,
3000,DC_OS,105028,105028,0.612,44732.461,4.277,13941.959,1.0,1.0,0.0,557.679,0.0,0.0,561.955,
3000,DC_MB,105024,105024,0.768,55842.0,7.699,414.099,1.0,1.0,0.0,331.28,0.0,0.0,338.978,
3000,DC_SH,105022,105022,0.716,47111.625,6.144,2877.403,1.0,1.0,0.0,2877.403,0.0,0.0,2883.547,
3000,DC_LA,105019,105019,0.67,42325.623,3.703,15667.353,1.0,1.0,0.0,14100.618,0.0,0.0,14104.321,
3600,DC_CR,117940,117940,0.917,44294.172,5.842,2235.916,1.0,1.0,0.0,2012.325,0.0,0.0,2018.166,
3600,DC_OS,117936,117936,0.687,46576.388,4.91,11225.181,1.0,1.0,0.0,449.008,0.0,0.0,453.918,
3600,DC_MB,117936,117936,0.863,58263.0,7.964,923.984,1.0,1.0,0.0,739.188,0.0,0.0,747.151,
3600,DC_SH,117932,117932,0.803,49529.057,6.526,2544.077,1.0,1.0,0.0,2544.077,0.0,0.0,2550.603,
3600,DC_LA,117929,117929,0.752,44641.704,3.475,19626.054,1.0,1.0,0.0,17663.449,0.0,0.0,17666.923,
4200,DC_CR,122502,122502,0.953,45064.489,5.942,2285.865,1.0,1.0,0.0,2057.279,0.0,0.0,2063.22,
4200,DC_OS,122501,122501,0.713,47217.543,5.07,10719.8,1.0,1.0,0.0,428.792,0.0,0.0,433.862,
4200,DC_MB,122498,122498,0.896,59118.375,8.082,934.95,1.0,1.0,0.0,747.96,0.0,0.0,756.042,
4200,DC_SH,122494,122494,0.834,50272.291,6.648,2407.052,1.0,1.0,0.0,2407.052,0.0,0.0,2413.7,
4200,DC_LA,122491,122491,0.781,45415.553,3.574,19685.394,1.0,1.0,0.0,17716.855,0.0,0.0,17720.429,
4800,DC_CR,118516,118516,0.922,44348.18,5.842,2286.605,1.0,1.0,0.0,2057.945,0.0,0.0,2063.787,
4800,DC_OS,118514,118514,0.69,46635.736,5.007,10587.766,1.0,1.0,0.0,423.511,0.0,0.0,428.518,
4800,DC_MB,118510,118510,0.867,58370.625,7.978,931.17,1.0,1.0,0.0,744.936,0.0,0.0,752.914,
4800,DC_SH,118507,118507,0.807,49554.113,6.55,2394.167,1.0,1.0,0.0,2394.167,0.0,0.0,2400.717,
4800,DC_LA,118507,118507,0.756,44699.625,3.614,18679.357,1.0,1.0,0.0,16811.422,0.0,0.0,16815.036,
5400,DC_CR,117668,117668,0.915,44260.289,5.834,2260.116,1.0,1.0,0.0,2034.105,0.0,0.0,2039.938,
5400,DC_OS,117666,117666,0.685,46535.564,4.883,11380.033,1.0,1.0,0.0,455.202,0.0,0.0,460.085,
5400,DC_MB,117661,117661,0.861,58211.438,7.964,877.099,1.0,1.0,0.0,701.68,0.0,0.0,709.643,
5400,DC_SH,117661,117661,0.802,49515.693,6.539,2441.628,1.0,1.0,0.0,2441.628,0.0,0.0,2448.167,
5400,DC_LA,117659,117659,0.75,44604.956,3.514,19306.117,1.0,1.0,0.0,17375.506,0.0,0.0,17379.02,
6000,DC_CR,119772,119772,0.932,44425.229,5.835,2415.679,1.0,1.0,0.0,2174.112,0.0,0.0,2179.946,
6000,DC_OS,119767,119767,0.697,46711.974,5.0,10715.246,1.0,1.0,0.0,428.61,0.0,0.0,433.61,
6000,DC_MB,119766,119766,0.876,58606.125,8.016,896.09,1.0,1.0,0.0,716.873,0.0,0.0,724.888,
6000,DC_SH,119766,119766,0.816,50078.329,6.599,2568.373,1.0,1.0,0.0,2568.373,0.0,0.0,2574.972,
6000,DC_LA,119763,119763,0.764,44780.059,3.523,19420.756,1.0,1.0,0.0,17478.681,0.0,0.0,17482.203,
6600,DC_CR,119616,119616,0.93,44417.485,5.861,2223.896,1.0,1.0,0.0,2001.507,0.0,0.0,2007.367,
6600,DC_OS,119615,119615,0.697,46704.769,4.967,10944.441,1.0,1.0,0.0,437.778,0.0,0.0,442.745,
6600,DC_MB,119613,119613,0.875,58577.438,8.007,927.049,1.0,1.0,0.0,741.64,0.0,0.0,749.647,
6600,DC_SH,119613,119613,0.815,50055.141,6.605,2500.065,1.0,1.0,0.0,2500.065,0.0,0.0,2506.67,
6600,DC_LA,119609,119609,0.763,44772.153,3.677,18302.615,1.0,1.0,0.0,16472.354,0.0,0.0,16476.03,
7200,DC_CR,115175,115175,0.896,43675.147,5.627,3166.611,1.0,1.0,0.0,2849.95,0.0,0.0,2855.577,
7200,DC_OS,115170,115170,0.671,46090.531,4.934,10567.869,1.0,1.0,0.0,422.715,0.0,0.0,427.649,
7200,DC_MB,115168,115168,0.842,57744.0,7.833,1346.926,1.0,1.0,0.0,1077.541,0.0,0.0,1085.374,
7200,DC_SH,115166,115166,0.785,49246.253,6.283,4013.294,1.0,1.0,0.0,4013.294,0.0,0.0,4019.577,
7200,DC_LA,115165,115165,0.734,44028.796,3.452,19176.193,1.0,1.0,0.0,17258.574,0.0,0.0,17262.026,
7800,DC_CR,113064,113064,0.879,43429.111,5.611,3034.357,1.0,1.0,0.0,2730.922,0.0,0.0,2736.532,
7800,DC_OS,113058,113058,0.658,45836.369,4.849,10927.655,1.0,1.0,0.0,437.107,0.0,0.0,441.955,
7800,DC_MB,113057,113057,0.827,57348.188,7.767,1426.305,1.0,1.0,0.0,1141.044,0.0,0.0,1148.811,
7800,DC_SH,113056,113056,0.77,48763.004,6.242,3823.519,1.0,1.0,0.0,3823.519,0.0,0.0,3829.761,
7800,DC_LA,113054,113054,0.721,43755.774,3.442,18979.223,1.0,1.0,0.0,17081.301,0.0,0.0,17084.742,
8400,DC_CR,115328,115328,0.897,43683.881,5.652,2992.085,1.0,1.0,0.0,2692.877,0.0,0.0,2698.529,
8400,DC_OS,115326,115326,0.672,46098.562,4.897,10846.395,1.0,1.0,0.0,433.856,0.0,0.0,438.752,
8400,DC_MB,115324,115324,0.844,57773.25,7.833,1380.817,1.0,1.0,0.0,1104.654,0.0,0.0,1112.486,
8400,DC_SH,115321,115321,0.786,49285.577,6.3,3932.633,1.0,1.0,0.0,3932.633,0.0,0.0,3938.933,
8400,DC_LA,115320,115320,0.735,44037.997,3.53,18627.762,1.0,1.0,0.0,16764.986,0.0,0.0,16768.515,
9000,DC_CR,114140,114140,0.888,43598.209,5.63,3064.447,1.0,1.0,0.0,2758.003,0.0,0.0,2763.632,
9000,DC_OS,114138,114138,0.665,46019.544,4.884,10856.741,1.0,1.0,0.0,434.27,0.0,0.0,439.154,
9000,DC_MB,114136,114136,0.835,57550.5,7.807,1345.118,1.0,1.0,0.0,1076.095,0.0,0.0,1083.901,
9000,DC_SH,114130,114130,0.778,48819.566,6.215,4074.95,1.0,1.0,0.0,4074.95,0.0,0.0,4081.165,
9000,DC_LA,114130,114130,0.728,43947.682,3.511,18668.784,1.0,1.0,0.0,16801.906,0.0,0.0,16805.417,
9600,DC_CR,113910,113910,0.886,43574.396,5.627,3065.974,1.0,1.0,0.0,2759.377,0.0,0.0,2765.003,
9600,DC_OS,113909,113909,0.663,45996.762,4.957,10313.354,1.0,1.0,0.0,412.535,0.0,0.0,417.491,
9600,DC_MB,113908,113908,0.833,57507.75,7.793,1400.302,1.0,1.0,0.0,1120.242,0.0,0.0,1128.035,
9600,DC_SH,113904,113904,0.776,48809.246,6.227,3981.451,1.0,1.0,0.0,3981.451,0.0,0.0,3987.678,
9600,DC_LA,113899,113899,0.726,43921.947,3.596,18036.639,1.0,1.0,0.0,16232.976,0.0,0.0,16236.571,
10200,DC_CR,116661,116661,0.907,43906.56,5.694,2915.612,1.0,1.0,0.0,2624.051,0.0,0.0,2629.744,
10200,DC_OS,116657,116657,0.679,46152.318,4.99,10227.013,1.0,1.0,0.0,409.081,0.0,0.0,414.071,
10200,DC_MB,116657,116657,0.853,58023.188,7.874,1335.381,1.0,1.0,0.0,1068.305,0.0,0.0,1076.179,
