time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,105946,105946,0.824,42145.197,0.0,42353.91,0.996,0.996,0.0,0.9,0.0,0.0,0.9,
0,DC_OS,105944,105944,0.617,44834.898,4.425,12979.116,1.0,1.0,0.0,0.04,0.0,0.0,4.465,
0,DC_MB,105941,105941,0.775,56013.938,6.532,8986.116,1.0,1.0,0.0,0.8,0.0,0.0,7.332,
0,DC_SH,105938,105938,0.722,47283.375,6.028,3883.958,1.0,1.0,0.0,1.0,0.0,0.0,7.028,
0,DC_LA,105935,105935,0.675,42493.611,3.851,14769.96,1.0,1.0,0.0,0.9,0.0,0.0,4.751,
600,DC_CR,19677,19677,0.153,24466.339,0.0,43506.574,0.563,0.563,0.0,0.9,0.0,0.0,0.9,
600,DC_OS,442883,171840,1.0,54000.0,5.612,13599.341,1.0,1.0,0.0,0.04,0.0,0.0,5.652,
600,DC_MB,22137,22137,0.162,33757.221,3.514,8463.427,1.0,1.0,0.0,0.8,0.0,0.0,4.314,
600,DC_SH,17711,17711,0.121,29094.113,3.497,3920.178,1.0,1.0,0.0,1.0,0.0,0.0,4.497,
600,DC_LA,19677,19677,0.126,25687.678,1.504,14862.612,1.0,1.0,0.0,0.9,0.0,0.0,2.404,
1200,DC_CR,19628,19628,0.153,24454.569,0.0,41956.616,0.583,0.583,0.0,0.9,0.0,0.0,0.9,
1200,DC_OS,441773,171840,1.0,54000.0,5.641,13390.231,1.0,1.0,0.0,0.04,0.0,0.0,5.681,
1200,DC_MB,22083,22083,0.162,33744.25,3.488,8632.334,1.0,1.0,0.0,0.8,0.0,0.0,4.288,
1200,DC_SH,17664,17664,0.121,29082.824,3.51,3815.396,1.0,1.0,0.0,1.0,0.0,0.0,4.51,
1200,DC_LA,19628,19628,0.126,25683.7,1.391,15673.642,1.0,1.0,0.0,0.9,0.0,0.0,2.291,
1800,DC_CR,19464,19464,0.152,24415.177,0.0,42168.726,0.579,0.579,0.0,0.9,0.0,0.0,0.9,
1800,DC_OS,438074,171840,1.0,54000.0,5.693,13011.421,1.0,1.0,0.0,0.04,0.0,0.0,5.733,
1800,DC_MB,21896,21896,0.161,33699.334,3.515,8392.244,1.0,1.0,0.0,0.8,0.0,0.0,4.315,
1800,DC_SH,17518,17518,0.12,29047.755,3.508,3795.509,1.0,1.0,0.0,1.0,0.0,0.0,4.508,
1800,DC_LA,19464,19464,0.125,25669.357,1.448,15250.613,1.0,1.0,0.0,0.9,0.0,0.0,2.348,
2400,DC_CR,19505,19505,0.152,24425.025,0.0,43109.708,0.567,0.567,0.0,0.9,0.0,0.0,0.9,
2400,DC_OS,439009,171840,1.0,54000.0,5.529,14195.408,1.0,1.0,0.0,0.04,0.0,0.0,5.569,
2400,DC_MB,21944,21944,0.161,33710.863,3.501,8504.98,1.0,1.0,0.0,0.8,0.0,0.0,4.301,
2400,DC_SH,17554,17554,0.12,29056.402,3.479,4011.67,1.0,1.0,0.0,1.0,0.0,0.0,4.479,
2400,DC_LA,19505,19505,0.125,25673.103,1.514,14773.661,1.0,1.0,0.0,0.9,0.0,0.0,2.414,
3000,DC_CR,19031,19031,0.148,24311.172,0.0,41064.112,0.593,0.593,0.0,0.9,0.0,0.0,0.9,
3000,DC_OS,428322,171840,1.0,54000.0,5.69,13033.265,1.0,1.0,0.0,0.04,0.0,0.0,5.73,
3000,DC_MB,21411,21411,0.157,33582.839,3.457,8695.211,1.0,1.0,0.0,0.8,0.0,0.0,4.257,
3000,DC_SH,17127,17127,0.117,28953.839,3.486,3858.107,1.0,1.0,0.0,1.0,0.0,0.0,4.486,
3000,DC_LA,19031,19031,0.122,25620.67,1.539,14540.588,1.0,1.0,0.0,0.9,0.0,0.0,2.439,
3600,DC_CR,22313,22313,0.174,25099.496,0.0,49568.276,0.507,0.507,0.0,0.9,0.0,0.0,0.9,
3600,DC_OS,502202,171840,1.0,54000.0,6.057,10390.142,1.0,1.0,0.0,0.04,0.0,0.0,6.097,
3600,DC_MB,25105,25105,0.184,34400.994,4.178,4323.788,1.0,1.0,0.0,0.8,0.0,0.0,4.978,
3600,DC_SH,20082,20082,0.137,29663.618,3.157,6935.709,1.0,1.0,0.0,1.0,0.0,0.0,4.157,
3600,DC_LA,22313,22313,0.143,26255.144,1.116,18225.336,1.0,1.0,0.0,0.9,0.0,0.0,2.016,
4200,DC_CR,22583,22583,0.176,25164.349,0.0,48914.456,0.515,0.515,0.0,0.9,0.0,0.0,0.9,
4200,DC_OS,508288,171840,1.0,54000.0,5.952,11151.634,1.0,1.0,0.0,0.04,0.0,0.0,5.992,
