time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103293,70800,1.0,13725.0,1.859,340.238,1.0,1.0,0.0,306.215,0.0,0.0,308.074,
0,DC_OS,103289,103289,0.671,26220.0,1.757,13573.515,1.0,1.0,0.0,542.933,0.0,0.0,544.69,
0,DC_MB,103286,103286,0.756,31467.759,4.099,1957.192,1.0,1.0,0.0,798.453,0.0,0.0,802.551,
0,DC_SH,103281,103281,0.809,25950.0,0.0,42990.461,1.0,0.604,0.397,73.533,17040.462,0.0,73.533,
0,DC_LA,103281,103281,0.769,23460.0,2.16,7915.05,1.0,1.0,0.0,33.744,0.0,0.0,35.903,
600,DC_CR,0,32493,0.459,13243.149,1.796,314.626,1.0,1.0,0.0,283.164,0.0,0.0,284.96,
600,DC_OS,0,0,0.0,18690.0,0.0,19549.749,1.0,0.957,0.044,781.983,859.749,0.0,781.983,
600,DC_MB,0,0,0.0,24840.0,3.167,2043.408,1.0,1.0,0.0,789.474,0.0,0.0,792.64,
600,DC_SH,0,0,0.0,14040.0,0.0,40261.439,1.0,0.349,0.652,78.576,26221.439,0.0,78.576,
600,DC_LA,513113,134400,1.0,23460.0,2.157,7930.926,1.0,1.0,0.0,33.538,0.0,0.0,35.695,
1200,DC_CR,0,0,0.0,9960.0,1.339,323.004,1.0,1.0,0.0,290.704,0.0,0.0,292.043,
1200,DC_OS,0,0,0.0,18690.0,0.0,20793.204,1.0,0.899,0.102,831.721,2103.204,0.0,831.721,
1200,DC_MB,0,0,0.0,24840.0,3.168,2030.41,1.0,1.0,0.0,785.631,0.0,0.0,788.799,
1200,DC_SH,0,0,0.0,14040.0,0.0,42326.015,1.0,0.332,0.669,72.625,28286.015,0.0,72.625,
1200,DC_LA,524556,134400,1.0,23460.0,2.158,7924.269,1.0,1.0,0.0,35.12,0.0,0.0,37.278,
1800,DC_CR,0,0,0.0,9960.0,1.338,331.575,1.0,1.0,0.0,298.418,0.0,0.0,299.755,
1800,DC_OS,0,0,0.0,18690.0,0.0,21022.46,1.0,0.89,0.111,840.891,2332.46,0.0,840.891,
1800,DC_MB,0,0,0.0,24840.0,3.19,1879.13,1.0,1.0,0.0,731.377,0.0,0.0,734.566,
1800,DC_SH,0,0,0.0,14040.0,0.0,41182.649,1.0,0.341,0.66,74.985,27142.649,0.0,74.985,
1800,DC_LA,521514,134400,1.0,23460.0,2.083,8464.341,1.0,1.0,0.0,33.625,0.0,0.0,35.708,
2400,DC_CR,0,0,0.0,9960.0,1.34,318.445,1.0,1.0,0.0,286.601,0.0,0.0,287.94,
2400,DC_OS,0,0,0.0,18690.0,0.0,19518.388,1.0,0.958,0.043,780.728,828.388,0.0,780.728,
2400,DC_MB,0,0,0.0,24840.0,3.177,1969.354,1.0,1.0,0.0,760.15,0.0,0.0,763.327,
2400,DC_SH,0,0,0.0,14040.0,0.0,42466.378,1.0,0.331,0.67,73.577,28426.378,0.0,73.577,
