time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103557,70800,1.0,13725.0,1.861,330.052,1.0,1.0,0.0,297.047,0.0,0.0,298.908,
0,DC_OS,103554,103554,0.673,26220.0,1.265,17115.914,1.0,1.0,0.0,684.629,0.0,0.0,685.894,
0,DC_MB,103552,103552,0.757,31466.99,4.106,1909.153,1.0,1.0,0.0,740.007,0.0,0.0,744.112,
0,DC_SH,103550,103550,0.812,25950.0,0.0,39413.216,1.0,0.659,0.342,77.619,13463.216,0.0,77.619,
0,DC_LA,103547,103547,0.771,23460.0,2.15,7980.19,1.0,1.0,0.0,34.578,0.0,0.0,36.728,
600,DC_CR,0,32757,0.463,13242.269,1.793,332.829,1.0,1.0,0.0,299.547,0.0,0.0,301.34,
600,DC_OS,520498,154080,1.0,26220.0,2.459,8518.25,1.0,1.0,0.0,340.723,0.0,0.0,343.181,
600,DC_MB,0,0,0.0,24840.0,3.181,1939.47,1.0,1.0,0.0,783.052,0.0,0.0,786.232,
600,DC_SH,0,0,0.0,14040.0,0.0,42285.989,1.0,0.333,0.668,73.298,28245.989,0.0,73.298,
600,DC_LA,0,0,0.0,21360.0,1.775,8582.945,1.0,1.0,0.0,35.839,0.0,0.0,37.614,
1200,DC_CR,0,0,0.0,9960.0,1.337,337.76,1.0,1.0,0.0,303.984,0.0,0.0,305.321,
1200,DC_OS,0,154080,1.0,26220.0,0.709,21122.121,1.0,1.0,0.0,844.878,0.0,0.0,845.586,
1200,DC_MB,0,0,0.0,24840.0,3.174,1992.984,1.0,1.0,0.0,759.616,0.0,0.0,762.79,
1200,DC_SH,0,0,0.0,14040.0,0.0,39909.009,1.0,0.352,0.649,75.316,25869.009,0.0,75.316,
1200,DC_LA,512176,134400,1.0,23460.0,2.148,7995.62,1.0,1.0,0.0,33.168,0.0,0.0,35.316,
1800,DC_CR,0,0,0.0,9960.0,1.336,345.243,1.0,1.0,0.0,310.719,0.0,0.0,312.055,
1800,DC_OS,0,154080,1.0,26220.0,1.538,15153.059,1.0,1.0,0.0,606.115,0.0,0.0,607.652,
1800,DC_MB,0,0,0.0,24840.0,3.173,2000.291,1.0,1.0,0.0,788.459,0.0,0.0,791.631,
1800,DC_SH,509930,127680,1.0,25950.0,0.0,41776.993,1.0,0.622,0.379,74.372,15826.993,0.0,74.372,
1800,DC_LA,0,134400,1.0,23460.0,2.073,8535.923,1.0,1.0,0.0,33.279,0.0,0.0,35.352,
2400,DC_CR,0,0,0.0,9960.0,1.339,322.191,1.0,1.0,0.0,289.972,0.0,0.0,291.311,
2400,DC_OS,0,58258,0.379,25052.587,0.817,19170.265,1.0,1.0,0.0,766.803,0.0,0.0,767.62,
2400,DC_MB,512070,136800,1.0,32370.0,4.233,1897.641,1.0,1.0,0.0,730.924,0.0,0.0,735.156,
2400,DC_SH,0,127680,1.0,25950.0,0.0,40315.752,1.0,0.644,0.357,78.519,14365.752,0.0,78.519,
2400,DC_LA,0,134400,1.0,23460.0,2.071,8555.521,1.0,1.0,0.0,33.145,0.0,0.0,35.215,
3000,DC_CR,519355,70800,1.0,13725.0,1.862,319.818,1.0,1.0,0.0,287.837,0.0,0.0,289.699,
3000,DC_OS,0,0,0.0,18690.0,0.0,22357.859,1.0,0.836,0.165,894.307,3667.859,0.0,894.307,
3000,DC_MB,0,136800,1.0,32370.0,4.23,1919.112,1.0,1.0,0.0,754.363,0.0,0.0,758.592,
3000,DC_SH,0,127680,1.0,25950.0,0.0,42207.887,1.0,0.615,0.386,72.889,16257.887,0.0,72.889,
3000,DC_LA,0,108976,0.811,23460.0,2.101,8338.08,1.0,1.0,0.0,35.919,0.0,0.0,38.02,
3600,DC_CR,0,70800,1.0,13725.0,1.86,337.213,1.0,1.0,0.0,303.492,0.0,0.0,305.352,
3600,DC_OS,603241,154080,1.0,26220.0,0.0,25575.97,1.0,1.0,0.0,1023.032,-644.03,0.018,1023.049,
3600,DC_MB,0,136800,1.0,32370.0,3.758,5314.894,1.0,1.0,0.0,803.136,0.0,0.0,806.893,
3600,DC_SH,0,126890,0.994,25950.0,0.0,44308.651,1.0,0.586,0.415,75.59,18358.651,0.0,75.59,
3600,DC_LA,0,0,0.0,21360.0,2.514,3262.844,1.0,1.0,0.0,36.679,0.0,0.0,39.193,
4200,DC_CR,0,70800,1.0,13725.0,1.863,315.675,1.0,1.0,0.0,284.108,0.0,0.0,285.97,
4200,DC_OS,0,154080,1.0,26220.0,1.219,14420.913,1.0,1.0,0.0,576.829,-3023.827,0.084,578.132,
4200,DC_MB,0,101670,0.744,31424.417,3.582,5639.389,1.0,1.0,0.0,764.212,0.0,0.0,767.794,
4200,DC_SH,0,0,0.0,14040.0,0.0,47725.743,1.0,0.295,0.706,75.949,33685.743,0.0,75.949,
4200,DC_LA,592814,134400,1.0,23460.0,2.785,3410.922,1.0,1.0,0.0,35.871,0.0,0.0,38.655,
4800,DC_CR,0,70800,1.0,13725.0,1.863,314.656,1.0,1.0,0.0,283.191,0.0,0.0,285.053,
4800,DC_OS,0,154080,1.0,26220.0,1.575,14884.994,1.0,1.0,0.0,595.392,0.0,0.0,596.967,
4800,DC_MB,0,0,0.0,24840.0,2.701,5398.939,1.0,1.0,0.0,800.484,0.0,0.0,803.185,
4800,DC_SH,590097,127680,1.0,25950.0,0.0,46194.374,1.0,0.562,0.439,73.772,20244.374,0.0,73.772,
4800,DC_LA,0,134400,1.0,23460.0,2.77,3519.409,1.0,1.0,0.0,34.669,0.0,0.0,37.439,
5400,DC_CR,0,70800,1.0,13725.0,1.861,326.586,1.0,1.0,0.0,293.928,0.0,0.0,295.789,
5400,DC_OS,0,141001,0.916,26220.0,0.955,19350.194,1.0,1.0,0.0,774.0,0.0,0.0,774.955,
5400,DC_MB,586952,136800,1.0,32370.0,3.722,5572.947,1.0,1.0,0.0,747.772,0.0,0.0,751.494,
5400,DC_SH,0,127680,1.0,25950.0,0.0,44772.398,1.0,0.58,0.421,75.553,18822.398,0.0,75.553,
5400,DC_LA,0,134400,1.0,23460.0,2.803,3284.284,1.0,1.0,0.0,35.433,0.0,0.0,38.236,
6000,DC_CR,0,70800,1.0,13725.0,1.861,331.317,1.0,1.0,0.0,298.186,0.0,0.0,300.046,
6000,DC_OS,590173,154080,1.0,26220.0,2.475,8400.337,1.0,1.0,0.0,336.006,0.0,0.0,338.481,
6000,DC_MB,0,136800,1.0,32370.0,3.742,5430.795,1.0,1.0,0.0,759.505,0.0,0.0,763.247,
6000,DC_SH,0,127680,1.0,25950.0,0.0,46364.881,1.0,0.56,0.441,74.261,20414.881,0.0,74.261,
6000,DC_LA,0,134400,1.0,23460.0,2.776,3479.956,1.0,1.0,0.0,34.605,0.0,0.0,37.38,
