time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,48520,48520,0.686,13669.146,1.854,320.67,1.0,1.0,0.0,288.603,0.0,0.0,290.457,
0,DC_OS,6640,6640,0.044,20162.844,0.0,26150.096,1.0,0.772,0.229,1045.997,5987.253,0.0,1045.997,
0,DC_MB,291773,136800,1.0,32370.0,4.224,1958.44,1.0,1.0,0.0,773.311,0.0,0.0,777.535,
0,DC_SH,76095,76095,0.596,25649.23,0.0,41809.133,1.0,0.614,0.387,79.34,16159.904,0.0,79.34,
0,DC_LA,91065,91065,0.678,23385.426,2.134,8025.324,1.0,1.0,0.0,34.741,0.0,0.0,36.875,
600,DC_CR,48456,48456,0.685,13665.574,1.852,332.926,1.0,1.0,0.0,299.634,0.0,0.0,301.486,
600,DC_OS,6748,6748,0.044,20186.8,0.0,18204.759,1.0,1.0,0.0,728.183,-1982.04,0.056,728.238,
600,DC_MB,287629,136800,1.0,32370.0,4.222,1972.224,1.0,1.0,0.0,737.386,0.0,0.0,741.608,
600,DC_SH,73242,73242,0.574,25568.084,0.0,41657.358,1.0,0.614,0.387,76.903,16089.275,0.0,76.903,
600,DC_LA,91974,91974,0.685,23404.927,2.101,8284.567,1.0,1.0,0.0,33.49,0.0,0.0,35.59,
1200,DC_CR,48574,48574,0.687,13672.159,1.852,340.881,1.0,1.0,0.0,306.793,0.0,0.0,308.645,
1200,DC_OS,6741,6741,0.044,20185.247,0.654,11474.292,1.0,1.0,0.0,458.964,-4005.211,0.112,459.729,
1200,DC_MB,290612,136800,1.0,32370.0,4.221,1984.346,1.0,1.0,0.0,785.401,0.0,0.0,789.622,
1200,DC_SH,76696,76696,0.601,25667.156,0.0,42642.608,1.0,0.602,0.399,75.203,16975.453,0.0,75.203,
1200,DC_LA,90137,90137,0.671,23364.865,2.121,8097.466,1.0,1.0,0.0,34.338,0.0,0.0,36.459,
1800,DC_CR,48152,48152,0.681,13664.222,1.852,330.204,1.0,1.0,0.0,297.184,0.0,0.0,299.036,
