time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103158,70800,1.0,13725.0,1.86,333.161,1.0,1.0,0.0,299.845,0.0,0.0,301.705,
0,DC_OS,103155,103155,0.67,26220.0,1.92,12402.875,1.0,1.0,0.0,496.108,0.0,0.0,498.027,
0,DC_MB,103150,103150,0.755,31460.17,4.105,1908.486,1.0,1.0,0.0,751.947,0.0,0.0,756.051,
0,DC_SH,103149,103149,0.808,25950.0,0.0,43171.088,1.0,0.602,0.399,76.28,17221.088,0.0,76.28,
0,DC_LA,103148,103148,0.768,23460.0,2.146,8013.019,1.0,1.0,0.0,35.631,0.0,0.0,37.776,
600,DC_CR,518856,70800,1.0,13725.0,1.863,316.703,1.0,1.0,0.0,285.033,0.0,0.0,286.895,
600,DC_OS,0,0,0.0,18690.0,2.158,3156.432,1.0,1.0,0.0,126.25,0.0,0.0,128.407,
600,DC_MB,0,0,0.0,24840.0,3.167,2040.27,1.0,1.0,0.0,795.119,0.0,0.0,798.286,
600,DC_SH,0,0,0.0,14040.0,0.0,43126.043,1.0,0.326,0.675,75.017,29086.043,0.0,75.017,
600,DC_LA,0,0,0.0,21360.0,1.857,7990.709,1.0,1.0,0.0,34.547,0.0,0.0,36.404,
1200,DC_CR,227586,70800,1.0,13725.0,1.861,326.663,1.0,1.0,0.0,293.997,0.0,0.0,295.858,
1200,DC_OS,293856,154080,1.0,26220.0,1.437,15878.081,1.0,1.0,0.0,635.116,0.0,0.0,636.552,
1200,DC_MB,0,0,0.0,24840.0,3.177,1970.472,1.0,1.0,0.0,800.506,0.0,0.0,803.682,
1200,DC_SH,0,0,0.0,14040.0,0.0,42136.819,1.0,0.334,0.667,77.071,28096.82,0.0,77.071,
1200,DC_LA,0,0,0.0,21360.0,1.85,8040.407,1.0,1.0,0.0,32.929,0.0,0.0,34.779,
1800,DC_CR,70800,70800,1.0,13725.0,1.862,322.789,1.0,1.0,0.0,290.511,0.0,0.0,292.372,
1800,DC_OS,459474,154080,1.0,26220.0,3.334,2221.97,1.0,1.0,0.0,88.872,0.0,0.0,92.205,
1800,DC_MB,0,0,0.0,24840.0,3.181,1941.704,1.0,1.0,0.0,778.412,0.0,0.0,781.593,
1800,DC_SH,0,0,0.0,14040.0,0.0,41321.751,1.0,0.34,0.661,77.653,27281.751,0.0,77.653,
1800,DC_LA,0,0,0.0,21360.0,1.815,8293.316,1.0,1.0,0.0,34.765,0.0,0.0,36.58,
2400,DC_CR,70800,70800,1.0,13725.0,1.86,333.99,1.0,1.0,0.0,300.591,0.0,0.0,302.451,
