time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103961,70800,1.0,13725.0,1.859,344.118,1.0,1.0,0.0,309.707,0.0,0.0,311.565,
0,DC_OS,103957,103957,0.675,26220.0,0.876,19919.471,1.0,1.0,0.0,796.772,0.0,0.0,797.647,
0,DC_MB,103953,103953,0.76,31473.755,4.096,1987.658,1.0,1.0,0.0,771.632,0.0,0.0,775.727,
0,DC_SH,103953,103953,0.815,25950.0,0.0,42867.184,1.0,0.606,0.395,74.3,16917.184,0.0,74.3,
0,DC_LA,103950,103950,0.774,23460.0,2.116,8228.121,1.0,1.0,0.0,34.386,0.0,0.0,36.501,
600,DC_CR,505774,70800,1.0,13725.0,1.859,342.342,1.0,1.0,0.0,308.108,0.0,0.0,309.967,
600,DC_OS,0,0,0.0,18690.0,0.024,18524.039,1.0,1.0,0.0,740.954,0.0,0.0,740.977,
600,DC_MB,0,0,0.0,24840.0,3.166,2051.454,1.0,1.0,0.0,804.776,0.0,0.0,807.941,
600,DC_SH,0,0,0.0,14040.0,0.0,41873.199,1.0,0.336,0.665,77.525,27833.199,0.0,77.525,
600,DC_LA,0,0,0.0,21360.0,1.802,8387.068,1.0,1.0,0.0,32.949,0.0,0.0,34.751,
1200,DC_CR,239865,70800,1.0,13725.0,1.859,343.725,1.0,1.0,0.0,309.353,0.0,0.0,311.212,
1200,DC_OS,278619,154080,1.0,26220.0,1.856,12863.804,1.0,1.0,0.0,514.545,0.0,0.0,516.4,
1200,DC_MB,0,0,0.0,24840.0,3.187,1895.729,1.0,1.0,0.0,747.493,0.0,0.0,750.679,
1200,DC_SH,0,0,0.0,14040.0,0.0,40935.685,1.0,0.343,0.658,73.636,26895.685,0.0,73.636,
1200,DC_LA,0,0,0.0,21360.0,1.805,8369.698,1.0,1.0,0.0,33.257,0.0,0.0,35.062,
1800,DC_CR,70800,70800,1.0,13725.0,1.859,345.529,1.0,1.0,0.0,310.977,0.0,0.0,312.835,
1800,DC_OS,449840,154080,1.0,26220.0,2.668,7015.877,1.0,1.0,0.0,280.628,0.0,0.0,283.295,
1800,DC_MB,0,0,0.0,24840.0,3.171,2009.949,1.0,1.0,0.0,767.003,0.0,0.0,770.174,
1800,DC_SH,0,0,0.0,14040.0,0.0,39405.86,1.0,0.357,0.644,72.125,25365.86,0.0,72.125,
1800,DC_LA,0,0,0.0,21360.0,1.812,8319.509,1.0,1.0,0.0,34.843,0.0,0.0,36.654,
2400,DC_CR,70800,70800,1.0,13725.0,1.859,344.575,1.0,1.0,0.0,310.118,0.0,0.0,311.976,
2400,DC_OS,433262,154080,1.0,26220.0,1.016,18908.293,1.0,1.0,0.0,756.324,0.0,0.0,757.34,
2400,DC_MB,0,0,0.0,24840.0,3.176,1978.851,1.0,1.0,0.0,752.74,0.0,0.0,755.915,
2400,DC_SH,0,0,0.0,14040.0,0.0,41003.866,1.0,0.343,0.658,77.504,26963.866,0.0,77.504,
2400,DC_LA,0,0,0.0,21360.0,1.823,8238.874,1.0,1.0,0.0,35.995,0.0,0.0,37.817,
