time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103784,70800,1.0,13725.0,1.861,326.421,1.0,1.0,0.0,293.779,0.0,0.0,295.64,
0,DC_OS,103783,103783,0.674,26220.0,1.261,17143.678,1.0,1.0,0.0,685.74,0.0,0.0,687.0,
0,DC_MB,103781,103781,0.759,31479.769,4.096,1990.428,1.0,1.0,0.0,804.514,0.0,0.0,808.61,
0,DC_SH,103778,103778,0.813,25950.0,0.0,41483.243,1.0,0.626,0.375,78.399,15533.243,0.0,78.399,
0,DC_LA,103774,103774,0.773,23460.0,2.056,8658.232,1.0,1.0,0.0,33.517,0.0,0.0,35.573,
600,DC_CR,511745,70800,1.0,13725.0,1.859,340.521,1.0,1.0,0.0,306.469,0.0,0.0,308.328,
600,DC_OS,0,0,0.0,18690.0,0.0,28164.925,1.0,0.664,0.337,1126.59,9474.925,0.0,1126.59,
600,DC_MB,0,0,0.0,24840.0,3.173,1996.841,1.0,1.0,0.0,804.329,0.0,0.0,807.502,
600,DC_SH,0,0,0.0,14040.0,0.0,40087.404,1.0,0.351,0.65,74.393,26047.404,0.0,74.393,
600,DC_LA,0,0,0.0,21360.0,1.814,8302.152,1.0,1.0,0.0,33.995,0.0,0.0,35.809,
1200,DC_CR,234071,70800,1.0,13725.0,1.86,336.415,1.0,1.0,0.0,302.774,0.0,0.0,304.634,
1200,DC_OS,278145,154080,1.0,26220.0,0.0,17792.817,1.0,1.0,0.0,711.705,-8427.183,0.235,711.94,
1200,DC_MB,0,0,0.0,24840.0,3.176,1974.258,1.0,1.0,0.0,785.204,0.0,0.0,788.379,
1200,DC_SH,0,0,0.0,14040.0,0.0,41787.33,1.0,0.336,0.665,76.584,27747.33,0.0,76.584,
1200,DC_LA,0,0,0.0,21360.0,1.85,8043.446,1.0,1.0,0.0,36.062,0.0,0.0,37.911,
1800,DC_CR,70800,70800,1.0,13725.0,1.859,341.936,1.0,1.0,0.0,307.743,0.0,0.0,309.602,
1800,DC_OS,444214,154080,1.0,26220.0,1.456,14689.843,1.0,1.0,0.0,587.586,-1047.741,0.03,589.071,
1800,DC_MB,0,0,0.0,24840.0,3.165,2053.94,1.0,1.0,0.0,803.292,0.0,0.0,806.456,
1800,DC_SH,0,0,0.0,14040.0,0.0,39919.857,1.0,0.352,0.649,78.046,25879.858,0.0,78.046,
1800,DC_LA,0,0,0.0,21360.0,1.808,8347.706,1.0,1.0,0.0,35.697,0.0,0.0,37.504,
2400,DC_CR,70800,70800,1.0,13725.0,1.861,332.972,1.0,1.0,0.0,299.675,0.0,0.0,301.535,
2400,DC_OS,444836,154080,1.0,26220.0,0.344,23744.449,1.0,1.0,0.0,949.771,0.0,0.0,950.115,
2400,DC_MB,0,0,0.0,24840.0,3.173,1999.363,1.0,1.0,0.0,774.277,0.0,0.0,777.449,
2400,DC_SH,0,0,0.0,14040.0,0.0,42305.186,1.0,0.332,0.669,73.078,28265.186,0.0,73.078,
2400,DC_LA,0,0,0.0,21360.0,1.863,7946.496,1.0,1.0,0.0,33.157,0.0,0.0,35.019,
3000,DC_CR,70800,70800,1.0,13725.0,1.86,335.321,1.0,1.0,0.0,301.789,0.0,0.0,303.649,
3000,DC_OS,453531,154080,1.0,26220.0,1.736,13724.919,1.0,1.0,0.0,548.989,0.0,0.0,550.725,
3000,DC_MB,0,0,0.0,24840.0,3.185,1912.048,1.0,1.0,0.0,755.126,0.0,0.0,758.311,
3000,DC_SH,0,0,0.0,14040.0,0.0,41261.166,1.0,0.341,0.66,73.911,27221.166,0.0,73.911,
3000,DC_LA,0,0,0.0,21360.0,1.795,8438.708,1.0,1.0,0.0,35.946,0.0,0.0,37.74,
3600,DC_CR,70800,70800,1.0,13725.0,1.862,319.412,1.0,1.0,0.0,287.471,0.0,0.0,289.333,
3600,DC_OS,527271,154080,1.0,26220.0,0.148,25154.687,1.0,1.0,0.0,1006.18,0.0,0.0,1006.328,
3600,DC_MB,0,0,0.0,24840.0,2.674,5593.757,1.0,1.0,0.0,769.217,0.0,0.0,771.89,
3600,DC_SH,0,0,0.0,14040.0,0.0,47553.134,1.0,0.296,0.705,73.034,33513.134,0.0,73.034,
3600,DC_LA,0,0,0.0,21360.0,2.497,3386.44,1.0,1.0,0.0,36.019,0.0,0.0,38.516,
4200,DC_CR,70800,70800,1.0,13725.0,1.861,329.39,1.0,1.0,0.0,296.451,0.0,0.0,298.312,
4200,DC_OS,512557,154080,1.0,26220.0,0.825,20283.37,1.0,1.0,0.0,811.328,0.0,0.0,812.152,
4200,DC_MB,0,0,0.0,24840.0,2.714,5303.822,1.0,1.0,0.0,790.113,0.0,0.0,792.827,
4200,DC_SH,0,0,0.0,14040.0,0.0,47586.802,1.0,0.296,0.705,74.001,33546.802,0.0,74.001,
4200,DC_LA,0,0,0.0,21360.0,2.494,3404.294,1.0,1.0,0.0,35.389,0.0,0.0,37.883,
4800,DC_CR,70800,70800,1.0,13725.0,1.864,310.787,1.0,1.0,0.0,279.709,0.0,0.0,281.572,
4800,DC_OS,525642,154080,1.0,26220.0,0.0,26648.505,1.0,0.984,0.017,1065.933,428.505,0.0,1065.933,
4800,DC_MB,0,0,0.0,24840.0,2.661,5683.575,1.0,1.0,0.0,805.202,0.0,0.0,807.863,
4800,DC_SH,0,0,0.0,14040.0,0.0,47388.646,1.0,0.297,0.704,72.889,33348.646,0.0,72.889,
4800,DC_LA,0,0,0.0,21360.0,2.495,3402.299,1.0,1.0,0.0,34.246,0.0,0.0,36.741,
5400,DC_CR,70800,70800,1.0,13725.0,1.861,328.866,1.0,1.0,0.0,295.98,0.0,0.0,297.84,
5400,DC_OS,529459,154080,1.0,26220.0,2.312,9146.014,1.0,1.0,0.0,365.833,-428.504,0.012,368.157,
5400,DC_MB,0,0,0.0,24840.0,2.671,5615.51,1.0,1.0,0.0,747.081,0.0,0.0,749.751,
5400,DC_SH,0,0,0.0,14040.0,0.0,43874.768,1.0,0.321,0.68,78.262,29834.769,0.0,78.262,
5400,DC_LA,0,0,0.0,21360.0,2.487,3458.513,1.0,1.0,0.0,35.539,0.0,0.0,38.025,
6000,DC_CR,70800,70800,1.0,13725.0,1.863,315.516,1.0,1.0,0.0,283.965,0.0,0.0,285.827,
6000,DC_OS,537277,154080,1.0,26220.0,0.466,22867.581,1.0,1.0,0.0,914.696,0.0,0.0,915.162,
6000,DC_MB,0,0,0.0,24840.0,2.668,5632.395,1.0,1.0,0.0,746.72,0.0,0.0,749.388,
6000,DC_SH,0,0,0.0,14040.0,0.0,45496.567,1.0,0.309,0.692,75.792,31456.568,0.0,75.792,
6000,DC_LA,0,0,0.0,21360.0,2.498,3378.932,1.0,1.0,0.0,34.353,0.0,0.0,36.85,
6600,DC_CR,70800,70800,1.0,13725.0,1.863,312.458,1.0,1.0,0.0,281.213,0.0,0.0,283.076,
6600,DC_OS,524897,154080,1.0,26220.0,1.508,15365.85,1.0,1.0,0.0,614.627,0.0,0.0,616.134,
6600,DC_MB,0,0,0.0,24840.0,2.717,5282.326,1.0,1.0,0.0,806.305,0.0,0.0,809.021,
6600,DC_SH,0,0,0.0,14040.0,0.0,45018.573,1.0,0.312,0.689,75.299,30978.573,0.0,75.299,
6600,DC_LA,0,0,0.0,21360.0,2.482,3489.848,1.0,1.0,0.0,34.153,0.0,0.0,36.635,
7200,DC_CR,70800,70800,1.0,13725.0,1.86,333.522,1.0,1.0,0.0,300.17,0.0,0.0,302.03,
7200,DC_OS,501368,154080,1.0,26220.0,1.976,11997.362,1.0,1.0,0.0,479.887,0.0,0.0,481.863,
7200,DC_MB,0,0,0.0,24840.0,2.247,8663.967,1.0,1.0,0.0,773.686,0.0,0.0,775.933,
