time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103802,70800,1.0,13725.0,1.86,335.329,1.0,1.0,0.0,301.797,0.0,0.0,303.656,
0,DC_OS,103798,103798,0.674,26220.0,0.849,20110.909,1.0,1.0,0.0,804.429,0.0,0.0,805.278,
0,DC_MB,103793,103793,0.759,31480.439,4.097,1985.475,1.0,1.0,0.0,796.617,0.0,0.0,800.714,
0,DC_SH,103791,103791,0.813,25950.0,0.0,40970.093,1.0,0.634,0.367,75.724,15020.093,0.0,75.724,
0,DC_LA,103790,103790,0.773,23460.0,2.074,8531.688,1.0,1.0,0.0,36.129,0.0,0.0,38.203,
600,DC_CR,516093,70800,1.0,13725.0,1.863,314.495,1.0,1.0,0.0,283.046,0.0,0.0,284.909,
600,DC_OS,0,0,0.0,18690.0,0.0,18716.118,1.0,0.999,0.002,748.637,26.118,0.0,748.637,
600,DC_MB,0,0,0.0,24840.0,3.177,1970.162,1.0,1.0,0.0,795.413,0.0,0.0,798.59,
600,DC_SH,0,0,0.0,14040.0,0.0,42900.964,1.0,0.328,0.673,74.371,28860.964,0.0,74.371,
600,DC_LA,0,0,0.0,21360.0,1.795,8438.916,1.0,1.0,0.0,36.314,0.0,0.0,38.108,
1200,DC_CR,229705,70800,1.0,13725.0,1.863,317.269,1.0,1.0,0.0,285.543,0.0,0.0,287.405,
1200,DC_OS,296464,154080,1.0,26220.0,1.471,15605.111,1.0,1.0,0.0,624.197,-26.117,0.001,625.669,
1200,DC_MB,0,0,0.0,24840.0,3.171,2013.259,1.0,1.0,0.0,798.803,0.0,0.0,801.973,
1200,DC_SH,0,0,0.0,14040.0,0.0,39327.735,1.0,0.357,0.644,73.728,25287.735,0.0,73.728,
1200,DC_LA,0,0,0.0,21360.0,1.783,8526.419,1.0,1.0,0.0,35.432,0.0,0.0,37.214,
1800,DC_CR,70800,70800,1.0,13725.0,1.863,314.53,1.0,1.0,0.0,283.077,0.0,0.0,284.94,
1800,DC_OS,459525,154080,1.0,26220.0,0.367,23577.776,1.0,1.0,0.0,943.104,0.0,0.0,943.471,
1800,DC_MB,0,0,0.0,24840.0,3.181,1939.379,1.0,1.0,0.0,764.076,0.0,0.0,767.257,
1800,DC_SH,0,0,0.0,14040.0,0.0,42230.016,1.0,0.333,0.668,78.817,28190.017,0.0,78.817,
1800,DC_LA,0,0,0.0,21360.0,1.785,8509.464,1.0,1.0,0.0,34.434,0.0,0.0,36.219,
2400,DC_CR,70800,70800,1.0,13725.0,1.863,317.062,1.0,1.0,0.0,285.356,0.0,0.0,287.219,
2400,DC_OS,447998,154080,1.0,26220.0,0.838,20193.093,1.0,1.0,0.0,807.716,0.0,0.0,808.554,
2400,DC_MB,0,0,0.0,24840.0,3.175,1982.765,1.0,1.0,0.0,776.441,0.0,0.0,779.616,
2400,DC_SH,0,0,0.0,14040.0,0.0,39744.913,1.0,0.354,0.647,75.191,25704.913,0.0,75.191,
2400,DC_LA,0,0,0.0,21360.0,1.77,8618.843,1.0,1.0,0.0,34.236,0.0,0.0,36.005,
3000,DC_CR,70800,70800,1.0,13725.0,1.859,341.192,1.0,1.0,0.0,307.073,0.0,0.0,308.932,
3000,DC_OS,442913,154080,1.0,26220.0,2.985,4733.181,1.0,1.0,0.0,189.32,0.0,0.0,192.304,
3000,DC_MB,0,0,0.0,24840.0,3.174,1992.758,1.0,1.0,0.0,800.957,0.0,0.0,804.13,
3000,DC_SH,0,0,0.0,14040.0,0.0,41626.315,1.0,0.338,0.663,76.755,27586.315,0.0,76.755,
3000,DC_LA,0,0,0.0,21360.0,1.841,8104.888,1.0,1.0,0.0,34.41,0.0,0.0,36.251,
3600,DC_CR,70800,70800,1.0,13725.0,1.86,334.7,1.0,1.0,0.0,301.23,0.0,0.0,303.09,
3600,DC_OS,524839,154080,1.0,26220.0,1.677,14147.811,1.0,1.0,0.0,565.905,0.0,0.0,567.582,
3600,DC_MB,0,0,0.0,24840.0,2.694,5443.269,1.0,1.0,0.0,767.67,0.0,0.0,770.364,
3600,DC_SH,0,0,0.0,14040.0,0.0,46964.67,1.0,0.299,0.702,75.545,32924.67,0.0,75.545,
3600,DC_LA,0,0,0.0,21360.0,2.48,3504.936,1.0,1.0,0.0,33.54,0.0,0.0,36.02,
4200,DC_CR,70800,70800,1.0,13725.0,1.863,312.378,1.0,1.0,0.0,281.141,0.0,0.0,283.004,
4200,DC_OS,517005,154080,1.0,26220.0,1.887,12636.309,1.0,1.0,0.0,505.445,0.0,0.0,507.332,
4200,DC_MB,0,0,0.0,24840.0,2.709,5336.37,1.0,1.0,0.0,811.353,0.0,0.0,814.062,
4200,DC_SH,0,0,0.0,14040.0,0.0,46273.071,1.0,0.304,0.697,72.398,32233.072,0.0,72.398,
4200,DC_LA,0,0,0.0,21360.0,2.478,3519.969,1.0,1.0,0.0,36.34,0.0,0.0,38.818,
4800,DC_CR,70800,70800,1.0,13725.0,1.859,341.021,1.0,1.0,0.0,306.919,0.0,0.0,308.778,
4800,DC_OS,527383,154080,1.0,26220.0,2.173,10576.02,1.0,1.0,0.0,423.034,0.0,0.0,425.206,
4800,DC_MB,0,0,0.0,24840.0,2.694,5447.705,1.0,1.0,0.0,761.725,0.0,0.0,764.419,
