time,dcName,requestNum,finishedRequestNum,dcUsage,dcConsume,dcPrice,reSupply,reUsage,reDcUsage,reBaUsage,rePrice,baSupply,baPrice,cost,
0,DC_CR,103240,70800,1.0,13725.0,1.862,321.812,1.0,1.0,0.0,289.631,0.0,0.0,291.493,
0,DC_OS,103240,103240,0.671,26220.0,0.0,28076.716,1.0,0.934,0.067,1123.061,1856.716,0.0,1123.061,
0,DC_MB,103236,103236,0.755,31464.969,4.096,1979.274,1.0,1.0,0.0,789.004,0.0,0.0,793.1,
0,DC_SH,103233,103233,0.809,25950.0,0.0,40992.693,1.0,0.634,0.367,78.718,15042.693,0.0,78.718,
0,DC_LA,103231,103231,0.769,23460.0,2.092,8399.563,1.0,1.0,0.0,36.294,0.0,0.0,38.386,
600,DC_CR,102576,70800,1.0,13725.0,1.861,327.414,1.0,1.0,0.0,294.673,0.0,0.0,296.534,
600,DC_OS,102574,102574,0.666,26220.0,0.942,17583.335,1.0,1.0,0.0,703.326,-1856.715,0.052,704.319,
600,DC_MB,102572,102572,0.75,31443.527,4.09,1997.45,1.0,1.0,0.0,775.546,0.0,0.0,779.636,
600,DC_SH,102571,102571,0.804,25950.0,0.0,41670.114,1.0,0.623,0.378,77.509,15720.115,0.0,77.509,
600,DC_LA,102566,102566,0.764,23460.0,2.158,7926.386,1.0,1.0,0.0,34.775,0.0,0.0,36.932,
1200,DC_CR,102209,70800,1.0,13725.0,1.859,341.213,1.0,1.0,0.0,307.092,0.0,0.0,308.951,
1200,DC_OS,102207,102207,0.664,26220.0,0.869,19963.534,1.0,1.0,0.0,798.534,0.0,0.0,799.403,
1200,DC_MB,102206,102206,0.748,31438.715,4.096,1948.69,1.0,1.0,0.0,733.696,0.0,0.0,737.792,
1200,DC_SH,102204,102204,0.801,25950.0,0.0,43087.237,1.0,0.603,0.398,77.153,17137.237,0.0,77.153,
1200,DC_LA,102201,102201,0.761,23460.0,2.132,8111.154,1.0,1.0,0.0,33.313,0.0,0.0,35.445,
1800,DC_CR,103225,70800,1.0,13725.0,1.863,314.621,1.0,1.0,0.0,283.159,0.0,0.0,285.022,
1800,DC_OS,103221,103221,0.67,26220.0,0.5,22627.051,1.0,1.0,0.0,905.075,0.0,0.0,905.574,
1800,DC_MB,103215,103215,0.755,31463.797,4.091,2010.266,1.0,1.0,0.0,784.689,0.0,0.0,788.78,
1800,DC_SH,103213,103213,0.809,25950.0,0.0,40078.457,1.0,0.648,0.353,76.878,14128.457,0.0,76.878,
1800,DC_LA,103213,103213,0.768,23460.0,2.151,7973.861,1.0,1.0,0.0,35.645,0.0,0.0,37.796,
2400,DC_CR,104898,70800,1.0,13725.0,1.861,326.145,1.0,1.0,0.0,293.531,0.0,0.0,295.392,
2400,DC_OS,104898,104898,0.681,26220.0,0.858,20043.283,1.0,1.0,0.0,801.724,0.0,0.0,802.582,
2400,DC_MB,104895,104895,0.767,31510.71,4.103,1970.886,1.0,1.0,0.0,779.391,0.0,0.0,783.494,
2400,DC_SH,104892,104892,0.822,25950.0,0.0,40561.04,1.0,0.64,0.361,73.673,14611.04,0.0,73.673,
2400,DC_LA,104888,104888,0.781,23460.0,2.064,8603.143,1.0,1.0,0.0,33.552,0.0,0.0,35.616,
3000,DC_CR,103642,70800,1.0,13725.0,1.859,341.688,1.0,1.0,0.0,307.52,0.0,0.0,309.378,
3000,DC_OS,103642,103642,0.673,26220.0,1.364,16399.516,1.0,1.0,0.0,655.973,0.0,0.0,657.337,
3000,DC_MB,103639,103639,0.758,31471.845,4.104,1926.786,1.0,1.0,0.0,738.373,0.0,0.0,742.477,
3000,DC_SH,103634,103634,0.812,25950.0,0.0,40325.515,1.0,0.644,0.357,76.833,14375.515,0.0,76.833,
3000,DC_LA,103631,103631,0.772,23460.0,2.106,8301.211,1.0,1.0,0.0,33.202,0.0,0.0,35.308,
3600,DC_CR,119434,70800,1.0,13725.0,1.861,332.61,1.0,1.0,0.0,299.35,0.0,0.0,301.21,
3600,DC_OS,119434,119434,0.776,26220.0,0.0,29955.053,1.0,0.876,0.125,1198.195,3735.053,0.0,1198.195,
3600,DC_MB,119432,119432,0.874,31900.396,3.694,5306.349,1.0,1.0,0.0,752.926,0.0,0.0,756.62,
3600,DC_SH,119429,119429,0.936,25950.0,0.0,47719.019,1.0,0.544,0.457,77.822,21769.019,0.0,77.822,
